Area,County FIPS,Dollars
"Santa Clara, California","6085","140258"
"San Mateo, California","6081","136837"
"Marin, California","6041","131008"
"San Francisco, California","6075","126187"
"Alameda, California","6001","112017"
"Contra Costa, California","6013","110455"
"Orange, California","6059","100485"
"Placer, California","6061","99734"
"Napa, California","6055","97498"
"Santa Cruz, California","6087","96093"
"Alpine, California","6003","96000"
"San Benito, California","6069","95606"
"Ventura, California","6111","94150"
"Sonoma, California","6097","91607"
"Solano, California","6095","89648"
"El Dorado, California","6017","88770"
"San Diego, California","6073","88240"
"Santa Barbara, California","6083","84356"
"San Luis Obispo, California","6079","82514"
"Monterey, California","6053","82013"
"Yolo, California","6113","78386"
"Sacramento, California","6067","76422"
"Los Angeles, California","6037","76367"
"Riverside, California","6065","76066"
"San Joaquin, California","6077","74962"
"Nevada, California","6057","74617"
"Mono, California","6051","71138"
"San Bernardino, California","6071","70287"
"Calaveras, California","6009","70119"
"Amador, California","6005","69955"
"Stanislaus, California","6099","68368"
"Sutter, California","6101","67003"
"Tuolumne, California","6109","66846"
"Madera, California","6039","66709"
"Kings, California","6031","63267"
"Yuba, California","6115","62666"
"Shasta, California","6089","61937"
"Colusa, California","6011","61861"
"Fresno, California","6019","61276"
"Inyo, California","6027","60925"
"Butte, California","6007","59863"
"Lassen, California","6035","59292"
"Merced, California","6047","58861"
"Kern, California","6029","58824"
"Plumas, California","6063","57885"
"Tulare, California","6107","57394"
"Mendocino, California","6045","56378"
"Glenn, California","6021","56332"
"Sierra, California","6091","56152"
"Lake, California","6033","53399"
"Humboldt, California","6023","53350"
"Mariposa, California","6043","53304"
"Del Norte, California","6015","53280"
"Tehama, California","6103","52901"
"Modoc, California","6049","51090"
"Siskiyou, California","6093","49857"
"Imperial, California","6025","49078"
"Trinity, California","6105","42206"

"undefined"
