Area,County FIPS,Percent
"Alpine, California","6003","28.8"
"Inyo, California","6027","11.2"
"Del Norte, California","6015","6.8"
"Humboldt, California","6023","4.3"
"Mendocino, California","6045","4.0"
"Modoc, California","6049","3.5"
"Lake, California","6033","3.4"
"Siskiyou, California","6093","3.4"
"Trinity, California","6105","3.2"
"Mariposa, California","6043","2.7"
"Lassen, California","6035","2.6"
"Glenn, California","6021","2.4"
"Shasta, California","6089","2.3"
"Sierra, California","6091","1.9"
"Plumas, California","6063","1.9"
"Mono, California","6051","1.7"
"Yuba, California","6115","1.5"
"Kings, California","6031","1.5"
"Madera, California","6039","1.4"
"Tuolumne, California","6109","1.4"
"Imperial, California","6025","1.4"
"Sutter, California","6101","1.4"
"San Benito, California","6069","1.3"
"Tehama, California","6103","1.3"
"Colusa, California","6011","1.3"
"Tulare, California","6107","1.2"
"Santa Barbara, California","6083","1.2"
"Merced, California","6047","1.2"
"Fresno, California","6019","1.2"
"Calaveras, California","6009","1.2"
"Butte, California","6007","1.1"
"Stanislaus, California","6099","1.1"
"Ventura, California","6111","1.1"
"Sonoma, California","6097","1.1"
"San Bernardino, California","6071","1.1"
"Kern, California","6029","1.0"
"Los Angeles, California","6037","1.0"
"Amador, California","6005","0.9"
"Napa, California","6055","0.8"
"San Joaquin, California","6077","0.8"
"San Diego, California","6073","0.8"
"Riverside, California","6065","0.8"
"San Luis Obispo, California","6079","0.8"
"Contra Costa, California","6013","0.7"
"Alameda, California","6001","0.7"
"Yolo, California","6113","0.7"
"Sacramento, California","6067","0.7"
"Solano, California","6095","0.7"
"San Mateo, California","6081","0.7"
"Santa Cruz, California","6087","0.7"
"Monterey, California","6053","0.7"
"Orange, California","6059","0.6"
"Santa Clara, California","6085","0.6"
"El Dorado, California","6017","0.6"
"Nevada, California","6057","0.5"
"Placer, California","6061","0.5"
"San Francisco, California","6075","0.5"
"Marin, California","6041","0.4"

"undefined"
