Area,County FIPS,Percent
"Santa Clara, California","6085","38.5"
"San Francisco, California","6075","34.7"
"Alameda, California","6001","32.4"
"San Mateo, California","6081","31.1"
"Orange, California","6059","21.6"
"Contra Costa, California","6013","18.3"
"Sacramento, California","6067","18.0"
"San Joaquin, California","6077","17.1"
"Sutter, California","6101","17.0"
"Solano, California","6095","16.6"
"Yolo, California","6113","15.0"
"Los Angeles, California","6037","15.0"
"San Diego, California","6073","12.4"
"Fresno, California","6019","10.8"
"Placer, California","6061","8.7"
"Napa, California","6055","8.0"
"Merced, California","6047","7.8"
"San Bernardino, California","6071","7.8"
"Yuba, California","6115","7.6"
"Ventura, California","6111","7.5"
"Riverside, California","6065","7.1"
"Stanislaus, California","6099","6.4"
"Monterey, California","6053","6.3"
"Marin, California","6041","6.2"
"Santa Barbara, California","6083","5.6"
"Butte, California","6007","5.3"
"El Dorado, California","6017","5.1"
"Santa Cruz, California","6087","5.1"
"Kern, California","6029","5.0"
"Sonoma, California","6097","4.7"
"Mono, California","6051","4.6"
"Kings, California","6031","4.1"
"Tulare, California","6107","3.8"
"San Luis Obispo, California","6079","3.7"
"Glenn, California","6021","3.6"
"Humboldt, California","6023","3.5"
"Shasta, California","6089","3.4"
"San Benito, California","6069","3.3"
"Del Norte, California","6015","3.1"
"Madera, California","6039","2.4"
"Mendocino, California","6045","2.3"
"Calaveras, California","6009","2.3"
"Lassen, California","6035","2.3"
"Trinity, California","6105","2.3"
"Siskiyou, California","6093","1.9"
"Tehama, California","6103","1.9"
"Tuolumne, California","6109","1.7"
"Lake, California","6033","1.7"
"Inyo, California","6027","1.7"
"Imperial, California","6025","1.5"
"Mariposa, California","6043","1.4"
"Alpine, California","6003","1.3"
"Nevada, California","6057","1.3"
"Amador, California","6005","1.2"
"Colusa, California","6011","1.0"
"Plumas, California","6063","0.8"
"Modoc, California","6049","0.8"
"Sierra, California","6091","no data/suppressed"

"undefined"
