Area,County FIPS,Percent
"Solano, California","6095","13.4"
"Alameda, California","6001","10.2"
"Sacramento, California","6067","9.7"
"Contra Costa, California","6013","8.6"
"Lassen, California","6035","8.6"
"San Bernardino, California","6071","8.0"
"Los Angeles, California","6037","7.9"
"San Joaquin, California","6077","7.0"
"Kings, California","6031","6.6"
"Riverside, California","6065","6.5"
"Kern, California","6029","5.4"
"San Francisco, California","6075","5.2"
"San Diego, California","6073","4.9"
"Fresno, California","6019","4.5"
"Yuba, California","6115","3.6"
"Stanislaus, California","6099","3.0"
"Del Norte, California","6015","3.0"
"Madera, California","6039","3.0"
"Merced, California","6047","2.9"
"Imperial, California","6025","2.7"
"Yolo, California","6113","2.6"
"Amador, California","6005","2.5"
"Monterey, California","6053","2.5"
"Santa Clara, California","6085","2.5"
"Lake, California","6033","2.4"
"San Mateo, California","6081","2.4"
"Marin, California","6041","2.3"
"Napa, California","6055","2.1"
"Modoc, California","6049","2.0"
"Sutter, California","6101","1.9"
"Santa Barbara, California","6083","1.9"
"Butte, California","6007","1.8"
"Ventura, California","6111","1.8"
"Siskiyou, California","6093","1.7"
"Tuolumne, California","6109","1.7"
"Orange, California","6059","1.7"
"Tulare, California","6107","1.7"
"Colusa, California","6011","1.7"
"Plumas, California","6063","1.7"
"Placer, California","6061","1.6"
"Sonoma, California","6097","1.6"
"San Luis Obispo, California","6079","1.5"
"Humboldt, California","6023","1.3"
"Santa Cruz, California","6087","1.1"
"Shasta, California","6089","1.1"
"Calaveras, California","6009","1.0"
"San Benito, California","6069","1.0"
"Mariposa, California","6043","0.9"
"Tehama, California","6103","0.9"
"El Dorado, California","6017","0.9"
"Mendocino, California","6045","0.7"
"Trinity, California","6105","0.6"
"Glenn, California","6021","0.6"
"Alpine, California","6003","0.6"
"Inyo, California","6027","0.5"
"Nevada, California","6057","0.4"
"Mono, California","6051","0.1"
"Sierra, California","6091","0.1"

"undefined"
