Area,County FIPS,Percent
"Santa Clara, California","6085","39.9"
"San Mateo, California","6081","35.1"
"San Francisco, California","6075","34.1"
"Los Angeles, California","6037","33.5"
"Alameda, California","6001","32.9"
"Imperial, California","6025","29.9"
"Orange, California","6059","29.4"
"Monterey, California","6053","29.0"
"Colusa, California","6011","26.7"
"Merced, California","6047","26.0"
"Contra Costa, California","6013","25.0"
"San Joaquin, California","6077","23.3"
"San Diego, California","6073","22.7"
"Santa Barbara, California","6083","22.4"
"Yolo, California","6113","22.3"
"Sutter, California","6101","21.8"
"Tulare, California","6107","21.7"
"Napa, California","6055","21.5"
"Riverside, California","6065","21.5"
"Ventura, California","6111","21.1"
"Sacramento, California","6067","21.0"
"San Bernardino, California","6071","20.7"
"Stanislaus, California","6099","20.1"
"San Benito, California","6069","20.0"
"Fresno, California","6019","19.9"
"Madera, California","6039","19.9"
"Kern, California","6029","19.7"
"Solano, California","6095","19.7"
"Kings, California","6031","19.1"
"Marin, California","6041","18.5"
"Santa Cruz, California","6087","17.8"
"Mono, California","6051","16.8"
"Sonoma, California","6097","16.3"
"Glenn, California","6021","16.0"
"Yuba, California","6115","12.7"
"Mendocino, California","6045","12.3"
"Placer, California","6061","11.7"
"San Luis Obispo, California","6079","9.7"
"El Dorado, California","6017","9.3"
"Lake, California","6033","8.9"
"Tehama, California","6103","8.5"
"Del Norte, California","6015","8.2"
"Trinity, California","6105","7.8"
"Butte, California","6007","7.6"
"Modoc, California","6049","7.2"
"Inyo, California","6027","7.0"
"Amador, California","6005","6.3"
"Nevada, California","6057","6.1"
"Humboldt, California","6023","6.1"
"Siskiyou, California","6093","5.8"
"Shasta, California","6089","5.6"
"Mariposa, California","6043","5.6"
"Lassen, California","6035","5.4"
"Tuolumne, California","6109","5.3"
"Calaveras, California","6009","4.8"
"Alpine, California","6003","4.8"
"Plumas, California","6063","3.6"
"Sierra, California","6091","3.3"

"undefined"
