Area,County FIPS,Percent
"Imperial, California","6025","85.1"
"Tulare, California","6107","65.8"
"Merced, California","6047","61.2"
"San Benito, California","6069","60.9"
"Colusa, California","6011","60.5"
"Monterey, California","6053","59.7"
"Madera, California","6039","59.1"
"Kings, California","6031","55.5"
"Kern, California","6029","54.7"
"San Bernardino, California","6071","54.6"
"Fresno, California","6019","54.0"
"Riverside, California","6065","50.3"
"Los Angeles, California","6037","48.7"
"Stanislaus, California","6099","47.9"
"Santa Barbara, California","6083","46.4"
"Ventura, California","6111","43.3"
"Glenn, California","6021","42.9"
"San Joaquin, California","6077","42.3"
"Napa, California","6055","34.7"
"San Diego, California","6073","34.3"
"Orange, California","6059","34.0"
"Santa Cruz, California","6087","34.0"
"Yolo, California","6113","32.1"
"Sutter, California","6101","31.9"
"Yuba, California","6115","29.5"
"Sonoma, California","6097","27.6"
"Solano, California","6095","27.5"
"Mono, California","6051","27.3"
"Tehama, California","6103","26.3"
"Mendocino, California","6045","26.3"
"Contra Costa, California","6013","26.2"
"Santa Clara, California","6085","25.1"
"San Mateo, California","6081","24.1"
"Sacramento, California","6067","23.8"
"Inyo, California","6027","23.7"
"San Luis Obispo, California","6079","23.2"
"Alameda, California","6001","22.4"
"Lake, California","6033","22.2"
"Del Norte, California","6015","20.5"
"Lassen, California","6035","19.7"
"Butte, California","6007","17.4"
"Marin, California","6041","16.4"
"San Francisco, California","6075","15.4"
"Modoc, California","6049","15.2"
"Amador, California","6005","14.9"
"Alpine, California","6003","14.7"
"Placer, California","6061","14.6"
"Siskiyou, California","6093","13.3"
"El Dorado, California","6017","13.3"
"Calaveras, California","6009","13.1"
"Tuolumne, California","6109","12.9"
"Mariposa, California","6043","12.4"
"Humboldt, California","6023","12.3"
"Sierra, California","6091","11.2"
"Shasta, California","6089","10.7"
"Nevada, California","6057","9.8"
"Plumas, California","6063","9.6"
"Trinity, California","6105","7.5"

"undefined"
