Area,County FIPS,Percent
"Trinity, California","6105","92.5"
"Plumas, California","6063","90.4"
"Nevada, California","6057","90.2"
"Shasta, California","6089","89.3"
"Sierra, California","6091","88.8"
"Humboldt, California","6023","87.7"
"Mariposa, California","6043","87.6"
"Tuolumne, California","6109","87.1"
"Calaveras, California","6009","86.9"
"Siskiyou, California","6093","86.7"
"El Dorado, California","6017","86.7"
"Placer, California","6061","85.4"
"Alpine, California","6003","85.3"
"Amador, California","6005","85.1"
"Modoc, California","6049","84.8"
"San Francisco, California","6075","84.6"
"Marin, California","6041","83.6"
"Butte, California","6007","82.6"
"Lassen, California","6035","80.3"
"Del Norte, California","6015","79.5"
"Lake, California","6033","77.8"
"Alameda, California","6001","77.6"
"San Luis Obispo, California","6079","76.8"
"Inyo, California","6027","76.3"
"Sacramento, California","6067","76.2"
"San Mateo, California","6081","75.9"
"Santa Clara, California","6085","74.9"
"Contra Costa, California","6013","73.8"
"Mendocino, California","6045","73.7"
"Tehama, California","6103","73.7"
"Mono, California","6051","72.7"
"Solano, California","6095","72.5"
"Sonoma, California","6097","72.5"
"Yuba, California","6115","70.5"
"Sutter, California","6101","68.1"
"Yolo, California","6113","67.9"
"Santa Cruz, California","6087","66.0"
"Orange, California","6059","66.0"
"San Diego, California","6073","65.7"
"Napa, California","6055","65.3"
"San Joaquin, California","6077","57.7"
"Glenn, California","6021","57.1"
"Ventura, California","6111","56.7"
"Santa Barbara, California","6083","53.6"
"Stanislaus, California","6099","52.1"
"Los Angeles, California","6037","51.3"
"Riverside, California","6065","49.7"
"Fresno, California","6019","46.0"
"San Bernardino, California","6071","45.4"
"Kern, California","6029","45.3"
"Kings, California","6031","44.5"
"Madera, California","6039","40.9"
"Monterey, California","6053","40.3"
"Colusa, California","6011","39.5"
"San Benito, California","6069","39.1"
"Merced, California","6047","38.8"
"Tulare, California","6107","34.2"
"Imperial, California","6025","14.9"

"undefined"
