Area,County FIPS,Percent
"Nevada, California","6057","90.5"
"Sierra, California","6091","90.2"
"Plumas, California","6063","88.6"
"Mariposa, California","6043","85.8"
"Tuolumne, California","6109","85.4"
"Modoc, California","6049","85.0"
"El Dorado, California","6017","84.7"
"Calaveras, California","6009","84.6"
"Shasta, California","6089","83.3"
"Trinity, California","6105","82.4"
"Amador, California","6005","81.8"
"Siskiyou, California","6093","81.8"
"Tehama, California","6103","80.6"
"Mono, California","6051","80.3"
"San Luis Obispo, California","6079","79.9"
"Butte, California","6007","77.8"
"Placer, California","6061","77.8"
"Mendocino, California","6045","77.3"
"Humboldt, California","6023","76.3"
"Lassen, California","6035","75.7"
"Marin, California","6041","75.3"
"Glenn, California","6021","75.0"
"Inyo, California","6027","74.0"
"Lake, California","6033","73.0"
"Sonoma, California","6097","70.4"
"Ventura, California","6111","70.1"
"Del Norte, California","6015","69.4"
"Yuba, California","6115","69.2"
"Colusa, California","6011","68.8"
"Santa Cruz, California","6087","68.5"
"Napa, California","6055","67.0"
"Santa Barbara, California","6083","65.9"
"Stanislaus, California","6099","64.8"
"Yolo, California","6113","63.3"
"San Benito, California","6069","62.7"
"Kern, California","6029","62.3"
"San Diego, California","6073","62.0"
"Tulare, California","6107","59.3"
"Alpine, California","6003","59.2"
"Sutter, California","6101","58.5"
"Kings, California","6031","56.9"
"Madera, California","6039","55.0"
"Fresno, California","6019","54.3"
"Orange, California","6059","53.6"
"Sacramento, California","6067","52.1"
"Riverside, California","6065","51.2"
"San Bernardino, California","6071","50.7"
"Contra Costa, California","6013","50.0"
"Solano, California","6095","48.5"
"Imperial, California","6025","48.0"
"San Joaquin, California","6077","46.5"
"Merced, California","6047","46.2"
"San Mateo, California","6081","45.9"
"Los Angeles, California","6037","43.7"
"San Francisco, California","6075","43.4"
"Monterey, California","6053","43.3"
"Santa Clara, California","6085","39.0"
"Alameda, California","6001","35.9"

"undefined"
