Area,County FIPS,Percent
"Imperial, California","6025","13.9"
"Merced, California","6047","11.1"
"Madera, California","6039","10.5"
"Tulare, California","6107","10.2"
"Lake, California","6033","10.1"
"Modoc, California","6049","9.9"
"Mariposa, California","6043","9.7"
"Humboldt, California","6023","9.4"
"Alpine, California","6003","9.2"
"Kings, California","6031","9.1"
"Sierra, California","6091","9.0"
"Kern, California","6029","8.9"
"Fresno, California","6019","8.8"
"Mendocino, California","6045","8.5"
"Stanislaus, California","6099","8.4"
"Plumas, California","6063","8.2"
"Tuolumne, California","6109","8.1"
"Tehama, California","6103","8.1"
"Siskiyou, California","6093","7.9"
"Sutter, California","6101","7.6"
"Del Norte, California","6015","7.5"
"San Bernardino, California","6071","7.5"
"San Joaquin, California","6077","7.3"
"Riverside, California","6065","7.2"
"Butte, California","6007","7.2"
"San Benito, California","6069","7.1"
"Glenn, California","6021","7.1"
"Los Angeles, California","6037","7.0"
"Lassen, California","6035","6.9"
"Calaveras, California","6009","6.8"
"Amador, California","6005","6.8"
"San Diego, California","6073","6.6"
"Sacramento, California","6067","6.6"
"Shasta, California","6089","6.5"
"Yuba, California","6115","6.5"
"Santa Cruz, California","6087","6.4"
"Santa Barbara, California","6083","6.1"
"Solano, California","6095","6.0"
"Trinity, California","6105","5.8"
"Contra Costa, California","6013","5.8"
"Ventura, California","6111","5.6"
"Yolo, California","6113","5.6"
"Colusa, California","6011","5.5"
"Monterey, California","6053","5.5"
"Orange, California","6059","5.4"
"San Francisco, California","6075","5.3"
"Marin, California","6041","5.2"
"San Luis Obispo, California","6079","5.1"
"Sonoma, California","6097","5.1"
"Alameda, California","6001","5.0"
"Napa, California","6055","4.9"
"El Dorado, California","6017","4.7"
"San Mateo, California","6081","4.6"
"Santa Clara, California","6085","4.5"
"Placer, California","6061","4.3"
"Inyo, California","6027","4.3"
"Nevada, California","6057","4.2"
"Mono, California","6051","2.4"

"undefined"
