California Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
0,"Santa Clara, California",6085.0,140258.0,6085.0,4.5,6085.0,39.0,6085.0,2.5,6085.0,38.5,6085.0,39.9,6085.0,0.6,6085.0,25.1,6085.0,74.9
1,"San Mateo, California",6081.0,136837.0,6081.0,4.6,6081.0,45.9,6081.0,2.4,6081.0,31.1,6081.0,35.1,6081.0,0.7,6081.0,24.1,6081.0,75.9
2,"Marin, California",6041.0,131008.0,6041.0,5.2,6041.0,75.3,6041.0,2.3,6041.0,6.2,6041.0,18.5,6041.0,0.4,6041.0,16.4,6041.0,83.6
3,"San Francisco, California",6075.0,126187.0,6075.0,5.3,6075.0,43.4,6075.0,5.2,6075.0,34.7,6075.0,34.1,6075.0,0.5,6075.0,15.4,6075.0,84.6
4,"Alameda, California",6001.0,112017.0,6001.0,5.0,6001.0,35.9,6001.0,10.2,6001.0,32.4,6001.0,32.9,6001.0,0.7,6001.0,22.4,6001.0,77.6
5,"Contra Costa, California",6013.0,110455.0,6013.0,5.8,6013.0,50.0,6013.0,8.6,6013.0,18.3,6013.0,25.0,6013.0,0.7,6013.0,26.2,6013.0,73.8
6,"Orange, California",6059.0,100485.0,6059.0,5.4,6059.0,53.6,6059.0,1.7,6059.0,21.6,6059.0,29.4,6059.0,0.6,6059.0,34.0,6059.0,66.0
7,"Placer, California",6061.0,99734.0,6061.0,4.3,6061.0,77.8,6061.0,1.6,6061.0,8.7,6061.0,11.7,6061.0,0.5,6061.0,14.6,6061.0,85.4
8,"Napa, California",6055.0,97498.0,6055.0,4.9,6055.0,67.0,6055.0,2.1,6055.0,8.0,6055.0,21.5,6055.0,0.8,6055.0,34.7,6055.0,65.3
9,"Santa Cruz, California",6087.0,96093.0,6087.0,6.4,6087.0,68.5,6087.0,1.1,6087.0,5.1,6087.0,17.8,6087.0,0.7,6087.0,34.0,6087.0,66.0
10,"Alpine, California",6003.0,96000.0,6003.0,9.2,6003.0,59.2,6003.0,0.6,6003.0,1.3,6003.0,4.8,6003.0,28.8,6003.0,14.7,6003.0,85.3
11,"San Benito, California",6069.0,95606.0,6069.0,7.1,6069.0,62.7,6069.0,1.0,6069.0,3.3,6069.0,20.0,6069.0,1.3,6069.0,60.9,6069.0,39.1
12,"Ventura, California",6111.0,94150.0,6111.0,5.6,6111.0,70.1,6111.0,1.8,6111.0,7.5,6111.0,21.1,6111.0,1.1,6111.0,43.3,6111.0,56.7
13,"Sonoma, California",6097.0,91607.0,6097.0,5.1,6097.0,70.4,6097.0,1.6,6097.0,4.7,6097.0,16.3,6097.0,1.1,6097.0,27.6,6097.0,72.5
14,"Solano, California",6095.0,89648.0,6095.0,6.0,6095.0,48.5,6095.0,13.4,6095.0,16.6,6095.0,19.7,6095.0,0.7,6095.0,27.5,6095.0,72.5
15,"El Dorado, California",6017.0,88770.0,6017.0,4.7,6017.0,84.7,6017.0,0.9,6017.0,5.1,6017.0,9.3,6017.0,0.6,6017.0,13.3,6017.0,86.7
16,"San Diego, California",6073.0,88240.0,6073.0,6.6,6073.0,62.0,6073.0,4.9,6073.0,12.4,6073.0,22.7,6073.0,0.8,6073.0,34.3,6073.0,65.7
17,"Santa Barbara, California",6083.0,84356.0,6083.0,6.1,6083.0,65.9,6083.0,1.9,6083.0,5.6,6083.0,22.4,6083.0,1.2,6083.0,46.4,6083.0,53.6
18,"San Luis Obispo, California",6079.0,82514.0,6079.0,5.1,6079.0,79.9,6079.0,1.5,6079.0,3.7,6079.0,9.7,6079.0,0.8,6079.0,23.2,6079.0,76.8
19,"Monterey, California",6053.0,82013.0,6053.0,5.5,6053.0,43.3,6053.0,2.5,6053.0,6.3,6053.0,29.0,6053.0,0.7,6053.0,59.7,6053.0,40.3
