Area,County FIPS,Percent
"Glades, Florida","12043","4.0"
"Hendry, Florida","12051","1.9"
"Liberty, Florida","12077","1.7"
"Calhoun, Florida","12013","1.2"
"Washington, Florida","12133","1.2"
"Gadsden, Florida","12039","1.0"
"Holmes, Florida","12059","1.0"
"Hamilton, Florida","12047","0.8"
"Union, Florida","12125","0.7"
"Bay, Florida","12005","0.5"
"Highlands, Florida","12055","0.5"
"Santa Rosa, Florida","12113","0.4"
"Jackson, Florida","12063","0.4"
"Putnam, Florida","12107","0.4"
"Martin, Florida","12085","0.4"
"Okeechobee, Florida","12093","0.4"
"Walton, Florida","12131","0.4"
"Gulf, Florida","12045","0.4"
"Lake, Florida","12069","0.3"
"Escambia, Florida","12033","0.3"
"Wakulla, Florida","12129","0.3"
"Lafayette, Florida","12067","0.3"
"Bradford, Florida","12007","0.3"
"Alachua, Florida","12001","0.3"
"Hillsborough, Florida","12057","0.3"
"Nassau, Florida","12089","0.3"
"Osceola, Florida","12097","0.3"
"St. Lucie, Florida","12111","0.3"
"Brevard, Florida","12009","0.3"
"Pasco, Florida","12101","0.3"
"Hernando, Florida","12053","0.3"
"Baker, Florida","12003","0.3"
"Marion, Florida","12083","0.3"
"Polk, Florida","12105","0.3"
"Sarasota, Florida","12115","0.2"
"Leon, Florida","12073","0.2"
"Palm Beach, Florida","12099","0.2"
"Collier, Florida","12021","0.2"
"Flagler, Florida","12035","0.2"
"Sumter, Florida","12119","0.2"
"Gilchrist, Florida","12041","0.2"
"Okaloosa, Florida","12091","0.2"
"Indian River, Florida","12061","0.2"
"Charlotte, Florida","12015","0.2"
"Manatee, Florida","12081","0.2"
"Broward, Florida","12011","0.2"
"Miami-Dade, Florida","12086","0.2"
"Orange, Florida","12095","0.2"
"Levy, Florida","12075","0.2"
"Citrus, Florida","12017","0.2"
"Volusia, Florida","12127","0.2"
"Hardee, Florida","12049","0.2"
"Pinellas, Florida","12103","0.2"
"Jefferson, Florida","12065","0.2"
"Duval, Florida","12031","0.2"
"Seminole, Florida","12117","0.2"
"DeSoto, Florida","12027","0.2"
"St. Johns, Florida","12109","0.1"
"Dixie, Florida","12029","0.1"
"Columbia, Florida","12023","0.1"
"Lee, Florida","12071","0.1"
"Taylor, Florida","12123","0.1"
"Clay, Florida","12019","0.1"
"Franklin, Florida","12037","0.1"
"Monroe, Florida","12087","0.1"
"Madison, Florida","12079","0.1"
"Suwannee, Florida","12121","no data/suppressed"

"undefined"
