Area,County FIPS,Percent
"Alachua, Florida","12001","6.0"
"Orange, Florida","12095","5.3"
"Duval, Florida","12031","4.8"
"Seminole, Florida","12117","4.8"
"Hillsborough, Florida","12057","4.3"
"Broward, Florida","12011","3.7"
"Okaloosa, Florida","12091","3.7"
"Pinellas, Florida","12103","3.6"
"Leon, Florida","12073","3.6"
"Escambia, Florida","12033","3.3"
"St. Johns, Florida","12109","3.1"
"Clay, Florida","12019","2.9"
"Osceola, Florida","12097","2.8"
"Pasco, Florida","12101","2.8"
"Palm Beach, Florida","12099","2.8"
"Brevard, Florida","12009","2.5"
"Flagler, Florida","12035","2.5"
"Bay, Florida","12005","2.3"
"Lake, Florida","12069","2.2"
"Manatee, Florida","12081","2.2"
"Santa Rosa, Florida","12113","2.1"
"St. Lucie, Florida","12111","2.1"
"Sarasota, Florida","12115","1.8"
"Polk, Florida","12105","1.8"
"Volusia, Florida","12127","1.8"
"Lee, Florida","12071","1.7"
"Citrus, Florida","12017","1.7"
"Highlands, Florida","12055","1.6"
"Martin, Florida","12085","1.6"
"Marion, Florida","12083","1.6"
"Miami-Dade, Florida","12086","1.6"
"Indian River, Florida","12061","1.5"
"Collier, Florida","12021","1.5"
"Charlotte, Florida","12015","1.4"
"Monroe, Florida","12087","1.4"
"Hernando, Florida","12053","1.3"
"Hardee, Florida","12049","1.2"
"Sumter, Florida","12119","1.0"
"Nassau, Florida","12089","1.0"
"Columbia, Florida","12023","1.0"
"Lafayette, Florida","12067","1.0"
"Hendry, Florida","12051","1.0"
"Okeechobee, Florida","12093","1.0"
"Holmes, Florida","12059","1.0"
"Levy, Florida","12075","0.9"
"Walton, Florida","12131","0.9"
"Washington, Florida","12133","0.8"
"Bradford, Florida","12007","0.8"
"Madison, Florida","12079","0.7"
"Putnam, Florida","12107","0.6"
"Glades, Florida","12043","0.6"
"Hamilton, Florida","12047","0.6"
"Wakulla, Florida","12129","0.6"
"Calhoun, Florida","12013","0.5"
"Taylor, Florida","12123","0.5"
"Gulf, Florida","12045","0.5"
"Baker, Florida","12003","0.4"
"Jefferson, Florida","12065","0.4"
"Jackson, Florida","12063","0.4"
"Suwannee, Florida","12121","0.4"
"Franklin, Florida","12037","0.3"
"Gilchrist, Florida","12041","0.3"
"Dixie, Florida","12029","0.3"
"Gadsden, Florida","12039","0.3"
"Union, Florida","12125","0.2"
"DeSoto, Florida","12027","0.1"
"Liberty, Florida","12077","0.1"

"undefined"
