Area,County FIPS,Percent
"Gadsden, Florida","12039","55.3"
"Madison, Florida","12079","36.8"
"Hamilton, Florida","12047","34.3"
"Jefferson, Florida","12065","33.0"
"Leon, Florida","12073","31.0"
"Duval, Florida","12031","29.4"
"Broward, Florida","12011","28.5"
"Jackson, Florida","12063","26.9"
"Taylor, Florida","12123","22.5"
"Escambia, Florida","12033","21.8"
"Orange, Florida","12095","20.7"
"St. Lucie, Florida","12111","20.4"
"Alachua, Florida","12001","19.9"
"Bradford, Florida","12007","19.3"
"Palm Beach, Florida","12099","18.6"
"Union, Florida","12125","18.3"
"Columbia, Florida","12023","17.7"
"Lafayette, Florida","12067","16.6"
"Hillsborough, Florida","12057","16.5"
"Miami-Dade, Florida","12086","16.3"
"Putnam, Florida","12107","16.0"
"Polk, Florida","12105","15.0"
"Washington, Florida","12133","14.9"
"Liberty, Florida","12077","14.9"
"Gulf, Florida","12045","14.7"
"Glades, Florida","12043","14.0"
"Wakulla, Florida","12129","13.5"
"Franklin, Florida","12037","12.8"
"Marion, Florida","12083","12.6"
"Baker, Florida","12003","12.6"
"DeSoto, Florida","12027","12.5"
"Calhoun, Florida","12013","12.1"
"Seminole, Florida","12117","11.9"
"Suwannee, Florida","12121","11.7"
"Clay, Florida","12019","11.0"
"Volusia, Florida","12127","10.9"
"Osceola, Florida","12097","10.9"
"Hendry, Florida","12051","10.8"
"Lake, Florida","12069","10.5"
"Bay, Florida","12005","10.4"
"Pinellas, Florida","12103","10.3"
"Flagler, Florida","12035","9.8"
"Brevard, Florida","12009","9.7"
"Okaloosa, Florida","12091","9.6"
"Highlands, Florida","12055","9.0"
"Okeechobee, Florida","12093","8.6"
"Levy, Florida","12075","8.4"
"Manatee, Florida","12081","8.3"
"Indian River, Florida","12061","8.2"
"Lee, Florida","12071","8.1"
"Dixie, Florida","12029","7.6"
"Sumter, Florida","12119","7.3"
"Monroe, Florida","12087","7.2"
"Holmes, Florida","12059","7.1"
"Collier, Florida","12021","6.6"
"Santa Rosa, Florida","12113","5.9"
"Pasco, Florida","12101","5.9"
"Hardee, Florida","12049","5.8"
"Martin, Florida","12085","5.6"
"Nassau, Florida","12089","5.5"
"Charlotte, Florida","12015","5.4"
"St. Johns, Florida","12109","5.3"
"Hernando, Florida","12053","5.2"
"Gilchrist, Florida","12041","4.9"
"Sarasota, Florida","12115","4.3"
"Walton, Florida","12131","4.2"
"Citrus, Florida","12017","2.5"

"undefined"
