Area,County FIPS,Percent
"Miami-Dade, Florida","12086","54.0"
"Broward, Florida","12011","34.8"
"Hendry, Florida","12051","26.4"
"Palm Beach, Florida","12099","26.3"
"Collier, Florida","12021","25.6"
"Osceola, Florida","12097","22.8"
"Orange, Florida","12095","22.3"
"Monroe, Florida","12087","19.1"
"Hillsborough, Florida","12057","18.3"
"Lee, Florida","12071","17.1"
"St. Lucie, Florida","12111","16.7"
"Seminole, Florida","12117","14.7"
"DeSoto, Florida","12027","13.3"
"Manatee, Florida","12081","13.2"
"Okeechobee, Florida","12093","12.4"
"Pinellas, Florida","12103","12.2"
"Flagler, Florida","12035","12.0"
"Sarasota, Florida","12115","11.8"
"Duval, Florida","12031","11.7"
"Highlands, Florida","12055","11.2"
"Alachua, Florida","12001","10.7"
"Pasco, Florida","12101","10.7"
"Hardee, Florida","12049","10.6"
"Polk, Florida","12105","10.4"
"Lake, Florida","12069","10.3"
"Martin, Florida","12085","10.2"
"Indian River, Florida","12061","10.0"
"Charlotte, Florida","12015","9.9"
"Glades, Florida","12043","9.9"
"Lafayette, Florida","12067","8.9"
"Brevard, Florida","12009","8.8"
"Volusia, Florida","12127","8.0"
"St. Johns, Florida","12109","8.0"
"Okaloosa, Florida","12091","7.8"
"Marion, Florida","12083","7.8"
"Bay, Florida","12005","7.3"
"Hernando, Florida","12053","7.2"
"Walton, Florida","12131","6.8"
"Leon, Florida","12073","6.8"
"Clay, Florida","12019","6.4"
"Sumter, Florida","12119","6.1"
"Citrus, Florida","12017","5.8"
"Escambia, Florida","12033","5.4"
"Gadsden, Florida","12039","5.1"
"Santa Rosa, Florida","12113","5.0"
"Suwannee, Florida","12121","4.9"
"Gilchrist, Florida","12041","4.9"
"Madison, Florida","12079","4.6"
"Levy, Florida","12075","4.4"
"Putnam, Florida","12107","4.4"
"Hamilton, Florida","12047","4.3"
"Taylor, Florida","12123","4.3"
"Nassau, Florida","12089","4.0"
"Washington, Florida","12133","3.9"
"Gulf, Florida","12045","3.9"
"Columbia, Florida","12023","3.9"
"Franklin, Florida","12037","3.8"
"Calhoun, Florida","12013","3.4"
"Jefferson, Florida","12065","3.0"
"Liberty, Florida","12077","2.8"
"Wakulla, Florida","12129","2.6"
"Bradford, Florida","12007","2.6"
"Jackson, Florida","12063","2.4"
"Union, Florida","12125","2.1"
"Holmes, Florida","12059","2.1"
"Dixie, Florida","12029","2.1"
"Baker, Florida","12003","1.5"

"undefined"
