Area,County FIPS,Percent
"Miami-Dade, Florida","12086","68.5"
"Osceola, Florida","12097","55.5"
"Hendry, Florida","12051","55.1"
"Hardee, Florida","12049","44.3"
"Orange, Florida","12095","32.6"
"DeSoto, Florida","12027","31.9"
"Broward, Florida","12011","30.9"
"Hillsborough, Florida","12057","29.6"
"Collier, Florida","12021","28.5"
"Okeechobee, Florida","12093","26.4"
"Monroe, Florida","12087","25.1"
"Polk, Florida","12105","24.9"
"Palm Beach, Florida","12099","23.1"
"Lee, Florida","12071","22.6"
"Seminole, Florida","12117","22.5"
"Glades, Florida","12043","21.7"
"Highlands, Florida","12055","21.1"
"St. Lucie, Florida","12111","20.0"
"Lake, Florida","12069","16.8"
"Manatee, Florida","12081","16.7"
"Pasco, Florida","12101","16.7"
"Volusia, Florida","12127","15.1"
"Hernando, Florida","12053","14.9"
"Lafayette, Florida","12067","14.5"
"Marion, Florida","12083","14.3"
"Martin, Florida","12085","14.1"
"Indian River, Florida","12061","12.9"
"Brevard, Florida","12009","11.0"
"Flagler, Florida","12035","10.9"
"Gadsden, Florida","12039","10.7"
"Duval, Florida","12031","10.6"
"Clay, Florida","12019","10.5"
"Alachua, Florida","12001","10.5"
"Putnam, Florida","12107","10.3"
"Hamilton, Florida","12047","10.2"
"Pinellas, Florida","12103","10.2"
"Suwannee, Florida","12121","10.0"
"Okaloosa, Florida","12091","9.8"
"Sarasota, Florida","12115","9.7"
"Levy, Florida","12075","8.9"
"Charlotte, Florida","12015","7.8"
"St. Johns, Florida","12109","7.6"
"Bay, Florida","12005","6.9"
"Leon, Florida","12073","6.7"
"Liberty, Florida","12077","6.7"
"Columbia, Florida","12023","6.6"
"Walton, Florida","12131","6.5"
"Gilchrist, Florida","12041","6.3"
"Madison, Florida","12079","6.2"
"Citrus, Florida","12017","6.2"
"Escambia, Florida","12033","6.0"
"Calhoun, Florida","12013","6.0"
"Santa Rosa, Florida","12113","6.0"
"Sumter, Florida","12119","6.0"
"Franklin, Florida","12037","5.9"
"Union, Florida","12125","5.9"
"Jackson, Florida","12063","5.1"
"Nassau, Florida","12089","4.8"
"Bradford, Florida","12007","4.6"
"Jefferson, Florida","12065","4.4"
"Dixie, Florida","12029","4.3"
"Taylor, Florida","12123","4.3"
"Wakulla, Florida","12129","4.0"
"Washington, Florida","12133","3.9"
"Gulf, Florida","12045","3.8"
"Holmes, Florida","12059","3.1"
"Baker, Florida","12003","2.9"

"undefined"
