Area,County FIPS,Percent
"Baker, Florida","12003","97.1"
"Holmes, Florida","12059","96.9"
"Gulf, Florida","12045","96.2"
"Washington, Florida","12133","96.1"
"Wakulla, Florida","12129","96.0"
"Taylor, Florida","12123","95.7"
"Dixie, Florida","12029","95.7"
"Jefferson, Florida","12065","95.6"
"Bradford, Florida","12007","95.4"
"Nassau, Florida","12089","95.2"
"Jackson, Florida","12063","94.9"
"Union, Florida","12125","94.1"
"Franklin, Florida","12037","94.1"
"Sumter, Florida","12119","94.0"
"Santa Rosa, Florida","12113","94.0"
"Calhoun, Florida","12013","94.0"
"Escambia, Florida","12033","94.0"
"Madison, Florida","12079","93.8"
"Citrus, Florida","12017","93.8"
"Gilchrist, Florida","12041","93.7"
"Walton, Florida","12131","93.5"
"Columbia, Florida","12023","93.4"
"Liberty, Florida","12077","93.3"
"Leon, Florida","12073","93.3"
"Bay, Florida","12005","93.1"
"St. Johns, Florida","12109","92.4"
"Charlotte, Florida","12015","92.2"
"Levy, Florida","12075","91.1"
"Sarasota, Florida","12115","90.3"
"Okaloosa, Florida","12091","90.2"
"Suwannee, Florida","12121","90.0"
"Pinellas, Florida","12103","89.8"
"Hamilton, Florida","12047","89.8"
"Putnam, Florida","12107","89.7"
"Alachua, Florida","12001","89.5"
"Clay, Florida","12019","89.5"
"Duval, Florida","12031","89.4"
"Gadsden, Florida","12039","89.3"
"Flagler, Florida","12035","89.1"
"Brevard, Florida","12009","89.0"
"Indian River, Florida","12061","87.1"
"Martin, Florida","12085","85.9"
"Marion, Florida","12083","85.7"
"Lafayette, Florida","12067","85.5"
"Hernando, Florida","12053","85.1"
"Volusia, Florida","12127","84.9"
"Manatee, Florida","12081","83.3"
"Pasco, Florida","12101","83.3"
"Lake, Florida","12069","83.2"
"St. Lucie, Florida","12111","80.0"
"Highlands, Florida","12055","78.9"
"Glades, Florida","12043","78.3"
"Seminole, Florida","12117","77.5"
"Lee, Florida","12071","77.4"
"Palm Beach, Florida","12099","76.9"
"Polk, Florida","12105","75.1"
"Monroe, Florida","12087","74.9"
"Okeechobee, Florida","12093","73.6"
"Collier, Florida","12021","71.5"
"Hillsborough, Florida","12057","70.4"
"Broward, Florida","12011","69.1"
"DeSoto, Florida","12027","68.1"
"Orange, Florida","12095","67.4"
"Hardee, Florida","12049","55.7"
"Hendry, Florida","12051","44.9"
"Osceola, Florida","12097","44.5"
"Miami-Dade, Florida","12086","31.5"

"undefined"
