Area,County FIPS,Percent
"Citrus, Florida","12017","90.9"
"Gilchrist, Florida","12041","89.1"
"Nassau, Florida","12089","88.5"
"Sumter, Florida","12119","88.0"
"Sarasota, Florida","12115","87.9"
"Holmes, Florida","12059","87.4"
"Charlotte, Florida","12015","87.0"
"Walton, Florida","12131","85.8"
"Dixie, Florida","12029","85.6"
"Levy, Florida","12075","85.1"
"Martin, Florida","12085","85.0"
"St. Johns, Florida","12109","84.9"
"Santa Rosa, Florida","12113","83.7"
"Hernando, Florida","12053","83.4"
"Indian River, Florida","12061","81.8"
"Pasco, Florida","12101","81.3"
"Manatee, Florida","12081","80.8"
"Gulf, Florida","12045","80.4"
"Wakulla, Florida","12129","80.2"
"Monroe, Florida","12087","79.9"
"Collier, Florida","12021","79.6"
"Franklin, Florida","12037","79.3"
"Suwannee, Florida","12121","79.2"
"Flagler, Florida","12035","79.1"
"Bay, Florida","12005","79.1"
"Baker, Florida","12003","79.1"
"Okeechobee, Florida","12093","79.0"
"Brevard, Florida","12009","78.8"
"Washington, Florida","12133","78.8"
"Pinellas, Florida","12103","78.5"
"DeSoto, Florida","12027","78.5"
"Liberty, Florida","12077","78.1"
"Lee, Florida","12071","78.0"
"Highlands, Florida","12055","77.8"
"Calhoun, Florida","12013","77.7"
"Marion, Florida","12083","77.6"
"Lake, Florida","12069","77.2"
"Lafayette, Florida","12067","77.2"
"Volusia, Florida","12127","76.8"
"Putnam, Florida","12107","76.4"
"Bradford, Florida","12007","75.7"
"Okaloosa, Florida","12091","75.7"
"Clay, Florida","12019","75.2"
"Glades, Florida","12043","74.4"
"Columbia, Florida","12023","73.7"
"Hardee, Florida","12049","73.6"
"Taylor, Florida","12123","72.9"
"Union, Florida","12125","71.9"
"Seminole, Florida","12117","69.4"
"Polk, Florida","12105","68.5"
"Hendry, Florida","12051","67.7"
"Jackson, Florida","12063","67.4"
"St. Lucie, Florida","12111","66.5"
"Escambia, Florida","12033","66.1"
"Alachua, Florida","12001","65.7"
"Palm Beach, Florida","12099","65.4"
"Hillsborough, Florida","12057","63.4"
"Jefferson, Florida","12065","63.0"
"Hamilton, Florida","12047","59.7"
"Leon, Florida","12073","59.1"
"Osceola, Florida","12097","57.7"
"Madison, Florida","12079","56.7"
"Miami-Dade, Florida","12086","56.5"
"Duval, Florida","12031","56.1"
"Orange, Florida","12095","55.5"
"Broward, Florida","12011","52.5"
"Gadsden, Florida","12039","37.2"

"undefined"
