Area,County FIPS,Percent
"Hamilton, Florida","12047","11.3"
"Franklin, Florida","12037","9.5"
"DeSoto, Florida","12027","9.4"
"Glades, Florida","12043","9.1"
"Putnam, Florida","12107","9.0"
"Columbia, Florida","12023","8.2"
"Citrus, Florida","12017","7.7"
"Liberty, Florida","12077","7.7"
"Highlands, Florida","12055","7.4"
"Marion, Florida","12083","6.9"
"Hardee, Florida","12049","6.6"
"Escambia, Florida","12033","6.3"
"Hernando, Florida","12053","6.3"
"Leon, Florida","12073","6.2"
"Taylor, Florida","12123","6.2"
"Jefferson, Florida","12065","6.2"
"Hendry, Florida","12051","6.1"
"Palm Beach, Florida","12099","6.1"
"Lake, Florida","12069","6.1"
"Osceola, Florida","12097","6.0"
"Broward, Florida","12011","6.0"
"Indian River, Florida","12061","6.0"
"Lafayette, Florida","12067","5.9"
"Orange, Florida","12095","5.7"
"St. Lucie, Florida","12111","5.7"
"Washington, Florida","12133","5.6"
"Manatee, Florida","12081","5.5"
"Sumter, Florida","12119","5.5"
"Charlotte, Florida","12015","5.4"
"Pasco, Florida","12101","5.4"
"Suwannee, Florida","12121","5.3"
"Levy, Florida","12075","5.2"
"Baker, Florida","12003","5.1"
"Jackson, Florida","12063","5.1"
"Miami-Dade, Florida","12086","5.1"
"Duval, Florida","12031","5.1"
"Okeechobee, Florida","12093","5.0"
"Pinellas, Florida","12103","5.0"
"Bradford, Florida","12007","5.0"
"Hillsborough, Florida","12057","5.0"
"Santa Rosa, Florida","12113","4.9"
"Polk, Florida","12105","4.9"
"Dixie, Florida","12029","4.9"
"Nassau, Florida","12089","4.8"
"Brevard, Florida","12009","4.8"
"Clay, Florida","12019","4.8"
"Alachua, Florida","12001","4.8"
"Holmes, Florida","12059","4.8"
"St. Johns, Florida","12109","4.7"
"Bay, Florida","12005","4.6"
"Lee, Florida","12071","4.6"
"Martin, Florida","12085","4.6"
"Walton, Florida","12131","4.6"
"Seminole, Florida","12117","4.5"
"Volusia, Florida","12127","4.2"
"Collier, Florida","12021","4.2"
"Gulf, Florida","12045","4.1"
"Gadsden, Florida","12039","4.0"
"Okaloosa, Florida","12091","3.9"
"Madison, Florida","12079","3.9"
"Gilchrist, Florida","12041","3.9"
"Flagler, Florida","12035","3.7"
"Monroe, Florida","12087","3.7"
"Sarasota, Florida","12115","3.6"
"Union, Florida","12125","3.4"
"Calhoun, Florida","12013","3.4"
"Wakulla, Florida","12129","3.3"

"undefined"
