Florida Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
0,"St. Johns, Florida",12109.0,88794.0,12109.0,4.7,12109.0,84.9,12109.0,5.3,12109.0,3.1,12109.0,8.0,12109.0,0.1,12109.0,7.6,12109.0,92.4
1,"Nassau, Florida",12089.0,77504.0,12089.0,4.8,12089.0,88.5,12089.0,5.5,12089.0,1.0,12089.0,4.0,12089.0,0.3,12089.0,4.8,12089.0,95.2
2,"Santa Rosa, Florida",12113.0,77260.0,12113.0,4.9,12113.0,83.7,12113.0,5.9,12113.0,2.1,12113.0,5.0,12113.0,0.4,12113.0,6.0,12113.0,94.0
3,"Collier, Florida",12021.0,75543.0,12021.0,4.2,12021.0,79.6,12021.0,6.6,12021.0,1.5,12021.0,25.6,12021.0,0.2,12021.0,28.5,12021.0,71.5
4,"Clay, Florida",12019.0,74059.0,12019.0,4.8,12019.0,75.2,12019.0,11.0,12019.0,2.9,12019.0,6.4,12019.0,0.1,12019.0,10.5,12019.0,89.5
5,"Monroe, Florida",12087.0,73153.0,12087.0,3.7,12087.0,79.9,12087.0,7.2,12087.0,1.4,12087.0,19.1,12087.0,0.1,12087.0,25.1,12087.0,74.9
6,"Seminole, Florida",12117.0,73002.0,12117.0,4.5,12117.0,69.4,12117.0,11.9,12117.0,4.8,12117.0,14.7,12117.0,0.2,12117.0,22.5,12117.0,77.5
7,"Wakulla, Florida",12129.0,72941.0,12129.0,3.3,12129.0,80.2,12129.0,13.5,12129.0,0.6,12129.0,2.6,12129.0,0.3,12129.0,4.0,12129.0,96.0
8,"Martin, Florida",12085.0,69769.0,12085.0,4.6,12085.0,85.0,12085.0,5.6,12085.0,1.6,12085.0,10.2,12085.0,0.4,12085.0,14.1,12085.0,85.9
9,"Sarasota, Florida",12115.0,69490.0,12115.0,3.6,12115.0,87.9,12115.0,4.3,12115.0,1.8,12115.0,11.8,12115.0,0.2,12115.0,9.7,12115.0,90.3
10,"Palm Beach, Florida",12099.0,68874.0,12099.0,6.1,12099.0,65.4,12099.0,18.6,12099.0,2.8,12099.0,26.3,12099.0,0.2,12099.0,23.1,12099.0,76.9
11,"Walton, Florida",12131.0,68111.0,12131.0,4.6,12131.0,85.8,12131.0,4.2,12131.0,0.9,12131.0,6.8,12131.0,0.4,12131.0,6.5,12131.0,93.5
12,"Okaloosa, Florida",12091.0,67390.0,12091.0,3.9,12091.0,75.7,12091.0,9.6,12091.0,3.7,12091.0,7.8,12091.0,0.2,12091.0,9.8,12091.0,90.2
13,"Orange, Florida",12095.0,65784.0,12095.0,5.7,12095.0,55.5,12095.0,20.7,12095.0,5.3,12095.0,22.3,12095.0,0.2,12095.0,32.6,12095.0,67.4
14,"Manatee, Florida",12081.0,64964.0,12081.0,5.5,12081.0,80.8,12081.0,8.3,12081.0,2.2,12081.0,13.2,12081.0,0.2,12081.0,16.7,12081.0,83.3
15,"Broward, Florida",12011.0,64522.0,12011.0,6.0,12011.0,52.5,12011.0,28.5,12011.0,3.7,12011.0,34.8,12011.0,0.2,12011.0,30.9,12011.0,69.1
16,"Hillsborough, Florida",12057.0,64164.0,12057.0,5.0,12057.0,63.4,12057.0,16.5,12057.0,4.3,12057.0,18.3,12057.0,0.3,12057.0,29.6,12057.0,70.4
17,"Baker, Florida",12003.0,63860.0,12003.0,5.1,12003.0,79.1,12003.0,12.6,12003.0,0.4,12003.0,1.5,12003.0,0.3,12003.0,2.9,12003.0,97.1
18,"Brevard, Florida",12009.0,63632.0,12009.0,4.8,12009.0,78.8,12009.0,9.7,12009.0,2.5,12009.0,8.8,12009.0,0.3,12009.0,11.0,12009.0,89.0
19,"Sumter, Florida",12119.0,63323.0,12119.0,5.5,12119.0,88.0,12119.0,7.3,12119.0,1.0,12119.0,6.1,12119.0,0.2,12119.0,6.0,12119.0,94.0
20,"Lee, Florida",12071.0,63235.0,12071.0,4.6,12071.0,78.0,12071.0,8.1,12071.0,1.7,12071.0,17.1,12071.0,0.1,12071.0,22.6,12071.0,77.4
21,"Flagler, Florida",12035.0,62305.0,12035.0,3.7,12035.0,79.1,12035.0,9.8,12035.0,2.5,12035.0,12.0,12035.0,0.2,12035.0,10.9,12035.0,89.1
22,"Indian River, Florida",12061.0,61594.0,12061.0,6.0,12061.0,81.8,12061.0,8.2,12061.0,1.5,12061.0,10.0,12061.0,0.2,12061.0,12.9,12061.0,87.1
23,"Bay, Florida",12005.0,60473.0,12005.0,4.6,12005.0,79.1,12005.0,10.4,12005.0,2.3,12005.0,7.3,12005.0,0.5,12005.0,6.9,12005.0,93.1
24,"Pinellas, Florida",12103.0,60451.0,12103.0,5.0,12103.0,78.5,12103.0,10.3,12103.0,3.6,12103.0,12.2,12103.0,0.2,12103.0,10.2,12103.0,89.8
25,"Lake, Florida",12069.0,60013.0,12069.0,6.1,12069.0,77.2,12069.0,10.5,12069.0,2.2,12069.0,10.3,12069.0,0.3,12069.0,16.8,12069.0,83.2
26,"St. Lucie, Florida",12111.0,59807.0,12111.0,5.7,12111.0,66.5,12111.0,20.4,12111.0,2.1,12111.0,16.7,12111.0,0.3,12111.0,20.0,12111.0,80.0
27,"Duval, Florida",12031.0,59541.0,12031.0,5.1,12031.0,56.1,12031.0,29.4,12031.0,4.8,12031.0,11.7,12031.0,0.2,12031.0,10.6,12031.0,89.4
28,"Osceola, Florida",12097.0,58513.0,12097.0,6.0,12097.0,57.7,12097.0,10.9,12097.0,2.8,12097.0,22.8,12097.0,0.3,12097.0,55.5,12097.0,44.5
29,"Pasco, Florida",12101.0,58084.0,12101.0,5.4,12101.0,81.3,12101.0,5.9,12101.0,2.8,12101.0,10.7,12101.0,0.3,12101.0,16.7,12101.0,83.3
30,"Charlotte, Florida",12015.0,57887.0,12015.0,5.4,12015.0,87.0,12015.0,5.4,12015.0,1.4,12015.0,9.9,12015.0,0.2,12015.0,7.8,12015.0,92.2
31,"Miami-Dade, Florida",12086.0,57815.0,12086.0,5.1,12086.0,56.5,12086.0,16.3,12086.0,1.6,12086.0,54.0,12086.0,0.2,12086.0,68.5,12086.0,31.5
32,"Leon, Florida",12073.0,57359.0,12073.0,6.2,12073.0,59.1,12073.0,31.0,12073.0,3.6,12073.0,6.8,12073.0,0.2,12073.0,6.7,12073.0,93.3
33,"Volusia, Florida",12127.0,56786.0,12127.0,4.2,12127.0,76.8,12127.0,10.9,12127.0,1.8,12127.0,8.0,12127.0,0.2,12127.0,15.1,12127.0,84.9
34,"Escambia, Florida",12033.0,56605.0,12033.0,6.3,12033.0,66.1,12033.0,21.8,12033.0,3.3,12033.0,5.4,12033.0,0.3,12033.0,6.0,12033.0,94.0
35,"Lafayette, Florida",12067.0,56458.0,12067.0,5.9,12067.0,77.2,12067.0,16.6,12067.0,1.0,12067.0,8.9,12067.0,0.3,12067.0,14.5,12067.0,85.5
36,"Union, Florida",12125.0,55463.0,12125.0,3.4,12125.0,71.9,12125.0,18.3,12125.0,0.2,12125.0,2.1,12125.0,0.7,12125.0,5.9,12125.0,94.1
37,"Polk, Florida",12105.0,55099.0,12105.0,4.9,12105.0,68.5,12105.0,15.0,12105.0,1.8,12105.0,10.4,12105.0,0.3,12105.0,24.9,12105.0,75.1
38,"Gulf, Florida",12045.0,53812.0,12045.0,4.1,12045.0,80.4,12045.0,14.7,12045.0,0.5,12045.0,3.9,12045.0,0.4,12045.0,3.8,12045.0,96.2
39,"Alachua, Florida",12001.0,53314.0,12001.0,4.8,12001.0,65.7,12001.0,19.9,12001.0,6.0,12001.0,10.7,12001.0,0.3,12001.0,10.5,12001.0,89.5
40,"Hernando, Florida",12053.0,53301.0,12053.0,6.3,12053.0,83.4,12053.0,5.2,12053.0,1.3,12053.0,7.2,12053.0,0.3,12053.0,14.9,12053.0,85.1
41,"Jefferson, Florida",12065.0,53080.0,12065.0,6.2,12065.0,63.0,12065.0,33.0,12065.0,0.4,12065.0,3.0,12065.0,0.2,12065.0,4.4,12065.0,95.6
42,"Franklin, Florida",12037.0,52679.0,12037.0,9.5,12037.0,79.3,12037.0,12.8,12037.0,0.3,12037.0,3.8,12037.0,0.1,12037.0,5.9,12037.0,94.1
43,"Gilchrist, Florida",12041.0,50983.0,12041.0,3.9,12041.0,89.1,12041.0,4.9,12041.0,0.3,12041.0,4.9,12041.0,0.2,12041.0,6.3,12041.0,93.7
44,"Marion, Florida",12083.0,50808.0,12083.0,6.9,12083.0,77.6,12083.0,12.6,12083.0,1.6,12083.0,7.8,12083.0,0.3,12083.0,14.3,12083.0,85.7
45,"Bradford, Florida",12007.0,48803.0,12007.0,5.0,12007.0,75.7,12007.0,19.3,12007.0,0.8,12007.0,2.6,12007.0,0.3,12007.0,4.6,12007.0,95.4
46,"Citrus, Florida",12017.0,48664.0,12017.0,7.7,12017.0,90.9,12017.0,2.5,12017.0,1.7,12017.0,5.8,12017.0,0.2,12017.0,6.2,12017.0,93.8
47,"Columbia, Florida",12023.0,47750.0,12023.0,8.2,12023.0,73.7,12023.0,17.7,12023.0,1.0,12023.0,3.9,12023.0,0.1,12023.0,6.6,12023.0,93.4
48,"Suwannee, Florida",12121.0,47218.0,12121.0,5.3,12121.0,79.2,12121.0,11.7,12121.0,0.4,12121.0,4.9,12121.0,no data/suppressed,12121.0,10.0,12121.0,90.0
49,"Okeechobee, Florida",12093.0,47020.0,12093.0,5.0,12093.0,79.0,12093.0,8.6,12093.0,1.0,12093.0,12.4,12093.0,0.4,12093.0,26.4,12093.0,73.6
50,"Highlands, Florida",12055.0,46895.0,12055.0,7.4,12055.0,77.8,12055.0,9.0,12055.0,1.6,12055.0,11.2,12055.0,0.5,12055.0,21.1,12055.0,78.9
51,"Dixie, Florida",12029.0,44287.0,12029.0,4.9,12029.0,85.6,12029.0,7.6,12029.0,0.3,12029.0,2.1,12029.0,0.1,12029.0,4.3,12029.0,95.7
52,"Taylor, Florida",12123.0,43563.0,12123.0,6.2,12123.0,72.9,12123.0,22.5,12123.0,0.5,12123.0,4.3,12123.0,0.1,12123.0,4.3,12123.0,95.7
53,"Jackson, Florida",12063.0,43416.0,12063.0,5.1,12063.0,67.4,12063.0,26.9,12063.0,0.4,12063.0,2.4,12063.0,0.4,12063.0,5.1,12063.0,94.9
54,"Levy, Florida",12075.0,43029.0,12075.0,5.2,12075.0,85.1,12075.0,8.4,12075.0,0.9,12075.0,4.4,12075.0,0.2,12075.0,8.9,12075.0,91.1
55,"Gadsden, Florida",12039.0,42661.0,12039.0,4.0,12039.0,37.2,12039.0,55.3,12039.0,0.3,12039.0,5.1,12039.0,1.0,12039.0,10.7,12039.0,89.3
56,"Liberty, Florida",12077.0,42438.0,12077.0,7.7,12077.0,78.1,12077.0,14.9,12077.0,0.1,12077.0,2.8,12077.0,1.7,12077.0,6.7,12077.0,93.3
57,"Holmes, Florida",12059.0,41809.0,12059.0,4.8,12059.0,87.4,12059.0,7.1,12059.0,1.0,12059.0,2.1,12059.0,1.0,12059.0,3.1,12059.0,96.9
58,"Washington, Florida",12133.0,41806.0,12133.0,5.6,12133.0,78.8,12133.0,14.9,12133.0,0.8,12133.0,3.9,12133.0,1.2,12133.0,3.9,12133.0,96.1
59,"Hardee, Florida",12049.0,41395.0,12049.0,6.6,12049.0,73.6,12049.0,5.8,12049.0,1.2,12049.0,10.6,12049.0,0.2,12049.0,44.3,12049.0,55.7
60,"Putnam, Florida",12107.0,39975.0,12107.0,9.0,12107.0,76.4,12107.0,16.0,12107.0,0.6,12107.0,4.4,12107.0,0.4,12107.0,10.3,12107.0,89.7
61,"DeSoto, Florida",12027.0,39945.0,12027.0,9.4,12027.0,78.5,12027.0,12.5,12027.0,0.1,12027.0,13.3,12027.0,0.2,12027.0,31.9,12027.0,68.1
62,"Madison, Florida",12079.0,39503.0,12079.0,3.9,12079.0,56.7,12079.0,36.8,12079.0,0.7,12079.0,4.6,12079.0,0.1,12079.0,6.2,12079.0,93.8
63,"Hamilton, Florida",12047.0,39346.0,12047.0,11.3,12047.0,59.7,12047.0,34.3,12047.0,0.6,12047.0,4.3,12047.0,0.8,12047.0,10.2,12047.0,89.8
64,"Hendry, Florida",12051.0,38843.0,12051.0,6.1,12051.0,67.7,12051.0,10.8,12051.0,1.0,12051.0,26.4,12051.0,1.9,12051.0,55.1,12051.0,44.9
65,"Calhoun, Florida",12013.0,38098.0,12013.0,3.4,12013.0,77.7,12013.0,12.1,12013.0,0.5,12013.0,3.4,12013.0,1.2,12013.0,6.0,12013.0,94.0
66,"Glades, Florida",12043.0,38088.0,12043.0,9.1,12043.0,74.4,12043.0,14.0,12043.0,0.6,12043.0,9.9,12043.0,4.0,12043.0,21.7,12043.0,78.3
67,undefined,,,,,,,,,,,,,,,,,,
