Area,County FIPS,Dollars
"Rockwall, Texas","48397","111595"
"Collin, Texas","48085","104327"
"Fort Bend, Texas","48157","102590"
"Kendall, Texas","48259","100706"
"Denton, Texas","48121","96265"
"Williamson, Texas","48491","94705"
"Chambers, Texas","48071","93707"
"Somervell, Texas","48425","89253"
"Montgomery, Texas","48339","88597"
"Parker, Texas","48367","88535"
"Midland, Texas","48329","88210"
"Brazoria, Texas","48039","87958"
"Comal, Texas","48091","85912"
"Glasscock, Texas","48173","85417"
"Ellis, Texas","48139","85272"
"Travis, Texas","48453","85043"
"Wilson, Texas","48493","84042"
"Andrews, Texas","48003","80518"
"Guadalupe, Texas","48187","80047"
"Galveston, Texas","48167","79328"
"Bastrop, Texas","48021","78339"
"Carson, Texas","48065","76786"
"Hood, Texas","48221","75851"
"Wise, Texas","48497","75482"
"Kaufman, Texas","48257","75187"
"Tarrant, Texas","48439","73545"
"Mason, Texas","48319","73186"
"Yoakum, Texas","48501","73102"
"Blanco, Texas","48031","71201"
"Armstrong, Texas","48011","71136"
"Hays, Texas","48209","71061"
"Johnson, Texas","48251","70767"
"Randall, Texas","48381","70544"
"Clay, Texas","48077","69967"
"Martin, Texas","48317","69194"
"Orange, Texas","48361","68756"
"Borden, Texas","48033","68500"
"Austin, Texas","48015","68400"
"Oldham, Texas","48359","68077"
"Winkler, Texas","48495","67904"
"Crane, Texas","48103","67804"
"Gaines, Texas","48165","67728"
"Medina, Texas","48325","67180"
"Archer, Texas","48009","67083"
"Fayette, Texas","48149","66624"
"Lampasas, Texas","48281","66506"
"Lipscomb, Texas","48295","66250"
"Ward, Texas","48475","66216"
"Washington, Texas","48477","65913"
"Harris, Texas","48201","65788"
"Waller, Texas","48473","65379"
"Burnet, Texas","48053","65363"
"Hardin, Texas","48199","65347"
"Dallas, Texas","48113","65011"
"Ector, Texas","48135","64975"
"Garza, Texas","48169","64871"
"Bandera, Texas","48019","64495"
"Gillespie, Texas","48171","64438"
"Burleson, Texas","48051","64109"
"Bailey, Texas","48017","64044"
"Kent, Texas","48263","63994"
"Atascosa, Texas","48013","63391"
"Caldwell, Texas","48055","63380"
"Cooke, Texas","48097","63338"
"McMullen, Texas","48311","63056"
"Parmer, Texas","48369","62885"
"Llano, Texas","48299","62839"
"Reagan, Texas","48383","62829"
"Roberts, Texas","48393","62717"
"Smith, Texas","48423","62518"
"Stonewall, Texas","48433","62273"
"Kerr, Texas","48265","62204"
"Bexar, Texas","48029","62169"
"Grayson, Texas","48181","62078"
"Tom Green, Texas","48451","62052"
