Area,County FIPS,Percent
"Culberson, Texas","48109","4.1"
"Winkler, Texas","48495","3.7"
"Stonewall, Texas","48433","2.7"
"Gillespie, Texas","48171","2.5"
"Carson, Texas","48065","2.5"
"Maverick, Texas","48323","2.2"
"Presidio, Texas","48377","1.9"
"Gray, Texas","48179","1.9"
"Mason, Texas","48319","1.9"
"Collingsworth, Texas","48087","1.8"
"Hutchinson, Texas","48233","1.8"
"Red River, Texas","48387","1.8"
"Menard, Texas","48327","1.7"
"Cherokee, Texas","48073","1.6"
"Erath, Texas","48143","1.4"
"Shelby, Texas","48419","1.4"
"DeWitt, Texas","48123","1.4"
"Polk, Texas","48373","1.4"
"Swisher, Texas","48437","1.3"
"Aransas, Texas","48007","1.2"
"Archer, Texas","48009","1.2"
"Pecos, Texas","48371","1.1"
"Palo Pinto, Texas","48363","1.1"
"Armstrong, Texas","48011","1.1"
"Wilbarger, Texas","48487","1.1"
"Hudspeth, Texas","48229","1.0"
"Bastrop, Texas","48021","1.0"
"Clay, Texas","48077","0.9"
"Nacogdoches, Texas","48347","0.9"
"Bailey, Texas","48017","0.9"
"Yoakum, Texas","48501","0.9"
"Wichita, Texas","48485","0.9"
"Lamar, Texas","48277","0.9"
"Burleson, Texas","48051","0.9"
"Llano, Texas","48299","0.9"
"Angelina, Texas","48005","0.9"
"Rockwall, Texas","48397","0.9"
"Rains, Texas","48379","0.9"
"Coryell, Texas","48099","0.8"
"Hardeman, Texas","48197","0.8"
"Brewster, Texas","48043","0.8"
"Randall, Texas","48381","0.8"
"Howard, Texas","48227","0.8"
"Comanche, Texas","48093","0.8"
"Cooke, Texas","48097","0.8"
"Dawson, Texas","48115","0.8"
"Potter, Texas","48375","0.8"
"Hunt, Texas","48231","0.8"
"Coleman, Texas","48083","0.8"
"Sutton, Texas","48435","0.7"
"Foard, Texas","48155","0.7"
"Moore, Texas","48341","0.7"
"Lipscomb, Texas","48295","0.7"
"Hill, Texas","48217","0.7"
"Midland, Texas","48329","0.7"
"Wise, Texas","48497","0.7"
"Grayson, Texas","48181","0.7"
"Hansford, Texas","48195","0.7"
"Deaf Smith, Texas","48117","0.7"
