Area,County FIPS,Percent
"Fort Bend, Texas","48157","21.0"
"Collin, Texas","48085","16.4"
"Denton, Texas","48121","9.6"
"Williamson, Texas","48491","7.6"
"Harris, Texas","48201","7.1"
"Travis, Texas","48453","7.1"
"Brazoria, Texas","48039","6.8"
"Dallas, Texas","48113","6.6"
"Brazos, Texas","48041","6.0"
"Tarrant, Texas","48439","5.9"
"Potter, Texas","48375","5.3"
"Moore, Texas","48341","4.5"
"Calhoun, Texas","48057","4.5"
"Brewster, Texas","48043","3.9"
"Jefferson, Texas","48245","3.8"
"Galveston, Texas","48167","3.5"
"Bell, Texas","48027","3.5"
"Montgomery, Texas","48339","3.3"
"Crane, Texas","48103","3.3"
"Wilbarger, Texas","48487","3.2"
"Bexar, Texas","48029","3.1"
"Rockwall, Texas","48397","3.1"
"Coryell, Texas","48099","2.8"
"Ward, Texas","48475","2.5"
"Hardeman, Texas","48197","2.5"
"Taylor, Texas","48441","2.4"
"Lubbock, Texas","48303","2.4"
"Sherman, Texas","48421","2.3"
"Wichita, Texas","48485","2.3"
"Garza, Texas","48169","2.3"
"Matagorda, Texas","48321","2.2"
"Randall, Texas","48381","2.2"
"Navarro, Texas","48349","2.2"
"Nueces, Texas","48355","2.2"
"Midland, Texas","48329","2.1"
"Smith, Texas","48423","1.8"
"Reagan, Texas","48383","1.8"
"Falls, Texas","48145","1.7"
"McLennan, Texas","48309","1.7"
"Knox, Texas","48275","1.7"
"Guadalupe, Texas","48187","1.7"
"Hays, Texas","48209","1.7"
"Dimmit, Texas","48127","1.6"
"Kleberg, Texas","48273","1.6"
"Grayson, Texas","48181","1.6"
"Tom Green, Texas","48451","1.5"
"Morris, Texas","48343","1.5"
"Sabine, Texas","48403","1.5"
"Lampasas, Texas","48281","1.5"
"Reeves, Texas","48389","1.4"
"Aransas, Texas","48007","1.4"
"Gray, Texas","48179","1.4"
"Presidio, Texas","48377","1.4"
"Walker, Texas","48471","1.4"
"Waller, Texas","48473","1.4"
"Kaufman, Texas","48257","1.4"
"Kendall, Texas","48259","1.4"
"Zapata, Texas","48505","1.4"
"El Paso, Texas","48141","1.3"
"Madison, Texas","48313","1.3"
"Bowie, Texas","48037","1.3"
"Castro, Texas","48069","1.3"
"Washington, Texas","48477","1.3"
"Lipscomb, Texas","48295","1.3"
"Victoria, Texas","48469","1.3"
"Comal, Texas","48091","1.3"
"Blanco, Texas","48031","1.2"
"Lee, Texas","48287","1.2"
"Erath, Texas","48143","1.2"
"Loving, Texas","48301","1.2"
"Hunt, Texas","48231","1.2"
"Coleman, Texas","48083","1.2"
"Johnson, Texas","48251","1.2"
"Leon, Texas","48289","1.2"
"Limestone, Texas","48293","1.2"
"San Patricio, Texas","48409","1.2"
"Ector, Texas","48135","1.2"
"Pecos, Texas","48371","1.1"
"Frio, Texas","48163","1.1"
"Uvalde, Texas","48463","1.1"
"Somervell, Texas","48425","1.1"
"Nacogdoches, Texas","48347","1.1"
"Hutchinson, Texas","48233","1.1"
"Gregg, Texas","48183","1.1"
"Rains, Texas","48379","1.1"
"Baylor, Texas","48023","1.0"
"Hopkins, Texas","48223","1.0"
"Clay, Texas","48077","1.0"
"Angelina, Texas","48005","1.0"
"Oldham, Texas","48359","1.0"
"Gaines, Texas","48165","1.0"
"Palo Pinto, Texas","48363","1.0"
"Hidalgo, Texas","48215","1.0"
"Hill, Texas","48217","0.9"
"Gonzales, Texas","48177","0.9"
"Medina, Texas","48325","0.9"
"Orange, Texas","48361","0.9"
"Sterling, Texas","48431","0.9"
"Culberson, Texas","48109","0.9"
"Polk, Texas","48373","0.9"
"Lamb, Texas","48279","0.9"
"Howard, Texas","48227","0.9"
"McCulloch, Texas","48307","0.9"
"Deaf Smith, Texas","48117","0.9"
"Anderson, Texas","48001","0.9"
"Stephens, Texas","48429","0.9"
"Caldwell, Texas","48055","0.9"
"Milam, Texas","48331","0.9"
"Briscoe, Texas","48045","0.9"
"Crosby, Texas","48107","0.9"
"Collingsworth, Texas","48087","0.8"
"Foard, Texas","48155","0.8"
"Swisher, Texas","48437","0.8"
"Titus, Texas","48449","0.8"
"Ellis, Texas","48139","0.8"
"Dickens, Texas","48125","0.8"
"Cooke, Texas","48097","0.8"
"Hudspeth, Texas","48229","0.8"
"Kerr, Texas","48265","0.8"
"Lamar, Texas","48277","0.8"
"Panola, Texas","48365","0.8"
"Bastrop, Texas","48021","0.8"
"Mason, Texas","48319","0.8"
"Winkler, Texas","48495","0.8"
"Burnet, Texas","48053","0.8"
"Harrison, Texas","48203","0.8"
"Colorado, Texas","48089","0.7"
"Wood, Texas","48499","0.7"
"Live Oak, Texas","48297","0.7"
"Parker, Texas","48367","0.7"
"Bosque, Texas","48035","0.7"
"Austin, Texas","48015","0.7"
"Carson, Texas","48065","0.7"
"Camp, Texas","48063","0.7"
"Cameron, Texas","48061","0.7"
"Jackson, Texas","48239","0.7"
"Andrews, Texas","48003","0.7"
"Henderson, Texas","48213","0.7"
"Newton, Texas","48351","0.7"
"Marion, Texas","48315","0.7"
"Val Verde, Texas","48465","0.7"
"Hood, Texas","48221","0.7"
"Chambers, Texas","48071","0.7"
"Bailey, Texas","48017","0.7"
"Cass, Texas","48067","0.7"
"Yoakum, Texas","48501","0.6"
"Karnes, Texas","48255","0.6"
"Scurry, Texas","48415","0.6"
"Jack, Texas","48237","0.6"
"Wilson, Texas","48493","0.6"
"Kenedy, Texas","48261","0.6"
"Wise, Texas","48497","0.6"
"Rusk, Texas","48401","0.6"
"Red River, Texas","48387","0.6"
"Tyler, Texas","48457","0.6"
"Brown, Texas","48049","0.6"
"Liberty, Texas","48291","0.5"
"Hartley, Texas","48205","0.5"
"Upton, Texas","48461","0.5"
"Ochiltree, Texas","48357","0.5"
"Jim Wells, Texas","48249","0.5"
"Cherokee, Texas","48073","0.5"
"Concho, Texas","48095","0.5"
"Lynn, Texas","48305","0.5"
"Fannin, Texas","48147","0.5"
"Fayette, Texas","48149","0.5"
"Hockley, Texas","48219","0.5"
"Atascosa, Texas","48013","0.5"
"Schleicher, Texas","48413","0.5"
"Shelby, Texas","48419","0.5"
"Webb, Texas","48479","0.5"
"Hardin, Texas","48199","0.5"
"Llano, Texas","48299","0.4"
"Van Zandt, Texas","48467","0.4"
"Upshur, Texas","48459","0.4"
"Bandera, Texas","48019","0.4"
"Eastland, Texas","48133","0.4"
"Wharton, Texas","48481","0.4"
"Freestone, Texas","48161","0.4"
"Comanche, Texas","48093","0.4"
"Jasper, Texas","48241","0.4"
"Lavaca, Texas","48285","0.4"
"Robertson, Texas","48395","0.4"
"Gillespie, Texas","48171","0.4"
"Martin, Texas","48317","0.4"
"Hale, Texas","48189","0.4"
"Nolan, Texas","48353","0.4"
"Callahan, Texas","48059","0.4"
"Grimes, Texas","48185","0.4"
"Houston, Texas","48225","0.3"
"Wheeler, Texas","48483","0.3"
"San Saba, Texas","48411","0.3"
"Jones, Texas","48253","0.3"
"Zavala, Texas","48507","0.3"
"Delta, Texas","48119","0.3"
"Floyd, Texas","48153","0.2"
"Parmer, Texas","48369","0.2"
"Young, Texas","48503","0.2"
"Mills, Texas","48333","0.2"
"Donley, Texas","48129","0.2"
"Fisher, Texas","48151","0.2"
"Goliad, Texas","48175","0.2"
"Dawson, Texas","48115","0.2"
"Armstrong, Texas","48011","0.2"
"San Jacinto, Texas","48407","0.2"
"Shackelford, Texas","48417","0.2"
"Refugio, Texas","48391","0.2"
"Bee, Texas","48025","0.2"
"Hall, Texas","48191","0.2"
"La Salle, Texas","48283","0.1"
"Brooks, Texas","48047","0.1"
"Cochran, Texas","48079","0.1"
"Maverick, Texas","48323","0.1"
"Hansford, Texas","48195","0.1"
"DeWitt, Texas","48123","0.1"
"Sutton, Texas","48435","0.1"
"San Augustine, Texas","48405","0.1"
"Childress, Texas","48075","0.1"
"Archer, Texas","48009","0.1"
"Hamilton, Texas","48193","0.1"
"Runnels, Texas","48399","0.1"
"Trinity, Texas","48455","0.1"
"Jim Hogg, Texas","48247","no data/suppressed"
"Kimble, Texas","48267","no data/suppressed"
"Coke, Texas","48081","no data/suppressed"
"Haskell, Texas","48207","no data/suppressed"
"Terrell, Texas","48443","no data/suppressed"
"Glasscock, Texas","48173","no data/suppressed"
"Borden, Texas","48033","no data/suppressed"
"Mitchell, Texas","48335","no data/suppressed"
"Roberts, Texas","48393","no data/suppressed"
"Dallam, Texas","48111","no data/suppressed"
"Hemphill, Texas","48211","no data/suppressed"
"Motley, Texas","48345","no data/suppressed"
"McMullen, Texas","48311","no data/suppressed"
"Jeff Davis, Texas","48243","no data/suppressed"
"Duval, Texas","48131","no data/suppressed"
"Willacy, Texas","48489","no data/suppressed"
"Menard, Texas","48327","no data/suppressed"
"Cottle, Texas","48101","no data/suppressed"
"Irion, Texas","48235","no data/suppressed"
"Franklin, Texas","48159","no data/suppressed"
"Terry, Texas","48445","no data/suppressed"
"Real, Texas","48385","no data/suppressed"
"Edwards, Texas","48137","no data/suppressed"
"Starr, Texas","48427","no data/suppressed"
"Crockett, Texas","48105","no data/suppressed"
"Kinney, Texas","48271","no data/suppressed"
"King, Texas","48269","no data/suppressed"
