Area,County FIPS,Percent
"Jefferson, Texas","48245","33.4"
"Bowie, Texas","48037","25.2"
"Houston, Texas","48225","24.9"
"Waller, Texas","48473","23.7"
"Bell, Texas","48027","23.7"
"Walker, Texas","48471","22.9"
"Falls, Texas","48145","22.6"
"Dallas, Texas","48113","22.5"
"Marion, Texas","48315","22.5"
"San Augustine, Texas","48405","22.4"
"Morris, Texas","48343","22.3"
"Anderson, Texas","48001","20.8"
"Newton, Texas","48351","20.5"
"Robertson, Texas","48395","20.5"
"Fort Bend, Texas","48157","20.2"
"Harrison, Texas","48203","20.0"
"Gregg, Texas","48183","19.5"
"Harris, Texas","48201","18.9"
"Shelby, Texas","48419","18.6"
"Nacogdoches, Texas","48347","18.4"
"Cass, Texas","48067","17.3"
"Washington, Texas","48477","17.0"
"Tarrant, Texas","48439","17.0"
"Smith, Texas","48423","17.0"
"Limestone, Texas","48293","16.9"
"Rusk, Texas","48401","16.4"
"Madison, Texas","48313","16.1"
"Camp, Texas","48063","15.6"
"Jasper, Texas","48241","15.5"
"Brazoria, Texas","48039","14.9"
"Freestone, Texas","48161","14.9"
"Red River, Texas","48387","14.7"
"Grimes, Texas","48185","14.7"
"McLennan, Texas","48309","14.3"
"Coryell, Texas","48099","14.2"
"Angelina, Texas","48005","13.8"
"Cherokee, Texas","48073","13.8"
"Kaufman, Texas","48257","13.6"
"Lamar, Texas","48277","13.4"
"Burleson, Texas","48051","13.2"
"Wharton, Texas","48481","13.2"
"Panola, Texas","48365","13.1"
"Colorado, Texas","48089","12.5"
"Jones, Texas","48253","12.3"
"Galveston, Texas","48167","12.3"
"Ellis, Texas","48139","11.3"
"Navarro, Texas","48349","11.2"
"Lee, Texas","48287","11.1"
"Brazos, Texas","48041","11.1"
"Denton, Texas","48121","10.3"
"Wichita, Texas","48485","10.3"
"Tyler, Texas","48457","10.3"
"Potter, Texas","48375","10.2"
"Matagorda, Texas","48321","10.1"
"Collin, Texas","48085","10.1"
"Milam, Texas","48331","9.8"
"San Jacinto, Texas","48407","9.5"
"Titus, Texas","48449","9.5"
"Collingsworth, Texas","48087","9.3"
"Polk, Texas","48373","9.0"
"Liberty, Texas","48291","9.0"
"Austin, Texas","48015","8.9"
"Childress, Texas","48075","8.8"
"Orange, Texas","48361","8.7"
"Guadalupe, Texas","48187","8.6"
"Trinity, Texas","48455","8.5"
"Delta, Texas","48119","8.5"
"Dawson, Texas","48115","8.4"
"Travis, Texas","48453","8.3"
"DeWitt, Texas","48123","8.1"
"Upshur, Texas","48459","8.1"
"Swisher, Texas","48437","8.1"
"Hartley, Texas","48205","7.8"
"Taylor, Texas","48441","7.8"
"Wilbarger, Texas","48487","7.7"
"Bexar, Texas","48029","7.6"
"Chambers, Texas","48071","7.6"
"Jackson, Texas","48239","7.5"
"Hunt, Texas","48231","7.4"
"Bastrop, Texas","48021","7.4"
"Garza, Texas","48169","7.3"
"Bee, Texas","48025","7.3"
"Lubbock, Texas","48303","7.3"
"Rockwall, Texas","48397","7.2"
"Cottle, Texas","48101","7.1"
