Area,County FIPS,Percent
"Presidio, Texas","48377","43.0"
"Hudspeth, Texas","48229","42.6"
"Maverick, Texas","48323","29.5"
"Fort Bend, Texas","48157","29.3"
"Dallam, Texas","48111","28.2"
"Ochiltree, Texas","48357","27.7"
"Gaines, Texas","48165","27.0"
"Starr, Texas","48427","26.6"
"Garza, Texas","48169","26.5"
"Harris, Texas","48201","26.2"
"Hidalgo, Texas","48215","26.1"
"Moore, Texas","48341","26.0"
"Kenedy, Texas","48261","25.4"
"Webb, Texas","48479","25.2"
"Dallas, Texas","48113","24.5"
"Parmer, Texas","48369","24.1"
"Crane, Texas","48103","24.0"
"El Paso, Texas","48141","23.6"
"Glasscock, Texas","48173","22.9"
"Cameron, Texas","48061","22.8"
"Sherman, Texas","48421","22.4"
"Val Verde, Texas","48465","22.2"
"Bailey, Texas","48017","21.9"
"Collin, Texas","48085","21.8"
"Zapata, Texas","48505","21.1"
"Yoakum, Texas","48501","20.0"
"Titus, Texas","48449","19.5"
"Hansford, Texas","48195","19.4"
"Frio, Texas","48163","18.3"
"Reeves, Texas","48389","18.0"
"Castro, Texas","48069","17.8"
"Travis, Texas","48453","17.4"
"Cochran, Texas","48079","16.3"
"Tarrant, Texas","48439","16.3"
"Deaf Smith, Texas","48117","16.3"
"Hemphill, Texas","48211","16.2"
"Andrews, Texas","48003","16.0"
"Denton, Texas","48121","15.9"
"Potter, Texas","48375","15.6"
"Ector, Texas","48135","15.6"
"Winkler, Texas","48495","15.5"
"King, Texas","48269","14.8"
"Reagan, Texas","48383","14.3"
"Culberson, Texas","48109","14.2"
"Lipscomb, Texas","48295","14.1"
"Montgomery, Texas","48339","13.8"
"Midland, Texas","48329","13.8"
"Pecos, Texas","48371","13.7"
"Williamson, Texas","48491","13.6"
"Brazoria, Texas","48039","13.5"
"Concho, Texas","48095","13.4"
"Willacy, Texas","48489","13.2"
"Navarro, Texas","48349","13.2"
"Swisher, Texas","48437","13.1"
"Bexar, Texas","48029","13.1"
"Sutton, Texas","48435","13.1"
"Jeff Davis, Texas","48243","12.7"
"Kinney, Texas","48271","12.7"
"Brewster, Texas","48043","12.7"
"Calhoun, Texas","48057","12.6"
"Brazos, Texas","48041","12.4"
"Jefferson, Texas","48245","12.1"
"Gonzales, Texas","48177","11.8"
"Waller, Texas","48473","11.8"
"Caldwell, Texas","48055","11.7"
"Hall, Texas","48191","11.6"
"Bastrop, Texas","48021","11.6"
"Uvalde, Texas","48463","11.6"
"Matagorda, Texas","48321","11.1"
"Crockett, Texas","48105","10.8"
"Brooks, Texas","48047","10.6"
"Howard, Texas","48227","10.5"
"Madison, Texas","48313","10.4"
"Dimmit, Texas","48127","10.2"
"Liberty, Texas","48291","10.2"
"Lamb, Texas","48279","10.2"
"Cherokee, Texas","48073","10.1"
"Hale, Texas","48189","10.1"
"Austin, Texas","48015","10.0"
"Karnes, Texas","48255","9.9"
"Galveston, Texas","48167","9.9"
"Colorado, Texas","48089","9.8"
"Martin, Texas","48317","9.7"
"Gray, Texas","48179","9.6"
"Limestone, Texas","48293","9.5"
"Collingsworth, Texas","48087","9.3"
"Ward, Texas","48475","9.3"
"Hays, Texas","48209","9.3"
"Camp, Texas","48063","9.3"
"Smith, Texas","48423","9.3"
"Upton, Texas","48461","9.2"
"Edwards, Texas","48137","9.1"
"Gillespie, Texas","48171","9.1"
"Lee, Texas","48287","9.1"
"Wheeler, Texas","48483","9.1"
"Nueces, Texas","48355","8.9"
"Rockwall, Texas","48397","8.9"
"Knox, Texas","48275","8.9"
"Wharton, Texas","48481","8.8"
"Comanche, Texas","48093","8.5"
"Terry, Texas","48445","8.4"
"McLennan, Texas","48309","8.4"
"Hartley, Texas","48205","8.4"
"Hockley, Texas","48219","8.4"
"Fayette, Texas","48149","8.3"
"Dickens, Texas","48125","8.3"
"Angelina, Texas","48005","8.3"
"Kaufman, Texas","48257","8.3"
"Chambers, Texas","48071","8.2"
"Gregg, Texas","48183","8.2"
"Floyd, Texas","48153","8.1"
"Burnet, Texas","48053","8.0"
"Shelby, Texas","48419","8.0"
"Schleicher, Texas","48413","8.0"
"Erath, Texas","48143","7.9"
"Hopkins, Texas","48223","7.8"
"Ellis, Texas","48139","7.8"
"Bell, Texas","48027","7.7"
"Young, Texas","48503","7.7"
"Hardeman, Texas","48197","7.6"
"Cooke, Texas","48097","7.6"
