Area,County FIPS,Percent
"Kenedy, Texas","48261","98.2"
"Starr, Texas","48427","96.3"
"Webb, Texas","48479","95.5"
"Maverick, Texas","48323","95.1"
"Zapata, Texas","48505","94.8"
"Zavala, Texas","48507","93.9"
"Jim Hogg, Texas","48247","93.3"
"Hidalgo, Texas","48215","92.5"
"Brooks, Texas","48047","91.6"
"Cameron, Texas","48061","90.0"
"Duval, Texas","48131","89.3"
"Willacy, Texas","48489","88.2"
"Dimmit, Texas","48127","87.8"
"La Salle, Texas","48283","84.8"
"El Paso, Texas","48141","82.9"
"Culberson, Texas","48109","82.9"
"Val Verde, Texas","48465","82.6"
"Jim Wells, Texas","48249","80.5"
"Presidio, Texas","48377","80.0"
"Frio, Texas","48163","79.8"
"Hudspeth, Texas","48229","77.7"
"Reeves, Texas","48389","75.1"
"Deaf Smith, Texas","48117","74.4"
"Kleberg, Texas","48273","73.5"
"Uvalde, Texas","48463","72.3"
"Sutton, Texas","48435","70.2"
"Pecos, Texas","48371","69.4"
"Reagan, Texas","48383","69.4"
"Yoakum, Texas","48501","67.8"
"Bailey, Texas","48017","66.5"
"Kinney, Texas","48271","65.7"
"Crane, Texas","48103","65.6"
"Castro, Texas","48069","65.5"
"Atascosa, Texas","48013","65.3"
"Parmer, Texas","48369","64.7"
"Nueces, Texas","48355","64.6"
"McMullen, Texas","48311","64.3"
"Ector, Texas","48135","62.7"
"Winkler, Texas","48495","62.2"
"Bexar, Texas","48029","60.9"
"Hale, Texas","48189","60.6"
"Crockett, Texas","48105","60.5"
"Cochran, Texas","48079","59.7"
"Bee, Texas","48025","59.5"
"Floyd, Texas","48153","59.3"
"Dawson, Texas","48115","58.6"
"San Patricio, Texas","48409","58.5"
"Moore, Texas","48341","57.7"
"Andrews, Texas","48003","57.4"
"Crosby, Texas","48107","56.7"
"Lamb, Texas","48279","56.5"
"Upton, Texas","48461","56.3"
"Karnes, Texas","48255","56.3"
"Terry, Texas","48445","56.2"
"Ochiltree, Texas","48357","55.6"
"Ward, Texas","48475","55.2"
"Schleicher, Texas","48413","54.3"
"Terrell, Texas","48443","54.1"
"Caldwell, Texas","48055","54.1"
"Medina, Texas","48325","52.8"
"Gonzales, Texas","48177","51.8"
"Refugio, Texas","48391","51.2"
"Garza, Texas","48169","49.9"
"Calhoun, Texas","48057","49.8"
"Hockley, Texas","48219","49.3"
"Hansford, Texas","48195","48.6"
"Victoria, Texas","48469","48.0"
"Dallam, Texas","48111","47.1"
"Lynn, Texas","48305","46.4"
"Midland, Texas","48329","46.3"
"Martin, Texas","48317","46.3"
"Brewster, Texas","48043","45.5"
"Edwards, Texas","48137","45.3"
"Swisher, Texas","48437","45.2"
"Sherman, Texas","48421","45.2"
"Titus, Texas","48449","44.4"
"Glasscock, Texas","48173","44.1"
"Howard, Texas","48227","44.0"
"Matagorda, Texas","48321","43.8"
"Harris, Texas","48201","43.6"
"Wharton, Texas","48481","42.6"
"Gaines, Texas","48165","42.4"
"Scurry, Texas","48415","41.6"
"Tom Green, Texas","48451","41.2"
"Dallas, Texas","48113","40.7"
"Live Oak, Texas","48297","40.7"
"Mitchell, Texas","48335","40.7"
"Wilson, Texas","48493","40.5"
"Bastrop, Texas","48021","40.1"
"Hays, Texas","48209","40.0"
"Potter, Texas","48375","39.4"
"Nolan, Texas","48353","39.0"
"Guadalupe, Texas","48187","38.7"
"Sterling, Texas","48431","36.4"
"Briscoe, Texas","48045","36.4"
"Lubbock, Texas","48303","36.4"
"Goliad, Texas","48175","36.2"
"DeWitt, Texas","48123","36.2"
"Hemphill, Texas","48211","35.5"
"Menard, Texas","48327","35.5"
"Knox, Texas","48275","35.2"
"Runnels, Texas","48399","35.1"
"King, Texas","48269","34.9"
"Concho, Texas","48095","34.6"
"Hall, Texas","48191","34.5"
"Childress, Texas","48075","34.2"
"Lipscomb, Texas","48295","33.8"
"Dickens, Texas","48125","33.8"
"Jackson, Texas","48239","33.7"
"Travis, Texas","48453","33.6"
"McCulloch, Texas","48307","32.9"
"Brazoria, Texas","48039","31.6"
"Collingsworth, Texas","48087","31.5"
"Waller, Texas","48473","31.1"
"Colorado, Texas","48089","31.0"
"San Saba, Texas","48411","30.7"
"Wilbarger, Texas","48487","30.3"
"Gray, Texas","48179","30.0"
