Area,County FIPS,Percent
"Loving, Texas","48301","100.0"
"Newton, Texas","48351","95.9"
"Marion, Texas","48315","95.5"
"Sabine, Texas","48403","95.2"
"Cass, Texas","48067","95.0"
"Hardin, Texas","48199","93.7"
"Clay, Texas","48077","93.1"
"Jasper, Texas","48241","92.9"
"Red River, Texas","48387","92.4"
"San Augustine, Texas","48405","92.4"
"Bowie, Texas","48037","92.0"
"Tyler, Texas","48457","91.7"
"Lamar, Texas","48277","91.6"
"Archer, Texas","48009","91.6"
"Orange, Texas","48361","91.5"
"Armstrong, Texas","48011","91.3"
"Delta, Texas","48119","91.1"
"Upshur, Texas","48459","91.0"
"Panola, Texas","48365","90.9"
"Rains, Texas","48379","90.5"
"Callahan, Texas","48059","89.7"
"Wood, Texas","48499","89.5"
"Carson, Texas","48065","89.4"
"Morris, Texas","48343","89.3"
"Trinity, Texas","48455","88.9"
"Llano, Texas","48299","88.7"
"Montague, Texas","48337","88.6"
"Van Zandt, Texas","48467","88.2"
"Borden, Texas","48033","88.2"
"Donley, Texas","48129","88.2"
"Houston, Texas","48225","88.1"
"Shackelford, Texas","48417","88.0"
"Fannin, Texas","48147","87.9"
"Hood, Texas","48221","87.1"
"Parker, Texas","48367","86.7"
"Throckmorton, Texas","48447","86.7"
"Motley, Texas","48345","86.6"
"Hamilton, Texas","48193","86.4"
"Henderson, Texas","48213","86.4"
"Harrison, Texas","48203","86.3"
"Roberts, Texas","48393","86.2"
"Baylor, Texas","48023","85.8"
"Grayson, Texas","48181","85.8"
"San Jacinto, Texas","48407","85.7"
"Franklin, Texas","48159","84.7"
"Leon, Texas","48289","84.7"
"Polk, Texas","48373","84.5"
"Collin, Texas","48085","84.4"
"Freestone, Texas","48161","83.6"
"Kent, Texas","48263","83.4"
"Washington, Texas","48477","83.2"
"Eastland, Texas","48133","82.9"
"Hopkins, Texas","48223","82.5"
"Jack, Texas","48237","82.5"
"Rusk, Texas","48401","82.4"
"Hunt, Texas","48231","82.1"
"Somervell, Texas","48425","82.0"
"Coleman, Texas","48083","81.9"
"Anderson, Texas","48001","81.7"
"Walker, Texas","48471","81.7"
"Cooke, Texas","48097","81.3"
"Shelby, Texas","48419","81.2"
"Rockwall, Texas","48397","81.2"
"Bosque, Texas","48035","80.7"
"Coryell, Texas","48099","80.7"
"Gregg, Texas","48183","80.6"
"Young, Texas","48503","80.6"
"Denton, Texas","48121","80.4"
"Lavaca, Texas","48285","80.3"
"Mason, Texas","48319","80.2"
"Lampasas, Texas","48281","80.0"
"Wise, Texas","48497","80.0"
"Wichita, Texas","48485","80.0"
"Bandera, Texas","48019","80.0"
"Smith, Texas","48423","79.9"
"Blanco, Texas","48031","79.9"
"Nacogdoches, Texas","48347","79.9"
"Palo Pinto, Texas","48363","79.7"
"Cottle, Texas","48101","79.4"
"Burleson, Texas","48051","78.7"
"Hill, Texas","48217","78.4"
"Foard, Texas","48155","78.4"
"Erath, Texas","48143","78.3"
"Robertson, Texas","48395","78.2"
"Fayette, Texas","48149","78.1"
"Jefferson, Texas","48245","78.1"
