Area,County FIPS,Percent
"Loving, Texas","48301","98.8"
"Edwards, Texas","48137","98.8"
"Roberts, Texas","48393","95.9"
"Real, Texas","48385","95.8"
"Borden, Texas","48033","94.2"
"Kinney, Texas","48271","94.1"
"Armstrong, Texas","48011","93.6"
"Shackelford, Texas","48417","93.2"
"Archer, Texas","48009","92.9"
"Clay, Texas","48077","92.8"
"Montague, Texas","48337","92.4"
"Throckmorton, Texas","48447","92.4"
"Rains, Texas","48379","92.1"
"Callahan, Texas","48059","92.0"
"Stonewall, Texas","48433","92.0"
"Hamilton, Texas","48193","91.9"
"Hood, Texas","48221","91.9"
"Carson, Texas","48065","91.8"
"Live Oak, Texas","48297","91.7"
"Van Zandt, Texas","48467","91.6"
"Young, Texas","48503","91.6"
"Jeff Davis, Texas","48243","90.9"
"Jim Wells, Texas","48249","90.5"
"Llano, Texas","48299","90.2"
"Jack, Texas","48237","90.1"
"Parker, Texas","48367","89.4"
"Eastland, Texas","48133","88.9"
"Hardin, Texas","48199","88.8"
"King, Texas","48269","88.6"
"Terrell, Texas","48443","88.5"
"Wise, Texas","48497","88.3"
"Sabine, Texas","48403","88.2"
"Oldham, Texas","48359","88.0"
"Gillespie, Texas","48171","88.0"
"Palo Pinto, Texas","48363","87.9"
"Coke, Texas","48081","87.8"
"Donley, Texas","48129","87.6"
"Bosque, Texas","48035","87.2"
"Fayette, Texas","48149","86.8"
"Aransas, Texas","48007","86.8"
"Bailey, Texas","48017","86.7"
"Wood, Texas","48499","86.6"
"Cooke, Texas","48097","86.3"
"Fannin, Texas","48147","86.2"
"Wheeler, Texas","48483","86.0"
"Erath, Texas","48143","86.0"
"Mason, Texas","48319","85.9"
"Motley, Texas","48345","85.8"
"Johnson, Texas","48251","85.6"
"Concho, Texas","48095","85.5"
"Baylor, Texas","48023","85.4"
"Burnet, Texas","48053","85.4"
"Bandera, Texas","48019","85.4"
"Henderson, Texas","48213","85.4"
"Kent, Texas","48263","85.1"
"Stephens, Texas","48429","85.0"
"Gaines, Texas","48165","85.0"
"Briscoe, Texas","48045","85.0"
"Hansford, Texas","48195","85.0"
"Upshur, Texas","48459","84.8"
"Leon, Texas","48289","84.8"
"Mills, Texas","48333","84.6"
"Kenedy, Texas","48261","84.6"
"Uvalde, Texas","48463","84.4"
"Runnels, Texas","48399","84.2"
"Comal, Texas","48091","84.1"
"Brown, Texas","48049","84.1"
"Trinity, Texas","48455","83.9"
"Randall, Texas","48381","83.7"
"Dickens, Texas","48125","83.7"
"Orange, Texas","48361","83.7"
"Delta, Texas","48119","83.6"
"Tyler, Texas","48457","83.6"
"Martin, Texas","48317","83.5"
"Fisher, Texas","48151","83.4"
"McMullen, Texas","48311","83.3"
