Area,County FIPS,Percent
"Schleicher, Texas","48413","16.4"
"Tyler, Texas","48457","16.2"
"Jasper, Texas","48241","13.7"
"Culberson, Texas","48109","12.5"
"Starr, Texas","48427","12.1"
"Marion, Texas","48315","11.7"
"San Augustine, Texas","48405","11.4"
"Hansford, Texas","48195","11.3"
"Newton, Texas","48351","10.4"
"Duval, Texas","48131","10.3"
"Sabine, Texas","48403","10.2"
"Foard, Texas","48155","10.1"
"Hall, Texas","48191","9.7"
"Polk, Texas","48373","9.5"
"Robertson, Texas","48395","9.4"
"Dickens, Texas","48125","8.9"
"Cass, Texas","48067","8.8"
"Wilbarger, Texas","48487","8.7"
"Menard, Texas","48327","8.6"
"Trinity, Texas","48455","8.4"
"Chambers, Texas","48071","8.4"
"Cochran, Texas","48079","8.4"
"Zapata, Texas","48505","8.3"
"Aransas, Texas","48007","8.2"
"Dawson, Texas","48115","8.2"
"Camp, Texas","48063","8.2"
"Liberty, Texas","48291","8.1"
"Falls, Texas","48145","8.1"
"Nolan, Texas","48353","8.0"
"Terry, Texas","48445","8.0"
"Willacy, Texas","48489","7.9"
"Hidalgo, Texas","48215","7.8"
"Presidio, Texas","48377","7.8"
"Bell, Texas","48027","7.7"
"McCulloch, Texas","48307","7.7"
"San Jacinto, Texas","48407","7.7"
"Comanche, Texas","48093","7.5"
"Hudspeth, Texas","48229","7.5"
"Nacogdoches, Texas","48347","7.4"
"Hutchinson, Texas","48233","7.3"
"Bee, Texas","48025","7.3"
"Madison, Texas","48313","7.3"
"Shackelford, Texas","48417","7.2"
"Childress, Texas","48075","7.2"
"Maverick, Texas","48323","7.0"
"Montague, Texas","48337","7.0"
"Garza, Texas","48169","6.9"
"Irion, Texas","48235","6.9"
"Palo Pinto, Texas","48363","6.9"
"Haskell, Texas","48207","6.8"
"El Paso, Texas","48141","6.8"
"Lampasas, Texas","48281","6.7"
"Bandera, Texas","48019","6.7"
"Coleman, Texas","48083","6.6"
"Harrison, Texas","48203","6.6"
"Cherokee, Texas","48073","6.6"
"Jack, Texas","48237","6.6"
"Franklin, Texas","48159","6.6"
"Stephens, Texas","48429","6.5"
"Reeves, Texas","48389","6.5"
"Harris, Texas","48201","6.5"
"Reagan, Texas","48383","6.4"
"Angelina, Texas","48005","6.3"
"Henderson, Texas","48213","6.3"
"DeWitt, Texas","48123","6.3"
"Matagorda, Texas","48321","6.3"
"Leon, Texas","48289","6.3"
"Milam, Texas","48331","6.3"
"Atascosa, Texas","48013","6.3"
"Swisher, Texas","48437","6.2"
"Hood, Texas","48221","6.2"
"Hemphill, Texas","48211","6.2"
"Ector, Texas","48135","6.1"
"Rusk, Texas","48401","6.1"
"Coryell, Texas","48099","6.1"
"Wharton, Texas","48481","6.0"
"Cameron, Texas","48061","6.0"
"Nueces, Texas","48355","6.0"
"Shelby, Texas","48419","6.0"
"Dimmit, Texas","48127","5.9"
"Lipscomb, Texas","48295","5.9"
"Throckmorton, Texas","48447","5.9"
"Webb, Texas","48479","5.8"
"Hockley, Texas","48219","5.8"
"Jones, Texas","48253","5.8"
"Galveston, Texas","48167","5.7"
"Ward, Texas","48475","5.7"
"Martin, Texas","48317","5.7"
"Morris, Texas","48343","5.7"
"Erath, Texas","48143","5.6"
"Hays, Texas","48209","5.6"
"Jefferson, Texas","48245","5.6"
"Bexar, Texas","48029","5.6"
"Refugio, Texas","48391","5.6"
"Austin, Texas","48015","5.5"
"Fort Bend, Texas","48157","5.5"
"Hill, Texas","48217","5.5"
"Eastland, Texas","48133","5.5"
"Burleson, Texas","48051","5.5"
"Somervell, Texas","48425","5.4"
"Hunt, Texas","48231","5.4"
"Howard, Texas","48227","5.4"
"Kleberg, Texas","48273","5.4"
"Orange, Texas","48361","5.4"
"Brown, Texas","48049","5.2"
"Dallas, Texas","48113","5.2"
"Upton, Texas","48461","5.2"
"Navarro, Texas","48349","5.1"
"Brazoria, Texas","48039","5.1"
"Frio, Texas","48163","5.1"
"Tarrant, Texas","48439","5.1"
"Uvalde, Texas","48463","5.0"
"Gray, Texas","48179","5.0"
"Titus, Texas","48449","5.0"
"Grimes, Texas","48185","4.9"
"King, Texas","48269","4.9"
"Smith, Texas","48423","4.9"
"Kaufman, Texas","48257","4.9"
"Washington, Texas","48477","4.8"
"Fannin, Texas","48147","4.8"
"Upshur, Texas","48459","4.8"
"McLennan, Texas","48309","4.7"
"Wichita, Texas","48485","4.7"
"Gillespie, Texas","48171","4.7"
"Crosby, Texas","48107","4.7"
"Collingsworth, Texas","48087","4.6"
"Wood, Texas","48499","4.6"
"Walker, Texas","48471","4.6"
"Victoria, Texas","48469","4.6"
"Montgomery, Texas","48339","4.6"
"Waller, Texas","48473","4.6"
"Wise, Texas","48497","4.6"
"Hale, Texas","48189","4.5"
"Houston, Texas","48225","4.5"
"Hopkins, Texas","48223","4.5"
"Colorado, Texas","48089","4.5"
"Floyd, Texas","48153","4.5"
"Callahan, Texas","48059","4.5"
"Williamson, Texas","48491","4.5"
"Lubbock, Texas","48303","4.4"
"Borden, Texas","48033","4.4"
"Val Verde, Texas","48465","4.4"
"Guadalupe, Texas","48187","4.4"
"Brazos, Texas","48041","4.4"
"Travis, Texas","48453","4.3"
"Red River, Texas","48387","4.3"
"Jim Hogg, Texas","48247","4.3"
"Collin, Texas","48085","4.3"
"Parker, Texas","48367","4.3"
"Jim Wells, Texas","48249","4.3"
"San Patricio, Texas","48409","4.3"
"Limestone, Texas","48293","4.3"
"Blanco, Texas","48031","4.3"
"Jackson, Texas","48239","4.3"
"Delta, Texas","48119","4.2"
"Llano, Texas","48299","4.2"
"Kendall, Texas","48259","4.2"
"Hardin, Texas","48199","4.2"
"Sutton, Texas","48435","4.1"
"Calhoun, Texas","48057","4.1"
"Denton, Texas","48121","4.1"
"Castro, Texas","48069","4.1"
"Bowie, Texas","48037","4.1"
"Ellis, Texas","48139","4.0"
"Anderson, Texas","48001","4.0"
"Bastrop, Texas","48021","4.0"
"Wilson, Texas","48493","3.9"
"Rains, Texas","48379","3.9"
"Grayson, Texas","48181","3.9"
"Cooke, Texas","48097","3.8"
"Bosque, Texas","48035","3.8"
"Fisher, Texas","48151","3.8"
"Wheeler, Texas","48483","3.8"
"Goliad, Texas","48175","3.8"
"Cottle, Texas","48101","3.8"
"Van Zandt, Texas","48467","3.7"
"Tom Green, Texas","48451","3.7"
"Gregg, Texas","48183","3.7"
"Hamilton, Texas","48193","3.7"
"Kerr, Texas","48265","3.7"
"Zavala, Texas","48507","3.7"
"Burnet, Texas","48053","3.7"
"Live Oak, Texas","48297","3.6"
"Yoakum, Texas","48501","3.6"
"Deaf Smith, Texas","48117","3.6"
"Knox, Texas","48275","3.6"
"Potter, Texas","48375","3.6"
"Rockwall, Texas","48397","3.6"
"Motley, Texas","48345","3.6"
"Comal, Texas","48091","3.6"
"Mason, Texas","48319","3.5"
"Crane, Texas","48103","3.5"
"Fayette, Texas","48149","3.5"
"Baylor, Texas","48023","3.5"
"Brewster, Texas","48043","3.4"
"San Saba, Texas","48411","3.4"
"McMullen, Texas","48311","3.4"
"Lamar, Texas","48277","3.3"
"Young, Texas","48503","3.3"
"Karnes, Texas","48255","3.3"
"Johnson, Texas","48251","3.3"
"Lynn, Texas","48305","3.3"
"Midland, Texas","48329","3.3"
"Gaines, Texas","48165","3.3"
"Randall, Texas","48381","3.2"
"Lavaca, Texas","48285","3.2"
"Archer, Texas","48009","3.2"
"Lamb, Texas","48279","3.1"
"Medina, Texas","48325","3.0"
"Andrews, Texas","48003","2.9"
"Scurry, Texas","48415","2.9"
"Coke, Texas","48081","2.8"
"Lee, Texas","48287","2.8"
"Panola, Texas","48365","2.8"
"Taylor, Texas","48441","2.8"
"Freestone, Texas","48161","2.7"
"Hardeman, Texas","48197","2.5"
"Dallam, Texas","48111","2.5"
"Mills, Texas","48333","2.4"
"Caldwell, Texas","48055","2.4"
"Bailey, Texas","48017","2.3"
"Carson, Texas","48065","2.2"
"Parmer, Texas","48369","2.2"
"Winkler, Texas","48495","2.2"
"Kimble, Texas","48267","2.1"
"Stonewall, Texas","48433","2.1"
"Runnels, Texas","48399","2.0"
"Moore, Texas","48341","2.0"
"Mitchell, Texas","48335","2.0"
"Ochiltree, Texas","48357","1.9"
"Sherman, Texas","48421","1.8"
"Clay, Texas","48077","1.8"
"Briscoe, Texas","48045","1.8"
"Brooks, Texas","48047","1.7"
"Crockett, Texas","48105","1.6"
"La Salle, Texas","48283","1.5"
"Oldham, Texas","48359","1.5"
"Kinney, Texas","48271","1.5"
"Real, Texas","48385","1.4"
"Concho, Texas","48095","1.3"
"Pecos, Texas","48371","1.3"
"Armstrong, Texas","48011","1.0"
"Hartley, Texas","48205","0.8"
"Gonzales, Texas","48177","0.8"
"Kent, Texas","48263","0.5"
"Donley, Texas","48129","0.1"
"Kenedy, Texas","48261","no data/suppressed"
"Loving, Texas","48301","no data/suppressed"
"Terrell, Texas","48443","no data/suppressed"
"Sterling, Texas","48431","no data/suppressed"
"Glasscock, Texas","48173","no data/suppressed"
"Roberts, Texas","48393","no data/suppressed"
"Jeff Davis, Texas","48243","no data/suppressed"
"Edwards, Texas","48137","no data/suppressed"

"undefined"
