Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Death Count,Population
Texas,Terrell County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Roberts County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Sterling County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,McMullen County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Loving County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Kenedy County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,King County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Kent County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Culberson County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Glasscock County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Borden County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Foard County,All Types of Cancer,2016-2020,Male and Female,189,17,5867
Texas,Irion County,All Types of Cancer,2016-2020,Male and Female,150.3,18,7768
Texas,Cottle County,All Types of Cancer,2016-2020,Male and Female,155.8,19,6894
Texas,Throckmorton County,All Types of Cancer,2016-2020,Male and Female,127.4,20,7497
Texas,Oldham County,All Types of Cancer,2016-2020,Male and Female,184.2,20,10549
Texas,Stonewall County,All Types of Cancer,2016-2020,Male and Female,190.5,21,6807
Texas,Motley County,All Types of Cancer,2016-2020,Male and Female,208.6,22,6014
Texas,Briscoe County,All Types of Cancer,2016-2020,Male and Female,150.9,23,7536
Texas,Jeff Davis County,All Types of Cancer,2016-2020,Male and Female,89.3,23,11224
Texas,Reagan County,All Types of Cancer,2016-2020,Male and Female,138.6,23,18830
Texas,Cochran County,All Types of Cancer,2016-2020,Male and Female,131.7,24,14298
Texas,Collingsworth County,All Types of Cancer,2016-2020,Male and Female,125.4,24,14693
Texas,Armstrong County,All Types of Cancer,2016-2020,Male and Female,150.5,25,9285
Texas,Lipscomb County,All Types of Cancer,2016-2020,Male and Female,119.8,26,16503
Texas,Hudspeth County,All Types of Cancer,2016-2020,Male and Female,112.1,28,23437
Texas,Sherman County,All Types of Cancer,2016-2020,Male and Female,157.2,28,15229
Texas,Concho County,All Types of Cancer,2016-2020,Male and Female,119.5,29,15090
Texas,Edwards County,All Types of Cancer,2016-2020,Male and Female,187.9,29,9587
Texas,Shackelford County,All Types of Cancer,2016-2020,Male and Female,109.5,29,16456
Texas,Upton County,All Types of Cancer,2016-2020,Male and Female,154.2,30,18254
Texas,Schleicher County,All Types of Cancer,2016-2020,Male and Female,154.6,30,14489
Texas,Dickens County,All Types of Cancer,2016-2020,Male and Female,188.1,31,10908
Texas,Hemphill County,All Types of Cancer,2016-2020,Male and Female,148.3,31,19506
Texas,Hall County,All Types of Cancer,2016-2020,Male and Female,117.5,32,15124
Texas,Menard County,All Types of Cancer,2016-2020,Male and Female,151.4,35,10538
Texas,Presidio County,All Types of Cancer,2016-2020,Male and Female,74.7,40,34041
Texas,Crockett County,All Types of Cancer,2016-2020,Male and Female,186.3,41,17609
Texas,Sutton County,All Types of Cancer,2016-2020,Male and Female,153.7,41,18964
Texas,Hartley County,All Types of Cancer,2016-2020,Male and Female,130.9,42,27940
Texas,Crane County,All Types of Cancer,2016-2020,Male and Female,194.1,43,23693
Texas,Garza County,All Types of Cancer,2016-2020,Male and Female,144.1,44,31364
Texas,Dallam County,All Types of Cancer,2016-2020,Male and Female,141.3,46,36359
Texas,Donley County,All Types of Cancer,2016-2020,Male and Female,175.3,46,16584
Texas,Hardeman County,All Types of Cancer,2016-2020,Male and Female,151.1,46,19789
Texas,Kinney County,All Types of Cancer,2016-2020,Male and Female,160,48,18371
Texas,Fisher County,All Types of Cancer,2016-2020,Male and Female,141.4,49,19135
Texas,Winkler County,All Types of Cancer,2016-2020,Male and Female,130.3,50,39112
Texas,Hansford County,All Types of Cancer,2016-2020,Male and Female,163.4,50,27157
Texas,Bailey County,All Types of Cancer,2016-2020,Male and Female,138.2,52,34582
Texas,Jim Hogg County,All Types of Cancer,2016-2020,Male and Female,186.9,55,25936
Texas,Crosby County,All Types of Cancer,2016-2020,Male and Female,142.2,56,28766
Texas,Martin County,All Types of Cancer,2016-2020,Male and Female,208.8,56,28380
Texas,Castro County,All Types of Cancer,2016-2020,Male and Female,125.5,57,37807
Texas,Real County,All Types of Cancer,2016-2020,Male and Female,172.1,57,17146
Texas,Carson County,All Types of Cancer,2016-2020,Male and Female,131.2,58,29783
Texas,Floyd County,All Types of Cancer,2016-2020,Male and Female,144,60,28908
Texas,La Salle County,All Types of Cancer,2016-2020,Male and Female,160.2,60,37690
Texas,Knox County,All Types of Cancer,2016-2020,Male and Female,216.6,60,18395
Texas,Mason County,All Types of Cancer,2016-2020,Male and Female,148.1,61,21238
Texas,Ochiltree County,All Types of Cancer,2016-2020,Male and Female,135.9,62,49537
Texas,Coke County,All Types of Cancer,2016-2020,Male and Female,203.2,67,16489
Texas,Wheeler County,All Types of Cancer,2016-2020,Male and Female,180.8,68,25935
Texas,Yoakum County,All Types of Cancer,2016-2020,Male and Female,171.4,68,43061
Texas,Childress County,All Types of Cancer,2016-2020,Male and Female,170.5,68,36094
Texas,San Saba County,All Types of Cancer,2016-2020,Male and Female,136.6,68,30018
Texas,Parmer County,All Types of Cancer,2016-2020,Male and Female,131.9,69,48195
Texas,Brooks County,All Types of Cancer,2016-2020,Male and Female,150.7,70,35499
Texas,Zapata County,All Types of Cancer,2016-2020,Male and Female,109.5,74,71215
Texas,Kimble County,All Types of Cancer,2016-2020,Male and Female,184.1,75,21875
Texas,Mills County,All Types of Cancer,2016-2020,Male and Female,169.2,77,24386
Texas,Dimmit County,All Types of Cancer,2016-2020,Male and Female,128.9,78,51162
Texas,Lynn County,All Types of Cancer,2016-2020,Male and Female,207.4,79,29430
Texas,Baylor County,All Types of Cancer,2016-2020,Male and Female,254.2,80,17798
Texas,Jack County,All Types of Cancer,2016-2020,Male and Female,142.8,82,44441
Texas,Brewster County,All Types of Cancer,2016-2020,Male and Female,110.4,84,46154
Texas,Swisher County,All Types of Cancer,2016-2020,Male and Female,168.3,85,37016
Texas,Haskell County,All Types of Cancer,2016-2020,Male and Female,179.3,86,28553
Texas,Delta County,All Types of Cancer,2016-2020,Male and Female,225.4,88,26386
Texas,Reeves County,All Types of Cancer,2016-2020,Male and Female,122.8,89,77730
Texas,Ward County,All Types of Cancer,2016-2020,Male and Female,146.8,91,58723
Texas,Mitchell County,All Types of Cancer,2016-2020,Male and Female,199.1,92,41279
Texas,Refugio County,All Types of Cancer,2016-2020,Male and Female,163.1,92,35075
Texas,Goliad County,All Types of Cancer,2016-2020,Male and Female,161.3,93,37891
Texas,Archer County,All Types of Cancer,2016-2020,Male and Female,139.2,95,43768
Texas,Terry County,All Types of Cancer,2016-2020,Male and Female,137.4,98,62042
Texas,Zavala County,All Types of Cancer,2016-2020,Male and Female,162,100,59652
Texas,Somervell County,All Types of Cancer,2016-2020,Male and Female,162.1,101,44792
Texas,Pecos County,All Types of Cancer,2016-2020,Male and Female,127.9,103,78626
Texas,Andrews County,All Types of Cancer,2016-2020,Male and Female,145.7,110,91137
Texas,Gaines County,All Types of Cancer,2016-2020,Male and Female,154.1,117,105387
Texas,Dawson County,All Types of Cancer,2016-2020,Male and Female,163.7,119,64244
Texas,Live Oak County,All Types of Cancer,2016-2020,Male and Female,134.7,124,60875
Texas,Duval County,All Types of Cancer,2016-2020,Male and Female,171.3,125,55971
Texas,Lamb County,All Types of Cancer,2016-2020,Male and Female,147.2,125,65092
Texas,McCulloch County,All Types of Cancer,2016-2020,Male and Female,194.4,126,39849
Texas,San Augustine County,All Types of Cancer,2016-2020,Male and Female,163,127,41301
Texas,Stephens County,All Types of Cancer,2016-2020,Male and Female,186.8,129,46788
Texas,Runnels County,All Types of Cancer,2016-2020,Male and Female,163.4,131,51398
