Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Case Count,Population
Texas,Kenedy County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,King County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Loving County,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Texas,Terrell County,All Types of Cancer,2016-2020,Male and Female,329.6,18,3871
Texas,Roberts County,All Types of Cancer,2016-2020,Male and Female,306.1,21,4386
Texas,Borden County,All Types of Cancer,2016-2020,Male and Female,457.4,23,3339
Texas,McMullen County,All Types of Cancer,2016-2020,Male and Female,311.9,23,3757
Texas,Glasscock County,All Types of Cancer,2016-2020,Male and Female,284.9,23,6997
Texas,Kent County,All Types of Cancer,2016-2020,Male and Female,350.9,23,3774
Texas,Sterling County,All Types of Cancer,2016-2020,Male and Female,386.4,28,6538
Texas,Oldham County,All Types of Cancer,2016-2020,Male and Female,297.2,39,10549
Texas,Culberson County,All Types of Cancer,2016-2020,Male and Female,287,40,10914
Texas,Throckmorton County,All Types of Cancer,2016-2020,Male and Female,278.5,41,7497
Texas,Cottle County,All Types of Cancer,2016-2020,Male and Female,390.8,42,6894
Texas,Sherman County,All Types of Cancer,2016-2020,Male and Female,248.3,43,15229
Texas,Foard County,All Types of Cancer,2016-2020,Male and Female,541.5,45,5867
Texas,Motley County,All Types of Cancer,2016-2020,Male and Female,390.3,45,6014
Texas,Jeff Davis County,All Types of Cancer,2016-2020,Male and Female,174.4,47,11224
Texas,Irion County,All Types of Cancer,2016-2020,Male and Female,413.2,48,7768
Texas,Edwards County,All Types of Cancer,2016-2020,Male and Female,340.7,51,9587
Texas,Briscoe County,All Types of Cancer,2016-2020,Male and Female,411.9,52,7536
Texas,Stonewall County,All Types of Cancer,2016-2020,Male and Female,560.2,57,6807
Texas,Collingsworth County,All Types of Cancer,2016-2020,Male and Female,297.8,61,14693
Texas,Cochran County,All Types of Cancer,2016-2020,Male and Female,351.1,63,14298
Texas,Armstrong County,All Types of Cancer,2016-2020,Male and Female,459.2,65,9285
Texas,Hemphill County,All Types of Cancer,2016-2020,Male and Female,305.9,65,19506
Texas,Dickens County,All Types of Cancer,2016-2020,Male and Female,455.2,68,10908
Texas,Reagan County,All Types of Cancer,2016-2020,Male and Female,395.6,68,18830
Texas,Concho County,All Types of Cancer,2016-2020,Male and Female,297.7,71,15090
Texas,Upton County,All Types of Cancer,2016-2020,Male and Female,374.7,72,18254
Texas,Lipscomb County,All Types of Cancer,2016-2020,Male and Female,379.8,75,16503
Texas,Hudspeth County,All Types of Cancer,2016-2020,Male and Female,300.9,75,23437
Texas,Schleicher County,All Types of Cancer,2016-2020,Male and Female,415.6,78,14489
Texas,Shackelford County,All Types of Cancer,2016-2020,Male and Female,335.6,79,16456
Texas,Menard County,All Types of Cancer,2016-2020,Male and Female,380.3,81,10538
Texas,Crane County,All Types of Cancer,2016-2020,Male and Female,380.9,86,23693
Texas,Hall County,All Types of Cancer,2016-2020,Male and Female,350.7,86,15124
Texas,Donley County,All Types of Cancer,2016-2020,Male and Female,341.5,88,16584
Texas,Crockett County,All Types of Cancer,2016-2020,Male and Female,409.6,92,17609
Texas,Jim Hogg County,All Types of Cancer,2016-2020,Male and Female,329.4,97,25936
Texas,Kinney County,All Types of Cancer,2016-2020,Male and Female,335.6,99,18371
Texas,Sutton County,All Types of Cancer,2016-2020,Male and Female,414.4,102,18964
Texas,Garza County,All Types of Cancer,2016-2020,Male and Female,343,104,31364
Texas,Hartley County,All Types of Cancer,2016-2020,Male and Female,319.5,104,27940
