Texas Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
0,"Rockwall, Texas",48397.0,111595,48397.0,3.6,48397.0,77.4,48397.0,7.2,48397.0,3.1,48397.0,8.9,48397.0,0.9,48397.0,18.8,48397.0,81.2
1,"Collin, Texas",48085.0,104327,48085.0,4.3,48085.0,62.9,48085.0,10.1,48085.0,16.4,48085.0,21.8,48085.0,0.4,48085.0,15.6,48085.0,84.4
2,"Fort Bend, Texas",48157.0,102590,48157.0,5.5,48157.0,44.8,48157.0,20.2,48157.0,21.0,48157.0,29.3,48157.0,0.3,48157.0,24.9,48157.0,75.1
3,"Kendall, Texas",48259.0,100706,48259.0,4.2,48259.0,82.9,48259.0,0.3,48259.0,1.4,48259.0,6.9,48259.0,0.5,48259.0,24.8,48259.0,75.2
4,"Denton, Texas",48121.0,96265,48121.0,4.1,48121.0,68.2,48121.0,10.3,48121.0,9.6,48121.0,15.9,48121.0,0.5,48121.0,19.6,48121.0,80.4
5,"Williamson, Texas",48491.0,94705,48491.0,4.5,48491.0,71.9,48491.0,6.5,48491.0,7.6,48491.0,13.6,48491.0,0.4,48491.0,25.0,48491.0,75.0
6,"Chambers, Texas",48071.0,93707,48071.0,8.4,48071.0,79.2,48071.0,7.6,48071.0,0.7,48071.0,8.2,48071.0,0.1,48071.0,24.2,48071.0,75.8
7,"Somervell, Texas",48425.0,89253,48425.0,5.4,48425.0,82.4,48425.0,2.1,48425.0,1.1,48425.0,5.3,48425.0,0.3,48425.0,18.0,48425.0,82.0
8,"Montgomery, Texas",48339.0,88597,48339.0,4.6,48339.0,78.9,48339.0,5.4,48339.0,3.3,48339.0,13.8,48339.0,0.4,48339.0,25.2,48339.0,74.8
9,"Parker, Texas",48367.0,88535,48367.0,4.3,48367.0,89.4,48367.0,1.6,48367.0,0.7,48367.0,4.8,48367.0,0.5,48367.0,13.3,48367.0,86.7
10,"Midland, Texas",48329.0,88210,48329.0,3.3,48329.0,73.3,48329.0,6.4,48329.0,2.1,48329.0,13.8,48329.0,0.7,48329.0,46.3,48329.0,53.7
11,"Brazoria, Texas",48039.0,87958,48039.0,5.1,48039.0,63.6,48039.0,14.9,48039.0,6.8,48039.0,13.5,48039.0,0.6,48039.0,31.6,48039.0,68.4
12,"Comal, Texas",48091.0,85912,48091.0,3.6,48091.0,84.1,48091.0,2.3,48091.0,1.3,48091.0,6.0,48091.0,0.3,48091.0,28.3,48091.0,71.7
13,"Glasscock, Texas",48173.0,85417,48173.0,no data/suppressed,48173.0,62.3,48173.0,no data/suppressed,48173.0,no data/suppressed,48173.0,22.9,48173.0,no data/suppressed,48173.0,44.1,48173.0,55.9
14,"Ellis, Texas",48139.0,85272,48139.0,4.0,48139.0,73.8,48139.0,11.3,48139.0,0.8,48139.0,7.8,48139.0,0.6,48139.0,27.2,48139.0,72.8
15,"Travis, Texas",48453.0,85043,48453.0,4.3,48453.0,66.2,48453.0,8.3,48453.0,7.1,48453.0,17.4,48453.0,0.7,48453.0,33.6,48453.0,66.4
16,"Wilson, Texas",48493.0,84042,48493.0,3.9,48493.0,82.8,48493.0,1.5,48493.0,0.6,48493.0,4.4,48493.0,0.4,48493.0,40.5,48493.0,59.5
17,"Andrews, Texas",48003.0,80518,48003.0,2.9,48003.0,74.5,48003.0,2.2,48003.0,0.7,48003.0,16.0,48003.0,no data/suppressed,48003.0,57.4,48003.0,42.6
18,"Guadalupe, Texas",48187.0,80047,48187.0,4.4,48187.0,69.4,48187.0,8.6,48187.0,1.7,48187.0,6.9,48187.0,0.2,48187.0,38.7,48187.0,61.3
19,"Galveston, Texas",48167.0,79328,48167.0,5.7,48167.0,72.3,48167.0,12.3,48167.0,3.5,48167.0,9.9,48167.0,0.3,48167.0,25.5,48167.0,74.5
20,"Bastrop, Texas",48021.0,78339,48021.0,4.0,48021.0,62.2,48021.0,7.4,48021.0,0.8,48021.0,11.6,48021.0,1.0,48021.0,40.1,48021.0,59.9
21,"Carson, Texas",48065.0,76786,48065.0,2.2,48065.0,91.8,48065.0,1.0,48065.0,0.7,48065.0,2.0,48065.0,2.5,48065.0,10.6,48065.0,89.4
22,"Hood, Texas",48221.0,75851,48221.0,6.2,48221.0,91.9,48221.0,1.0,48221.0,0.7,48221.0,3.1,48221.0,0.6,48221.0,12.9,48221.0,87.1
