,Demographics,Alaska Boroughs FIPS,Income,Uninsured,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Alaska Boroughs,Non Hispanic Poverty %
1,"Aleutians West, Alaska",2016,90708,3.8,24.5,3.5,47.5,45.3,10.5,9.7,2016,90.3
2,"Juneau, Alaska",2110,90126,5.1,64.7,1,8,8.9,10.1,7,2110,93
3,"Anchorage, Alaska",2020,88871,5.4,60.3,5.4,12.6,11,7.2,9.5,2020,90.5
4,"North Slope, Alaska",2185,83992,9.2,28.6,0.8,7.3,7.3,55.3,4,2185,96
5,"Valdez-Cordova, Alaska",2261,83929,4.6,68.8,1.2,5.5,6.8,11.7,5.7,2261,94.3
6,"Kodiak Island, Alaska",2150,83765,5.8,52.4,1.1,22.2,18.9,11,8.9,2150,91.1
7,"Sitka, Alaska",2220,82083,5.4,63.5,0.6,7.3,9.8,10.3,7.1,2220,92.9
8,"Bristol Bay, Alaska",2060,81563,2.4,44.8,0.6,5.7,7.9,33.2,12.8,2060,87.2
9,"Matanuska-Susitna, Alaska",2170,79300,7.4,80.6,1.3,2,3.6,6.2,5.4,2170,94.6
10,"Denali, Alaska",2068,78750,2.6,79.9,1.2,2.2,8.8,2.5,0.6,2068,99.4
11,"Fairbanks North Star, Alaska",2090,78321,6.3,73,4.6,3.9,5.1,7.6,8.3,2090,91.7
12,"Ketchikan Gateway, Alaska",2130,77820,4.7,64.4,0.8,8.7,8.7,14.8,5.7,2130,94.3
13,"Skagway, Alaska",2230,75000,12.9,76.5,2.9,2.6,8.7,4.4,3.8,2230,96.2
14,"Aleutians East, Alaska",2013,72258,4.5,14.6,2.1,21.2,24.7,44.1,10.5,2013,89.5
15,"Yakutat, Alaska",2282,72083,1.6,31.3,3.2,14.6,11.6,31.3,11.2,2282,88.8
16,"Petersburg, Alaska",2195,71696,4.7,64.6,1,16.8,16.4,6.6,5.7,2195,94.3
17,"Kenai Peninsula, Alaska",2122,70609,8.2,80.7,0.7,2.2,3.2,7.5,4.4,2122,95.6
18,"Northwest Arctic, Alaska",2188,68654,15.7,11.2,1.1,1.4,1.7,82.1,2.5,2188,97.5
19,"Southeast Fairbanks, Alaska",2240,68634,10.3,74.7,1.1,3.2,7.4,13.8,7.1,2240,92.9
20,"Nome, Alaska",2180,63977,18.6,14.6,0.9,1.3,1.7,77,2,2180,98
21,"Haines, Alaska",2100,63355,3.7,86.2,no data/suppressed,1.9,6.2,6.7,6.6,2100,93.4
22,"Dillingham, Alaska",2070,62115,12.6,16.2,1.3,0.3,2.5,73.4,3.3,2070,96.7
23,"Bethel, Alaska",2050,57460,18.1,9.6,0.9,1.6,2.3,84.5,2.1,2050,97.9
24,"Hoonah-Angoon, Alaska",2105,55990,15,48.8,1.9,1.3,2.5,34.9,9.9,2105,90.1
25,"Prince of Wales-Hyder, Alaska",2198,55857,9.6,46.2,0.3,1.5,2.5,40,3.7,2198,96.3
26,"Wrangell, Alaska",2275,54891,5.7,59,0.1,4,4.7,22.9,5,2275,95
27,"Lake and Peninsula, Alaska",2164,49688,15.8,24.3,2.2,3,5.6,64.1,0.1,2164,99.9
28,"Yukon-Koyukuk, Alaska",2290,43405,12.8,22.5,0.1,0.8,1.3,69.7,2.7,2290,97.3
29,"Kusilvak, Alaska",2158,37975,24.7,3.3,no data/suppressed,0.2,0.3,93.2,1,2158,99
30,"Copper River, Alaska",2066,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,2066,no data/suppressed
31,"Chugach, Alaska",2063,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,no data/suppressed,2063,no data/suppressed
