Demographics, Alaska Boroughs, Income, Median Household Income (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Dollars
"Aleutians West, Alaska","2016","90708"
"Juneau, Alaska","2110","90126"
"Anchorage, Alaska","2020","88871"
"North Slope, Alaska","2185","83992"
"Valdez-Cordova, Alaska","2261","83929"
"Kodiak Island, Alaska","2150","83765"
"Sitka, Alaska","2220","82083"
"Bristol Bay, Alaska","2060","81563"
"Matanuska-Susitna, Alaska","2170","79300"
"Denali, Alaska","2068","78750"
"Fairbanks North Star, Alaska","2090","78321"
"Ketchikan Gateway, Alaska","2130","77820"
"Skagway, Alaska","2230","75000"
"Aleutians East, Alaska","2013","72258"
"Yakutat, Alaska","2282","72083"
"Petersburg, Alaska","2195","71696"
"Kenai Peninsula, Alaska","2122","70609"
"Northwest Arctic, Alaska","2188","68654"
"Southeast Fairbanks, Alaska","2240","68634"
"Nome, Alaska","2180","63977"
"Haines, Alaska","2100","63355"
"Dillingham, Alaska","2070","62115"
"Bethel, Alaska","2050","57460"
"Hoonah-Angoon, Alaska","2105","55990"
"Prince of Wales-Hyder, Alaska","2198","55857"
"Wrangell, Alaska","2275","54891"
"Lake and Peninsula, Alaska","2164","49688"
"Yukon-Koyukuk, Alaska","2290","43405"
"Kusilvak, Alaska","2158","37975"
"Copper River, Alaska","2066","no data/suppressed"
"Chugach, Alaska","2063","no data/suppressed"

"undefined"
