Demographics, Alaska Boroughs, Population, Language Isolation (Both Sexes - Ages 14+ - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"North Slope, Alaska","2185","8.1"
"Kodiak Island, Alaska","2150","5.4"
"Aleutians West, Alaska","2016","5.0"
"Petersburg, Alaska","2195","4.2"
"Aleutians East, Alaska","2013","3.4"
"Dillingham, Alaska","2070","3.2"
"Anchorage, Alaska","2020","3.1"
"Ketchikan Gateway, Alaska","2130","2.8"
"Juneau, Alaska","2110","2.8"
"Bethel, Alaska","2050","2.6"
"Fairbanks North Star, Alaska","2090","2.0"
"Southeast Fairbanks, Alaska","2240","1.9"
"Yukon-Koyukuk, Alaska","2290","1.9"
"Kusilvak, Alaska","2158","1.6"
"Hoonah-Angoon, Alaska","2105","1.6"
"Sitka, Alaska","2220","1.5"
"Northwest Arctic, Alaska","2188","1.0"
"Nome, Alaska","2180","0.9"
"Valdez-Cordova, Alaska","2261","0.8"
"Matanuska-Susitna, Alaska","2170","0.7"
"Kenai Peninsula, Alaska","2122","0.4"
"Lake and Peninsula, Alaska","2164","0.3"
"Bristol Bay, Alaska","2060","0.3"
"Denali, Alaska","2068","no data/suppressed"
"Skagway, Alaska","2230","no data/suppressed"
"Haines, Alaska","2100","no data/suppressed"
"Yakutat, Alaska","2282","no data/suppressed"
"Prince of Wales-Hyder, Alaska","2198","no data/suppressed"
"Wrangell, Alaska","2275","no data/suppressed"
"Copper River, Alaska","2066","no data/suppressed"
"Chugach, Alaska","2063","no data/suppressed"

"undefined"
