Demographics, Alaska Boroughs, Poverty, Asian/Pacific Islander (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Aleutians West, Alaska","2016","47.5"
"Kodiak Island, Alaska","2150","22.2"
"Aleutians East, Alaska","2013","21.2"
"Petersburg, Alaska","2195","16.8"
"Yakutat, Alaska","2282","14.6"
"Anchorage, Alaska","2020","12.6"
"Ketchikan Gateway, Alaska","2130","8.7"
"Juneau, Alaska","2110","8.0"
"North Slope, Alaska","2185","7.3"
"Sitka, Alaska","2220","7.3"
"Bristol Bay, Alaska","2060","5.7"
"Valdez-Cordova, Alaska","2261","5.5"
"Wrangell, Alaska","2275","4.0"
"Fairbanks North Star, Alaska","2090","3.9"
"Southeast Fairbanks, Alaska","2240","3.2"
"Lake and Peninsula, Alaska","2164","3.0"
"Skagway, Alaska","2230","2.6"
"Denali, Alaska","2068","2.2"
"Kenai Peninsula, Alaska","2122","2.2"
"Matanuska-Susitna, Alaska","2170","2.0"
"Haines, Alaska","2100","1.9"
"Bethel, Alaska","2050","1.6"
"Prince of Wales-Hyder, Alaska","2198","1.5"
"Northwest Arctic, Alaska","2188","1.4"
"Nome, Alaska","2180","1.3"
"Hoonah-Angoon, Alaska","2105","1.3"
"Yukon-Koyukuk, Alaska","2290","0.8"
"Dillingham, Alaska","2070","0.3"
"Kusilvak, Alaska","2158","0.2"
"Chugach, Alaska","2063","no data/suppressed"
"Copper River, Alaska","2066","no data/suppressed"

"undefined"
