Demographics, Alaska Boroughs, Poverty, Non-Hispanic (Origin Recode (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Lake and Peninsula, Alaska","2164","99.9"
"Denali, Alaska","2068","99.4"
"Kusilvak, Alaska","2158","99.0"
"Nome, Alaska","2180","98.0"
"Bethel, Alaska","2050","97.9"
"Northwest Arctic, Alaska","2188","97.5"
"Yukon-Koyukuk, Alaska","2290","97.3"
"Dillingham, Alaska","2070","96.7"
"Prince of Wales-Hyder, Alaska","2198","96.3"
"Skagway, Alaska","2230","96.2"
"North Slope, Alaska","2185","96.0"
"Kenai Peninsula, Alaska","2122","95.6"
"Wrangell, Alaska","2275","95.0"
"Matanuska-Susitna, Alaska","2170","94.6"
"Ketchikan Gateway, Alaska","2130","94.3"
"Petersburg, Alaska","2195","94.3"
"Valdez-Cordova, Alaska","2261","94.3"
"Haines, Alaska","2100","93.4"
"Juneau, Alaska","2110","93.0"
"Southeast Fairbanks, Alaska","2240","92.9"
"Sitka, Alaska","2220","92.9"
"Fairbanks North Star, Alaska","2090","91.7"
"Kodiak Island, Alaska","2150","91.1"
"Anchorage, Alaska","2020","90.5"
"Aleutians West, Alaska","2016","90.3"
"Hoonah-Angoon, Alaska","2105","90.1"
"Aleutians East, Alaska","2013","89.5"
"Yakutat, Alaska","2282","88.8"
"Bristol Bay, Alaska","2060","87.2"
"Chugach, Alaska","2063","no data/suppressed"
"Copper River, Alaska","2066","no data/suppressed"

"undefined"
