Demographics, Alaska Boroughs, Poverty, White (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Haines, Alaska","2100","86.2"
"Kenai Peninsula, Alaska","2122","80.7"
"Matanuska-Susitna, Alaska","2170","80.6"
"Denali, Alaska","2068","79.9"
"Skagway, Alaska","2230","76.5"
"Southeast Fairbanks, Alaska","2240","74.7"
"Fairbanks North Star, Alaska","2090","73.0"
"Valdez-Cordova, Alaska","2261","68.8"
"Juneau, Alaska","2110","64.7"
"Petersburg, Alaska","2195","64.6"
"Ketchikan Gateway, Alaska","2130","64.4"
"Sitka, Alaska","2220","63.5"
"Anchorage, Alaska","2020","60.3"
"Wrangell, Alaska","2275","59.0"
"Kodiak Island, Alaska","2150","52.4"
"Hoonah-Angoon, Alaska","2105","48.8"
"Prince of Wales-Hyder, Alaska","2198","46.2"
"Bristol Bay, Alaska","2060","44.8"
"Yakutat, Alaska","2282","31.3"
"North Slope, Alaska","2185","28.6"
"Aleutians West, Alaska","2016","24.5"
"Lake and Peninsula, Alaska","2164","24.3"
"Yukon-Koyukuk, Alaska","2290","22.5"
"Dillingham, Alaska","2070","16.2"
"Nome, Alaska","2180","14.6"
"Aleutians East, Alaska","2013","14.6"
"Northwest Arctic, Alaska","2188","11.2"
"Bethel, Alaska","2050","9.6"
"Kusilvak, Alaska","2158","3.3"
"Copper River, Alaska","2066","no data/suppressed"
"Chugach, Alaska","2063","no data/suppressed"

"undefined"
