,Area,County,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count
0,Alaska,Yakutat City and Borough,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
1,Alaska,Skagway-Hoonah-Angoon Census Area,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
2,Alaska,Wrangell-Petersburg Census Area,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
3,Alaska,Prince of Wales-Outer Ketchikan CA,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
4,Alaska,Bristol Bay Borough,337.2,19,4284,Data not presented,Data not presented
5,Alaska,Skagway Municipality,330.1,21,5849,Data not presented,Data not presented
6,Alaska,Aleutians East Borough,138.9,23,16946,Data not presented,Data not presented
7,Alaska,Lake and Peninsula Borough,515.4,37,7863,Data not presented,Data not presented
8,Alaska,Denali Borough,385.6,42,10424,Data not presented,Data not presented
9,Alaska,Aleutians West Census Area,286.2,51,28538,114.2,19
10,Alaska,Haines Borough,273.7,54,12734,Data not presented,Data not presented
11,Alaska,Wrangell Borough,349.6,70,12553,155.6,29
12,Alaska,Hoonah-Angoon Census Area,422.8,78,10674,127.4,23
13,Alaska,Petersburg Census Area,384,89,16392,146.4,33
14,Alaska,Kusilvak Census Area,401.3,91,41488,Data not presented,Data not presented
15,Alaska,Dillingham Census Area,418,92,24670,201.4,41
16,Alaska,Northwest Arctic Borough,414.2,115,38546,155.7,40
17,Alaska,North Slope Borough,366.8,118,46875,221.1,58
18,Alaska,Prince of Wales-Hyder Census Area,365.3,157,31692,180.1,67
19,Alaska,Nome Census Area,506.4,172,50043,246.1,75
20,Alaska,Yukon-Koyukuk Census Area,569,172,26524,216.2,67
21,Alaska,Southeast Fairbanks Census Area,475.9,182,34553,154,55
22,Alaska,Sitka City and Borough,357.8,188,42845,114.5,60
23,Alaska,Valdez-Cordova Census Area,373.9,197,46944,133.5,65
24,Alaska,Bethel Census Area,367.5,242,91317,195,104
25,Alaska,Kodiak Island Borough,408.2,263,66917,125.6,72
26,Alaska,Ketchikan Gateway Borough,446.2,376,69167,140.9,114
27,Alaska,Juneau City and Borough,399.1,717,160493,135.6,219
28,Alaska,Kenai Peninsula Borough,441.4,1696,294046,151.8,551
29,Alaska,Fairbanks North Star Borough,402.7,1782,492276,127.3,505
30,Alaska,Matanuska-Susitna Borough,420.4,2287,536800,159.1,761
31,Alaska,Anchorage Municipality,444,6278,1460452,146.1,1878
