Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Case Count,Population
Alaska,Yakutat City and Borough,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Alaska,Skagway-Hoonah-Angoon Census Area,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Alaska,Wrangell-Petersburg Census Area,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Alaska,Prince of Wales-Outer Ketchikan CA,All Types of Cancer,2016-2020,Male and Female,Data not presented,Data not presented,Data not presented
Alaska,Bristol Bay Borough,All Types of Cancer,2016-2020,Male and Female,337.2,19,4284
Alaska,Skagway Municipality,All Types of Cancer,2016-2020,Male and Female,330.1,21,5849
Alaska,Aleutians East Borough,All Types of Cancer,2016-2020,Male and Female,138.9,23,16946
Alaska,Lake and Peninsula Borough,All Types of Cancer,2016-2020,Male and Female,515.4,37,7863
Alaska,Denali Borough,All Types of Cancer,2016-2020,Male and Female,385.6,42,10424
Alaska,Aleutians West Census Area,All Types of Cancer,2016-2020,Male and Female,286.2,51,28538
Alaska,Haines Borough,All Types of Cancer,2016-2020,Male and Female,273.7,54,12734
Alaska,Wrangell Borough,All Types of Cancer,2016-2020,Male and Female,349.6,70,12553
Alaska,Hoonah-Angoon Census Area,All Types of Cancer,2016-2020,Male and Female,422.8,78,10674
Alaska,Petersburg Census Area,All Types of Cancer,2016-2020,Male and Female,384,89,16392
Alaska,Kusilvak Census Area,All Types of Cancer,2016-2020,Male and Female,401.3,91,41488
Alaska,Dillingham Census Area,All Types of Cancer,2016-2020,Male and Female,418,92,24670
Alaska,Northwest Arctic Borough,All Types of Cancer,2016-2020,Male and Female,414.2,115,38546
Alaska,North Slope Borough,All Types of Cancer,2016-2020,Male and Female,366.8,118,46875
Alaska,Prince of Wales-Hyder Census Area,All Types of Cancer,2016-2020,Male and Female,365.3,157,31692
Alaska,Nome Census Area,All Types of Cancer,2016-2020,Male and Female,506.4,172,50043
Alaska,Yukon-Koyukuk Census Area,All Types of Cancer,2016-2020,Male and Female,569,172,26524
Alaska,Southeast Fairbanks Census Area,All Types of Cancer,2016-2020,Male and Female,475.9,182,34553
Alaska,Sitka City and Borough,All Types of Cancer,2016-2020,Male and Female,357.8,188,42845
Alaska,Valdez-Cordova Census Area,All Types of Cancer,2016-2020,Male and Female,373.9,197,46944
Alaska,Bethel Census Area,All Types of Cancer,2016-2020,Male and Female,367.5,242,91317
Alaska,Kodiak Island Borough,All Types of Cancer,2016-2020,Male and Female,408.2,263,66917
Alaska,Ketchikan Gateway Borough,All Types of Cancer,2016-2020,Male and Female,446.2,376,69167
Alaska,Juneau City and Borough,All Types of Cancer,2016-2020,Male and Female,399.1,717,160493
Alaska,Kenai Peninsula Borough,All Types of Cancer,2016-2020,Male and Female,441.4,1696,294046
Alaska,Fairbanks North Star Borough,All Types of Cancer,2016-2020,Male and Female,402.7,1782,492276
Alaska,Matanuska-Susitna Borough,All Types of Cancer,2016-2020,Male and Female,420.4,2287,536800
Alaska,Anchorage Municipality,All Types of Cancer,2016-2020,Male and Female,444,6278,1460452
