,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Unnamed: 0,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count
0,Santa Clara ,6085.0,140258.0,4.5,39.0,2.5,38.5,39.9,0.6,25.1,6085.0,74.9,52.0,California,378.6,39840.0,9621896.0,113.5,11942.0
1,San Mateo ,6081.0,136837.0,4.6,45.9,2.4,31.1,35.1,0.7,24.1,6081.0,75.9,45.0,California,397.6,18703.0,3828114.0,114.0,5548.0
2,Marin ,6041.0,131008.0,5.2,75.3,2.3,6.2,18.5,0.4,16.4,6041.0,83.6,37.0,California,442.0,8768.0,1297205.0,111.7,2400.0
3,San Francisco ,6075.0,126187.0,5.3,43.4,5.2,34.7,34.1,0.5,15.4,6075.0,84.6,47.0,California,380.0,19842.0,4373922.0,121.6,6639.0
4,Alameda ,6001.0,112017.0,5.0,35.9,10.2,32.4,32.9,0.7,22.4,6001.0,77.6,50.0,California,371.5,34446.0,8307920.0,125.0,11391.0
5,Contra Costa ,6013.0,110455.0,5.8,50.0,8.6,18.3,25.0,0.7,26.2,6013.0,73.8,49.0,California,405.9,28222.0,5738938.0,130.5,9158.0
6,Orange ,6059.0,100485.0,5.4,53.6,1.7,21.6,29.4,0.6,34.0,6059.0,66.0,55.0,California,404.2,74259.0,15851723.0,127.1,23536.0
7,Placer ,6061.0,99734.0,4.3,77.8,1.6,8.7,11.7,0.5,14.6,6061.0,85.4,40.0,California,439.2,11853.0,1958997.0,130.2,3723.0
8,Napa ,6055.0,97498.0,4.9,67.0,2.1,8.0,21.5,0.8,34.7,6055.0,65.3,27.0,California,410.4,3880.0,692859.0,141.4,1412.0
9,Santa Cruz ,6087.0,96093.0,6.4,68.5,1.1,5.1,17.8,0.7,34.0,6087.0,66.0,33.0,California,444.7,7402.0,1365849.0,124.8,2051.0
10,Alpine ,6003.0,96000.0,9.2,59.2,0.6,1.3,4.8,28.8,14.7,6003.0,85.3,0.0,California,271.7,22.0,5482.0,235.3,19.0
11,San Benito ,6069.0,95606.0,7.1,62.7,1.0,3.3,20.0,1.3,60.9,6069.0,39.1,12.0,California,378.0,1221.0,307733.0,120.3,378.0
12,Ventura ,6111.0,94150.0,5.6,70.1,1.8,7.5,21.1,1.1,43.3,6111.0,56.7,48.0,California,422.0,21354.0,4227997.0,130.7,6687.0
13,Sonoma ,6097.0,91607.0,5.1,70.4,1.6,4.7,16.3,1.1,27.6,6097.0,72.5,42.0,California,424.2,14646.0,2484006.0,137.5,4888.0
14,Solano ,6095.0,89648.0,6.0,48.5,13.4,16.6,19.7,0.7,27.5,6095.0,72.5,39.0,California,415.6,11138.0,2222688.0,158.1,4204.0
15,El Dorado ,6017.0,88770.0,4.7,84.7,0.9,5.1,9.3,0.6,13.3,6017.0,86.7,30.0,California,416.4,5934.0,951727.0,127.5,1857.0
16,San Diego ,6073.0,88240.0,6.6,62.0,4.9,12.4,22.7,0.8,34.3,6073.0,65.7,56.0,California,418.5,76705.0,16619850.0,137.2,25202.0
