,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
0,St. Johns ,12109.0,88794.0,4.7,84.9,5.3,3.1,8.0,0.1,7.6,12109.0,92.4,Florida,488.8,8839.0,1277049.0,132.8,2464.0
1,Nassau ,12089.0,77504.0,4.8,88.5,5.5,1.0,4.0,0.3,4.8,12089.0,95.2,Florida,555.9,3624.0,428811.0,176.4,1167.0
2,Santa Rosa ,12113.0,77260.0,4.9,83.7,5.9,2.1,5.0,0.4,6.0,12113.0,94.0,Florida,481.4,5343.0,897936.0,152.7,1675.0
3,Collier ,12021.0,75543.0,4.2,79.6,6.6,1.5,25.6,0.2,28.5,12021.0,71.5,Florida,402.0,14261.0,1896727.0,102.6,4288.0
4,Clay ,12019.0,74059.0,4.8,75.2,11.0,2.9,6.4,0.1,10.5,12019.0,89.5,Florida,495.0,6446.0,1076468.0,166.3,2088.0
5,Monroe ,12087.0,73153.0,3.7,79.9,7.2,1.4,19.1,0.1,25.1,12087.0,74.9,Florida,417.4,2494.0,375683.0,140.0,863.0
6,Seminole ,12117.0,73002.0,4.5,69.4,11.9,4.8,14.7,0.2,22.5,12117.0,77.5,Florida,456.9,12787.0,2333475.0,145.0,4088.0
7,Wakulla ,12129.0,72941.0,3.3,80.2,13.5,0.6,2.6,0.3,4.0,12129.0,96.0,Florida,476.5,962.0,164273.0,169.1,317.0
8,Martin ,12085.0,69769.0,4.6,85.0,5.6,1.6,10.2,0.4,14.1,12085.0,85.9,Florida,432.4,6605.0,802102.0,127.9,2308.0
9,Sarasota ,12115.0,69490.0,3.6,87.9,4.3,1.8,11.8,0.2,9.7,12115.0,90.3,Florida,475.5,21501.0,2138829.0,132.8,6967.0
10,Palm Beach ,12099.0,68874.0,6.1,65.4,18.6,2.8,26.3,0.2,23.1,12099.0,76.9,Florida,419.6,48797.0,7410285.0,122.6,16309.0
11,Walton ,12131.0,68111.0,4.6,85.8,4.2,0.9,6.8,0.4,6.5,12131.0,93.5,Florida,377.4,1940.0,355247.0,158.8,806.0
12,Okaloosa ,12091.0,67390.0,3.9,75.7,9.6,3.7,7.8,0.2,9.8,12091.0,90.2,Florida,432.6,5413.0,1037149.0,158.0,1999.0
13,Orange ,12095.0,65784.0,5.7,55.5,20.7,5.3,22.3,0.2,32.6,12095.0,67.4,Florida,420.6,29120.0,6868919.0,143.2,9465.0
14,Manatee ,12081.0,64964.0,5.5,80.8,8.3,2.2,13.2,0.2,16.7,12081.0,83.3,Florida,434.8,14734.0,1969235.0,122.8,4602.0
15,Broward ,12011.0,64522.0,6.0,52.5,28.5,3.7,34.8,0.2,30.9,12011.0,69.1,Florida,412.0,50592.0,9711363.0,135.2,17195.0
16,Hillsborough ,12057.0,64164.0,5.0,63.4,16.5,4.3,18.3,0.3,29.6,12057.0,70.4,Florida,478.1,38955.0,7256792.0,146.7,11806.0
17,Baker ,12003.0,63860.0,5.1,79.1,12.6,0.4,1.5,0.3,2.9,12003.0,97.1,Florida,438.1,710.0,143393.0,175.3,281.0
18,Brevard ,12009.0,63632.0,4.8,78.8,9.7,2.5,8.8,0.3,11.0,12009.0,89.0,Florida,497.8,23723.0,2970006.0,156.0,8103.0
19,Sumter ,12119.0,63323.0,5.5,88.0,7.3,1.0,6.1,0.2,6.0,12119.0,94.0,Florida,444.8,8196.0,649688.0,129.9,2563.0
