Demographics, New York Counties, Income, Median Household Income (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Dollars
"Nassau, New York","36059","126576"
"Suffolk, New York","36103","111660"
"Putnam, New York","36079","111617"
"Westchester, New York","36119","105387"
"Rockland, New York","36087","99707"
"New York, New York","36061","93956"
"Saratoga, New York","36091","90800"
"Richmond, New York","36085","89427"
"Dutchess, New York","36027","87112"
"Orange, New York","36071","85640"
"Rensselaer, New York","36083","76731"
"Queens, New York","36081","75886"
"Albany, New York","36001","73810"
"Columbia, New York","36021","73065"
"Ulster, New York","36111","71040"
"Ontario, New York","36069","70694"
"Schenectady, New York","36093","69891"
"Warren, New York","36113","68765"
"Kings, New York","36047","67753"
"Monroe, New York","36055","66317"
"Onondaga, New York","36067","66012"
"Tioga, New York","36107","64987"
"Livingston, New York","36051","64467"
"Tompkins, New York","36109","64260"
"Schoharie, New York","36095","64220"
"Wayne, New York","36117","64152"
"Washington, New York","36115","63869"
"Genesee, New York","36037","63734"
"Sullivan, New York","36105","63393"
"Madison, New York","36053","63312"
"Hamilton, New York","36041","62841"
"Greene, New York","36039","62810"
"Erie, New York","36029","62578"
"Clinton, New York","36019","62470"
"Cortland, New York","36023","62163"
"Oswego, New York","36075","61983"
"Oneida, New York","36065","61733"
"Essex, New York","36031","61563"
"Niagara, New York","36063","60834"
"Herkimer, New York","36043","60561"
"Otsego, New York","36077","60523"
"Lewis, New York","36049","60049"
"Wyoming, New York","36121","60013"
"Cayuga, New York","36011","59602"
"Seneca, New York","36099","59086"
"Steuben, New York","36101","58652"
"Jefferson, New York","36045","58271"
"Chemung, New York","36015","58175"
"Yates, New York","36123","57635"
"Schuyler, New York","36097","56437"
"Chenango, New York","36017","55690"
"Franklin, New York","36033","55279"
"Fulton, New York","36035","55240"
"Orleans, New York","36073","54882"
"Allegany, New York","36003","54375"
"St. Lawrence, New York","36089","54351"
"Broome, New York","36007","53982"
"Cattaraugus, New York","36009","53537"
"Montgomery, New York","36057","53533"
"Delaware, New York","36025","52757"
"Chautauqua, New York","36013","50408"
"Bronx, New York","36005","43726"

"undefined"
