Demographics, New York Counties, Poverty, American Indian/Alaska Native (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Franklin, New York","36033","6.7"
"Cattaraugus, New York","36009","2.8"
"Niagara, New York","36063","0.8"
"Bronx, New York","36005","0.8"
"Queens, New York","36081","0.6"
"Orange, New York","36071","0.5"
"Sullivan, New York","36105","0.5"
"Genesee, New York","36037","0.5"
"Madison, New York","36053","0.4"
"Schenectady, New York","36093","0.4"
"Onondaga, New York","36067","0.4"
"St. Lawrence, New York","36089","0.4"
"Kings, New York","36047","0.4"
"New York, New York","36061","0.4"
"Westchester, New York","36119","0.4"
"Erie, New York","36029","0.4"
"Suffolk, New York","36103","0.3"
"Nassau, New York","36059","0.3"
"Clinton, New York","36019","0.3"
"Chautauqua, New York","36013","0.3"
"Greene, New York","36039","0.3"
"Seneca, New York","36099","0.3"
"Richmond, New York","36085","0.3"
"Orleans, New York","36073","0.3"
"Dutchess, New York","36027","0.3"
"Chemung, New York","36015","0.3"
"Jefferson, New York","36045","0.3"
"Ulster, New York","36111","0.2"
"Essex, New York","36031","0.2"
"Wyoming, New York","36121","0.2"
"Otsego, New York","36077","0.2"
"Allegany, New York","36003","0.2"
"Monroe, New York","36055","0.2"
"Putnam, New York","36079","0.2"
"Montgomery, New York","36057","0.2"
"Lewis, New York","36049","0.2"
"Rockland, New York","36087","0.2"
"Oneida, New York","36065","0.2"
"Cayuga, New York","36011","0.2"
"Herkimer, New York","36043","0.2"
"Hamilton, New York","36041","0.2"
"Washington, New York","36115","0.2"
"Tioga, New York","36107","0.2"
"Schuyler, New York","36097","0.1"
"Saratoga, New York","36091","0.1"
"Livingston, New York","36051","0.1"
"Chenango, New York","36017","0.1"
"Rensselaer, New York","36083","0.1"
"Wayne, New York","36117","0.1"
"Ontario, New York","36069","0.1"
"Albany, New York","36001","0.1"
"Yates, New York","36123","0.1"
"Delaware, New York","36025","0.1"
"Tompkins, New York","36109","0.1"
"Oswego, New York","36075","0.1"
"Warren, New York","36113","0.1"
"Cortland, New York","36023","0.1"
"Broome, New York","36007","0.1"
"Steuben, New York","36101","0.1"
"Schoharie, New York","36095","0.1"
"Fulton, New York","36035","0.1"
"Columbia, New York","36021","0.1"

"undefined"
