Demographics, New York Counties, Poverty, Asian/Pacific Islander (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Queens, New York","36081","25.8"
"New York, New York","36061","12.0"
"Kings, New York","36047","11.9"
"Nassau, New York","36059","10.5"
"Richmond, New York","36085","10.4"
"Tompkins, New York","36109","9.4"
"Albany, New York","36001","7.0"
"Westchester, New York","36119","6.1"
"Rockland, New York","36087","6.0"
"Schenectady, New York","36093","4.8"
"Broome, New York","36007","4.6"
"Oneida, New York","36065","4.1"
"Suffolk, New York","36103","4.1"
"Bronx, New York","36005","4.0"
"Erie, New York","36029","4.0"
"Onondaga, New York","36067","3.9"
"Monroe, New York","36055","3.8"
"Dutchess, New York","36027","3.5"
"Rensselaer, New York","36083","2.9"
"Orange, New York","36071","2.8"
"Saratoga, New York","36091","2.8"
"Putnam, New York","36079","2.1"
"Columbia, New York","36021","2.0"
"Sullivan, New York","36105","1.8"
"Ulster, New York","36111","1.8"
"Jefferson, New York","36045","1.8"
"Steuben, New York","36101","1.5"
"Otsego, New York","36077","1.5"
"Chemung, New York","36015","1.5"
"Ontario, New York","36069","1.4"
"Clinton, New York","36019","1.4"
"St. Lawrence, New York","36089","1.1"
"Niagara, New York","36063","1.1"
"Cortland, New York","36023","1.1"
"Madison, New York","36053","1.1"
"Livingston, New York","36051","1.1"
"Greene, New York","36039","1.0"
"Schoharie, New York","36095","1.0"
"Yates, New York","36123","0.9"
"Delaware, New York","36025","0.9"
"Tioga, New York","36107","0.9"
"Montgomery, New York","36057","0.8"
"Fulton, New York","36035","0.8"
"Warren, New York","36113","0.8"
"Orleans, New York","36073","0.8"
"Wayne, New York","36117","0.8"
"Wyoming, New York","36121","0.7"
"Cayuga, New York","36011","0.7"
"Chautauqua, New York","36013","0.7"
"Schuyler, New York","36097","0.7"
"Washington, New York","36115","0.7"
"Oswego, New York","36075","0.7"
"Cattaraugus, New York","36009","0.7"
"Seneca, New York","36099","0.7"
"Genesee, New York","36037","0.7"
"Chenango, New York","36017","0.6"
"Herkimer, New York","36043","0.6"
"Franklin, New York","36033","0.6"
"Allegany, New York","36003","0.6"
"Hamilton, New York","36041","0.4"
"Lewis, New York","36049","0.4"
"Essex, New York","36031","0.3"

"undefined"
