Demographics, New York Counties, Poverty, Black (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Bronx, New York","36005","34.5"
"Kings, New York","36047","30.5"
"Queens, New York","36081","17.8"
"Monroe, New York","36055","14.8"
"Westchester, New York","36119","14.6"
"New York, New York","36061","14.0"
"Erie, New York","36029","12.8"
"Albany, New York","36001","12.1"
"Rockland, New York","36087","11.5"
"Nassau, New York","36059","11.5"
"Orange, New York","36071","11.0"
"Onondaga, New York","36067","10.9"
"Dutchess, New York","36027","10.6"
"Richmond, New York","36085","10.1"
"Schenectady, New York","36093","9.8"
"Sullivan, New York","36105","8.4"
"Suffolk, New York","36103","7.5"
"Niagara, New York","36063","6.8"
"Rensselaer, New York","36083","6.5"
"Oneida, New York","36065","6.1"
"Ulster, New York","36111","6.0"
"Chemung, New York","36015","6.0"
"Jefferson, New York","36045","5.9"
"Orleans, New York","36073","5.7"
"Greene, New York","36039","5.6"
"Broome, New York","36007","5.3"
"Seneca, New York","36099","5.2"
"Franklin, New York","36033","5.1"
"Wyoming, New York","36121","4.2"
"Columbia, New York","36021","4.1"
"Clinton, New York","36019","4.0"
"Tompkins, New York","36109","4.0"
"Cayuga, New York","36011","4.0"
"Putnam, New York","36079","3.5"
"Essex, New York","36031","3.2"
"Washington, New York","36115","3.0"
"Montgomery, New York","36057","2.9"
"Livingston, New York","36051","2.8"
"Chautauqua, New York","36013","2.8"
"St. Lawrence, New York","36089","2.7"
"Ontario, New York","36069","2.3"
"Wayne, New York","36117","2.2"
"Genesee, New York","36037","2.2"
"Cortland, New York","36023","2.0"
"Otsego, New York","36077","2.0"
"Allegany, New York","36003","1.9"
"Delaware, New York","36025","1.8"
"Saratoga, New York","36091","1.7"
"Schoharie, New York","36095","1.7"
"Lewis, New York","36049","1.6"
"Steuben, New York","36101","1.6"
"Madison, New York","36053","1.5"
"Fulton, New York","36035","1.5"
"Warren, New York","36113","1.4"
"Cattaraugus, New York","36009","1.4"
"Herkimer, New York","36043","1.2"
"Oswego, New York","36075","1.1"
"Hamilton, New York","36041","1.0"
"Schuyler, New York","36097","0.9"
"Tioga, New York","36107","0.9"
"Yates, New York","36123","0.8"
"Chenango, New York","36017","0.7"

"undefined"
