Demographics, New York Counties, Poverty, Hispanic (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Bronx, New York","36005","56.1"
"Queens, New York","36081","27.9"
"New York, New York","36061","25.6"
"Westchester, New York","36119","25.2"
"Orange, New York","36071","21.4"
"Suffolk, New York","36103","19.9"
"Kings, New York","36047","18.8"
"Richmond, New York","36085","18.4"
"Rockland, New York","36087","18.1"
"Nassau, New York","36059","17.2"
"Sullivan, New York","36105","16.6"
"Putnam, New York","36079","16.2"
"Montgomery, New York","36057","14.9"
"Dutchess, New York","36027","12.9"
"Ulster, New York","36111","10.7"
"Monroe, New York","36055","9.2"
"Chautauqua, New York","36013","7.8"
"Jefferson, New York","36045","7.7"
"Schenectady, New York","36093","7.4"
"Greene, New York","36039","6.4"
"Albany, New York","36001","6.3"
"Oneida, New York","36065","6.2"
"Erie, New York","36029","5.8"
"Tompkins, New York","36109","5.3"
"Rensselaer, New York","36083","5.2"
"Onondaga, New York","36067","5.2"
"Columbia, New York","36021","5.1"
"Orleans, New York","36073","5.1"
"Ontario, New York","36069","5.0"
"Wayne, New York","36117","4.6"
"Broome, New York","36007","4.5"
"Delaware, New York","36025","4.1"
"Livingston, New York","36051","3.9"
"Otsego, New York","36077","3.9"
"Seneca, New York","36099","3.7"
"Franklin, New York","36033","3.6"
"Fulton, New York","36035","3.5"
"Genesee, New York","36037","3.5"
"Schoharie, New York","36095","3.5"
"Chemung, New York","36015","3.4"
"Wyoming, New York","36121","3.4"
"Niagara, New York","36063","3.4"
"Saratoga, New York","36091","3.4"
"Essex, New York","36031","3.2"
"Cayuga, New York","36011","3.1"
"Clinton, New York","36019","3.0"
"Cortland, New York","36023","2.9"
"Washington, New York","36115","2.9"
"Warren, New York","36113","2.8"
"Oswego, New York","36075","2.7"
"Madison, New York","36053","2.4"
"St. Lawrence, New York","36089","2.4"
"Herkimer, New York","36043","2.4"
"Chenango, New York","36017","2.3"
"Yates, New York","36123","2.2"
"Cattaraugus, New York","36009","2.2"
"Tioga, New York","36107","2.1"
"Hamilton, New York","36041","1.9"
"Schuyler, New York","36097","1.8"
"Steuben, New York","36101","1.7"
"Lewis, New York","36049","1.7"
"Allegany, New York","36003","1.7"

"undefined"
