Demographics, New York Counties, Poverty, Non-Hispanic (Origin Recode (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Steuben, New York","36101","98.3"
"Allegany, New York","36003","98.3"
"Lewis, New York","36049","98.3"
"Schuyler, New York","36097","98.2"
"Hamilton, New York","36041","98.1"
"Tioga, New York","36107","97.9"
"Cattaraugus, New York","36009","97.8"
"Yates, New York","36123","97.8"
"Chenango, New York","36017","97.7"
"Madison, New York","36053","97.6"
"Herkimer, New York","36043","97.6"
"St. Lawrence, New York","36089","97.6"
"Oswego, New York","36075","97.3"
"Warren, New York","36113","97.2"
"Washington, New York","36115","97.1"
"Cortland, New York","36023","97.1"
"Clinton, New York","36019","97.0"
"Cayuga, New York","36011","96.9"
"Essex, New York","36031","96.8"
"Chemung, New York","36015","96.6"
"Wyoming, New York","36121","96.6"
"Niagara, New York","36063","96.6"
"Saratoga, New York","36091","96.6"
"Schoharie, New York","36095","96.5"
"Genesee, New York","36037","96.5"
"Fulton, New York","36035","96.5"
"Franklin, New York","36033","96.4"
"Seneca, New York","36099","96.3"
"Otsego, New York","36077","96.1"
"Livingston, New York","36051","96.1"
"Delaware, New York","36025","95.9"
"Broome, New York","36007","95.5"
"Wayne, New York","36117","95.4"
"Ontario, New York","36069","95.0"
"Orleans, New York","36073","94.9"
"Columbia, New York","36021","94.9"
"Onondaga, New York","36067","94.8"
"Rensselaer, New York","36083","94.8"
"Tompkins, New York","36109","94.7"
"Erie, New York","36029","94.2"
"Oneida, New York","36065","93.8"
"Albany, New York","36001","93.7"
"Greene, New York","36039","93.6"
"Schenectady, New York","36093","92.6"
"Jefferson, New York","36045","92.3"
"Chautauqua, New York","36013","92.2"
"Monroe, New York","36055","90.8"
"Ulster, New York","36111","89.3"
"Dutchess, New York","36027","87.1"
"Montgomery, New York","36057","85.1"
"Putnam, New York","36079","83.8"
"Sullivan, New York","36105","83.4"
"Nassau, New York","36059","82.8"
"Rockland, New York","36087","81.9"
"Richmond, New York","36085","81.6"
"Kings, New York","36047","81.2"
"Suffolk, New York","36103","80.1"
"Orange, New York","36071","78.6"
"Westchester, New York","36119","74.8"
"New York, New York","36061","74.4"
"Queens, New York","36081","72.1"
"Bronx, New York","36005","43.9"

"undefined"
