Demographics, New York Counties, Poverty, White (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Yates, New York","36123","96.2"
"Chenango, New York","36017","95.5"
"Tioga, New York","36107","95.4"
"Schuyler, New York","36097","95.3"
"Lewis, New York","36049","95.2"
"Allegany, New York","36003","95.0"
"Warren, New York","36113","94.4"
"Herkimer, New York","36043","94.4"
"Oswego, New York","36075","94.0"
"Steuben, New York","36101","93.8"
"Delaware, New York","36025","93.4"
"Hamilton, New York","36041","93.2"
"Cortland, New York","36023","93.0"
"Madison, New York","36053","92.9"
"Schoharie, New York","36095","92.5"
"St. Lawrence, New York","36089","92.3"
"Essex, New York","36031","92.3"
"Washington, New York","36115","92.2"
"Otsego, New York","36077","92.2"
"Fulton, New York","36035","92.2"
"Saratoga, New York","36091","91.3"
"Ontario, New York","36069","91.3"
"Livingston, New York","36051","91.2"
"Genesee, New York","36037","91.2"
"Cattaraugus, New York","36009","91.0"
"Wayne, New York","36117","90.7"
"Clinton, New York","36019","90.4"
"Wyoming, New York","36121","90.2"
"Cayuga, New York","36011","90.1"
"Chautauqua, New York","36013","89.8"
"Seneca, New York","36099","89.7"
"Orleans, New York","36073","87.8"
"Greene, New York","36039","87.4"
"Columbia, New York","36021","87.0"
"Chemung, New York","36015","86.9"
"Niagara, New York","36063","86.2"
"Montgomery, New York","36057","85.0"
"Jefferson, New York","36045","84.8"
"Broome, New York","36007","84.2"
"Rensselaer, New York","36083","84.0"
"Oneida, New York","36065","83.8"
"Putnam, New York","36079","83.2"
"Franklin, New York","36033","81.9"
"Ulster, New York","36111","80.1"
"Tompkins, New York","36109","79.2"
"Onondaga, New York","36067","78.0"
"Sullivan, New York","36105","76.8"
"Erie, New York","36029","76.5"
"Suffolk, New York","36103","76.3"
"Dutchess, New York","36027","75.3"
"Schenectady, New York","36093","74.0"
"Monroe, New York","36055","73.9"
"Albany, New York","36001","73.7"
"Orange, New York","36071","70.7"
"Richmond, New York","36085","69.4"
"Rockland, New York","36087","69.4"
"Nassau, New York","36059","64.6"
"Westchester, New York","36119","59.9"
"New York, New York","36061","53.6"
"Kings, New York","36047","42.1"
"Queens, New York","36081","33.6"
"Bronx, New York","36005","19.9"

"undefined"
