Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Case Count,Population
New York,Hamilton County,All Types of Cancer,2016-2020,Male and Female,504.5,223,22271
New York,Schuyler County,All Types of Cancer,2016-2020,Male and Female,526.9,706,89225
New York,Lewis County,All Types of Cancer,2016-2020,Male and Female,473.3,854,132281
New York,Yates County,All Types of Cancer,2016-2020,Male and Female,507,900,124742
New York,Schoharie County,All Types of Cancer,2016-2020,Male and Female,466.6,1113,155944
New York,Seneca County,All Types of Cancer,2016-2020,Male and Female,525.2,1228,171475
New York,Essex County,All Types of Cancer,2016-2020,Male and Female,418,1283,186403
New York,Wyoming County,All Types of Cancer,2016-2020,Male and Female,527.5,1428,200137
New York,Allegany County,All Types of Cancer,2016-2020,Male and Female,484.1,1495,231520
New York,Orleans County,All Types of Cancer,2016-2020,Male and Female,548.4,1500,203122
New York,Cortland County,All Types of Cancer,2016-2020,Male and Female,537,1553,238088
New York,Franklin County,All Types of Cancer,2016-2020,Male and Female,478.3,1562,251943
New York,Delaware County,All Types of Cancer,2016-2020,Male and Female,468.4,1694,223378
New York,Tioga County,All Types of Cancer,2016-2020,Male and Female,494.6,1736,242157
New York,Chenango County,All Types of Cancer,2016-2020,Male and Female,508.1,1743,237633
New York,Montgomery County,All Types of Cancer,2016-2020,Male and Female,525.6,1756,246472
New York,Greene County,All Types of Cancer,2016-2020,Male and Female,510.7,1848,236673
New York,Fulton County,All Types of Cancer,2016-2020,Male and Female,522.2,1994,267260
New York,Otsego County,All Types of Cancer,2016-2020,Male and Female,481.3,2050,297966
New York,Genesee County,All Types of Cancer,2016-2020,Male and Female,512.6,2053,287769
New York,Livingston County,All Types of Cancer,2016-2020,Male and Female,498.3,2112,316088
New York,Herkimer County,All Types of Cancer,2016-2020,Male and Female,491.3,2186,308688
New York,Washington County,All Types of Cancer,2016-2020,Male and Female,505.5,2216,306521
New York,Madison County,All Types of Cancer,2016-2020,Male and Female,473.2,2283,354952
New York,Sullivan County,All Types of Cancer,2016-2020,Male and Female,447.4,2324,376647
New York,Columbia County,All Types of Cancer,2016-2020,Male and Female,495.8,2414,300081
New York,Tompkins County,All Types of Cancer,2016-2020,Male and Female,454.1,2474,511184
New York,Warren County,All Types of Cancer,2016-2020,Male and Female,515.7,2576,320936
New York,Clinton County,All Types of Cancer,2016-2020,Male and Female,500.7,2604,401600
New York,Cattaraugus County,All Types of Cancer,2016-2020,Male and Female,496.4,2637,383751
New York,Cayuga County,All Types of Cancer,2016-2020,Male and Female,513.8,2773,384791
New York,Chemung County,All Types of Cancer,2016-2020,Male and Female,518.1,2976,420576
New York,Putnam County,All Types of Cancer,2016-2020,Male and Female,479.1,3184,493568
New York,Steuben County,All Types of Cancer,2016-2020,Male and Female,476.3,3189,479215
New York,Wayne County,All Types of Cancer,2016-2020,Male and Female,515.3,3249,450517
New York,Jefferson County,All Types of Cancer,2016-2020,Male and Female,562.7,3292,557272
New York,St. Lawrence County,All Types of Cancer,2016-2020,Male and Female,472.1,3326,541759
New York,Oswego County,All Types of Cancer,2016-2020,Male and Female,540.3,4024,588151
New York,Ontario County,All Types of Cancer,2016-2020,Male and Female,517.5,4087,549037
New York,Chautauqua County,All Types of Cancer,2016-2020,Male and Female,527.1,4755,637918
New York,Schenectady County,All Types of Cancer,2016-2020,Male and Female,492.6,4911,775429
New York,Rensselaer County,All Types of Cancer,2016-2020,Male and Female,516.7,5289,795066
New York,Ulster County,All Types of Cancer,2016-2020,Male and Female,458,5844,891854
New York,Broome County,All Types of Cancer,2016-2020,Male and Female,507.6,6559,960209
New York,Oneida County,All Types of Cancer,2016-2020,Male and Female,502.8,7745,1145369
New York,Saratoga County,All Types of Cancer,2016-2020,Male and Female,506.3,7850,1146563
New York,Niagara County,All Types of Cancer,2016-2020,Male and Female,552.7,8138,1050725
New York,Rockland County,All Types of Cancer,2016-2020,Male and Female,468.1,8833,1626064
New York,Dutchess County,All Types of Cancer,2016-2020,Male and Female,461.6,9066,1467618
New York,Albany County,All Types of Cancer,2016-2020,Male and Female,518.2,9932,1530826
New York,Orange County,All Types of Cancer,2016-2020,Male and Female,475.1,10119,1910385
New York,Onondaga County,All Types of Cancer,2016-2020,Male and Female,510.9,15097,2307956
New York,Richmond County,All Types of Cancer,2016-2020,Male and Female,517.4,15208,2377978
New York,Monroe County,All Types of Cancer,2016-2020,Male and Female,506.8,24148,3715422
New York,Westchester County,All Types of Cancer,2016-2020,Male and Female,463.3,28837,4843691
New York,Bronx County,All Types of Cancer,2016-2020,Male and Female,422.9,31625,7135279
New York,Erie County,All Types of Cancer,2016-2020,Male and Female,534,32494,4594365
New York,New York County,All Types of Cancer,2016-2020,Male and Female,436.2,43009,8145766
New York,Nassau County,All Types of Cancer,2016-2020,Male and Female,499.4,44670,6778157
New York,Suffolk County,All Types of Cancer,2016-2020,Male and Female,522,49985,7405434
New York,Queens County,All Types of Cancer,2016-2020,Male and Female,415.5,57272,11356524
New York,Kings County,All Types of Cancer,2016-2020,Male and Female,430.7,60094,12883854
