,Area,County,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count
0,New York,Hamilton County,504.5,223,22271,170.3,82
1,New York,Schuyler County,526.9,706,89225,190.1,258
2,New York,Lewis County,473.3,854,132281,145.8,272
3,New York,Yates County,507.0,900,124742,153.9,286
4,New York,Schoharie County,466.6,1113,155944,152.9,374
5,New York,Seneca County,525.2,1228,171475,160.7,395
6,New York,Essex County,418.0,1283,186403,165.2,533
7,New York,Wyoming County,527.5,1428,200137,165.2,445
8,New York,Allegany County,484.1,1495,231520,166.9,541
9,New York,Orleans County,548.4,1500,203122,182.3,505
10,New York,Cortland County,537.0,1553,238088,157.9,469
11,New York,Franklin County,478.3,1562,251943,164.5,538
12,New York,Delaware County,468.4,1694,223378,152.8,603
13,New York,Tioga County,494.6,1736,242157,140.1,519
14,New York,Chenango County,508.1,1743,237633,163.9,589
15,New York,Montgomery County,525.6,1756,246472,164.5,577
16,New York,Greene County,510.7,1848,236673,169.2,646
17,New York,Fulton County,522.2,1994,267260,163.4,639
18,New York,Otsego County,481.3,2050,297966,152.9,694
19,New York,Genesee County,512.6,2053,287769,165.5,696
20,New York,Livingston County,498.3,2112,316088,161.5,695
21,New York,Herkimer County,491.3,2186,308688,146.3,687
22,New York,Washington County,505.5,2216,306521,175.8,794
23,New York,Madison County,473.2,2283,354952,145.2,714
24,New York,Sullivan County,447.4,2324,376647,164.2,864
25,New York,Columbia County,495.8,2414,300081,144.6,746
26,New York,Tompkins County,454.1,2474,511184,138.8,760
27,New York,Warren County,515.7,2576,320936,164.8,855
28,New York,Clinton County,500.7,2604,401600,164.8,882
29,New York,Cattaraugus County,496.4,2637,383751,154.1,856
30,New York,Cayuga County,513.8,2773,384791,151.2,860
31,New York,Chemung County,518.1,2976,420576,176.3,1069
32,New York,Putnam County,479.1,3184,493568,140.3,928
33,New York,Steuben County,476.3,3189,479215,166.6,1162
34,New York,Wayne County,515.3,3249,450517,167.4,1075
35,New York,Jefferson County,562.7,3292,557272,176.7,1037
36,New York,St. Lawrence County,472.1,3326,541759,159.8,1152
37,New York,Oswego County,540.3,4024,588151,167.0,1240
38,New York,Ontario County,517.5,4087,549037,152.1,1262
39,New York,Chautauqua County,527.1,4755,637918,161.5,1541
40,New York,Schenectady County,492.6,4911,775429,151.6,1599
41,New York,Rensselaer County,516.7,5289,795066,157.5,1634
42,New York,Ulster County,458.0,5844,891854,149.9,1979
43,New York,Broome County,507.6,6559,960209,152.5,2131
44,New York,Oneida County,502.8,7745,1145369,162.3,2642
45,New York,Saratoga County,506.3,7850,1146563,148.5,2335
46,New York,Niagara County,552.7,8138,1050725,169.4,2589
47,New York,Rockland County,468.1,8833,1626064,120.0,2380
48,New York,Dutchess County,461.6,9066,1467618,140.0,2835
49,New York,Albany County,518.2,9932,1530826,151.5,3025
50,New York,Orange County,475.1,10119,1910385,149.6,3167
51,New York,Onondaga County,510.9,15097,2307956,148.3,4503
52,New York,Richmond County,517.4,15208,2377978,145.8,4342
53,New York,Monroe County,506.8,24148,3715422,151.2,7444
54,New York,Westchester County,463.3,28837,4843691,120.1,7960
55,New York,Bronx County,422.9,31625,7135279,135.7,10113
56,New York,Erie County,534.0,32494,4594365,162.0,10343
57,New York,New York County,436.2,43009,8145766,114.6,11865
58,New York,Nassau County,499.4,44670,6778157,124.2,11820
59,New York,Suffolk County,522.0,49985,7405434,139.2,13708
60,New York,Queens County,415.5,57272,11356524,116.8,16483
61,New York,Kings County,430.7,60094,12883854,125.4,17672
