,Area,County,New Case Rate,Case Count,Population,Death Rate,Death Count
0,Texas,Kenedy County,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
1,Texas,King County,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
2,Texas,Loving County,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
3,Texas,Terrell County,329.6,18,3871,Data not presented,Data not presented
4,Texas,Roberts County,306.1,21,4386,Data not presented,Data not presented
5,Texas,Borden County,457.4,23,3339,Data not presented,Data not presented
6,Texas,McMullen County,311.9,23,3757,Data not presented,Data not presented
7,Texas,Glasscock County,284.9,23,6997,Data not presented,Data not presented
8,Texas,Kent County,350.9,23,3774,Data not presented,Data not presented
9,Texas,Sterling County,386.4,28,6538,Data not presented,Data not presented
10,Texas,Oldham County,297.2,39,10549,184.2,20
11,Texas,Culberson County,287,40,10914,Data not presented,Data not presented
12,Texas,Throckmorton County,278.5,41,7497,127.4,20
13,Texas,Cottle County,390.8,42,6894,155.8,19
14,Texas,Sherman County,248.3,43,15229,157.2,28
15,Texas,Foard County,541.5,45,5867,189,17
16,Texas,Motley County,390.3,45,6014,208.6,22
17,Texas,Jeff Davis County,174.4,47,11224,89.3,23
18,Texas,Irion County,413.2,48,7768,150.3,18
19,Texas,Edwards County,340.7,51,9587,187.9,29
20,Texas,Briscoe County,411.9,52,7536,150.9,23
21,Texas,Stonewall County,560.2,57,6807,190.5,21
22,Texas,Collingsworth County,297.8,61,14693,125.4,24
23,Texas,Cochran County,351.1,63,14298,131.7,24
24,Texas,Armstrong County,459.2,65,9285,150.5,25
25,Texas,Hemphill County,305.9,65,19506,148.3,31
26,Texas,Dickens County,455.2,68,10908,188.1,31
27,Texas,Reagan County,395.6,68,18830,138.6,23
28,Texas,Concho County,297.7,71,15090,119.5,29
29,Texas,Upton County,374.7,72,18254,154.2,30
30,Texas,Lipscomb County,379.8,75,16503,119.8,26
31,Texas,Hudspeth County,300.9,75,23437,112.1,28
32,Texas,Schleicher County,415.6,78,14489,154.6,30
33,Texas,Shackelford County,335.6,79,16456,109.5,29
34,Texas,Menard County,380.3,81,10538,151.4,35
35,Texas,Crane County,380.9,86,23693,194.1,43
36,Texas,Hall County,350.7,86,15124,117.5,32
37,Texas,Donley County,341.5,88,16584,175.3,46
38,Texas,Crockett County,409.6,92,17609,186.3,41
39,Texas,Jim Hogg County,329.4,97,25936,186.9,55
40,Texas,Kinney County,335.6,99,18371,160,48
41,Texas,Sutton County,414.4,102,18964,153.7,41
42,Texas,Garza County,343,104,31364,144.1,44
43,Texas,Hartley County,319.5,104,27940,130.9,42
44,Texas,Real County,327.7,107,17146,172.1,57
45,Texas,Knox County,434.6,109,18395,216.6,60
46,Texas,Hardeman County,417.3,120,19789,151.1,46
47,Texas,Mason County,323,120,21238,148.1,61
48,Texas,Hansford County,400.3,121,27157,163.4,50
49,Texas,Presidio County,262.2,124,34041,74.7,40
50,Texas,Dallam County,378.5,125,36359,141.3,46
51,Texas,La Salle County,343.3,128,37690,160.2,60
52,Texas,Martin County,474.2,128,28380,208.8,56
53,Texas,Fisher County,453,130,19135,141.4,49
54,Texas,Crosby County,357.4,130,28766,142.2,56
55,Texas,Coke County,490.6,135,16489,203.2,67
56,Texas,Bailey County,357.3,135,34582,138.2,52
57,Texas,Baylor County,466.4,138,17798,254.2,80
58,Texas,Castro County,338.5,142,37807,125.5,57
59,Texas,Floyd County,391.8,144,28908,144,60
60,Texas,Winkler County,382.3,144,39112,130.3,50
61,Texas,San Saba County,318.1,148,30018,136.6,68
62,Texas,Brooks County,355.3,150,35499,150.7,70
63,Texas,Childress County,393.1,155,36094,170.5,68
64,Texas,Kimble County,414,156,21875,184.1,75
65,Texas,Carson County,386.2,159,29783,131.2,58
66,Texas,Wheeler County,453,162,25935,180.8,68
67,Texas,Lynn County,458.8,165,29430,207.4,79
68,Texas,Mills County,411.2,168,24386,169.2,77
69,Texas,Yoakum County,419,170,43061,171.4,68
70,Texas,Ochiltree County,364.7,173,49537,135.9,62
71,Texas,Haskell County,438.4,176,28553,179.3,86
72,Texas,Parmer County,338.7,177,48195,131.9,69
73,Texas,Swisher County,394.3,182,37016,168.3,85
74,Texas,Jack County,341.8,193,44441,142.8,82
75,Texas,Delta County,517.2,198,26386,225.4,88
76,Texas,Dimmit County,348.8,198,51162,128.9,78
77,Texas,Refugio County,403.8,212,35075,163.1,92
78,Texas,Mitchell County,455.7,214,41279,199.1,92
79,Texas,Zavala County,353.3,219,59652,162,100
80,Texas,Brewster County,329.1,222,46154,110.4,84
81,Texas,Goliad County,390.7,229,37891,161.3,93
82,Texas,Reeves County,321,235,77730,122.8,89
83,Texas,Duval County,352.3,239,55971,171.3,125
