,Texas Counties,FIPS,Dollars,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
0,"Rockwall, Texas",48397,111595,3.6,77.4,7.2,3.1,8.9,0.9,18.8,81.2
1,"Collin, Texas",48085,104327,4.3,62.9,10.1,16.4,21.8,0.4,15.6,84.4
2,"Fort Bend, Texas",48157,102590,5.5,44.8,20.2,21,29.3,0.3,24.9,75.1
3,"Kendall, Texas",48259,100706,4.2,82.9,0.3,1.4,6.9,0.5,24.8,75.2
4,"Denton, Texas",48121,96265,4.1,68.2,10.3,9.6,15.9,0.5,19.6,80.4
5,"Williamson, Texas",48491,94705,4.5,71.9,6.5,7.6,13.6,0.4,25,75
6,"Chambers, Texas",48071,93707,8.4,79.2,7.6,0.7,8.2,0.1,24.2,75.8
7,"Somervell, Texas",48425,89253,5.4,82.4,2.1,1.1,5.3,0.3,18,82
8,"Montgomery, Texas",48339,88597,4.6,78.9,5.4,3.3,13.8,0.4,25.2,74.8
9,"Parker, Texas",48367,88535,4.3,89.4,1.6,0.7,4.8,0.5,13.3,86.7
10,"Midland, Texas",48329,88210,3.3,73.3,6.4,2.1,13.8,0.7,46.3,53.7
11,"Brazoria, Texas",48039,87958,5.1,63.6,14.9,6.8,13.5,0.6,31.6,68.4
12,"Comal, Texas",48091,85912,3.6,84.1,2.3,1.3,6,0.3,28.3,71.7
13,"Glasscock, Texas",48173,85417,no data/suppressed,62.3,no data/suppressed,no data/suppressed,22.9,no data/suppressed,44.1,55.9
14,"Ellis, Texas",48139,85272,4,73.8,11.3,0.8,7.8,0.6,27.2,72.8
15,"Travis, Texas",48453,85043,4.3,66.2,8.3,7.1,17.4,0.7,33.6,66.4
16,"Wilson, Texas",48493,84042,3.9,82.8,1.5,0.6,4.4,0.4,40.5,59.5
17,"Andrews, Texas",48003,80518,2.9,74.5,2.2,0.7,16,no data/suppressed,57.4,42.6
18,"Guadalupe, Texas",48187,80047,4.4,69.4,8.6,1.7,6.9,0.2,38.7,61.3
19,"Galveston, Texas",48167,79328,5.7,72.3,12.3,3.5,9.9,0.3,25.5,74.5
20,"Bastrop, Texas",48021,78339,4,62.2,7.4,0.8,11.6,1,40.1,59.9
21,"Carson, Texas",48065,76786,2.2,91.8,1,0.7,2,2.5,10.6,89.4
22,"Hood, Texas",48221,75851,6.2,91.9,1,0.7,3.1,0.6,12.9,87.1
23,"Wise, Texas",48497,75482,4.6,88.3,1.4,0.6,7.3,0.7,20,80
24,"Kaufman, Texas",48257,75187,4.9,71.7,13.6,1.4,8.3,0.3,23.7,76.3
25,"Tarrant, Texas",48439,73545,5.1,59.5,17,5.9,16.3,0.5,29.5,70.5
26,"Mason, Texas",48319,73186,3.5,85.9,no data/suppressed,0.8,4.5,1.9,19.8,80.2
27,"Yoakum, Texas",48501,73102,3.6,74.3,1.3,0.6,20,0.9,67.8,32.2
28,"Blanco, Texas",48031,71201,4.3,81.1,no data/suppressed,1.2,6.7,0.5,20.1,79.9
29,"Armstrong, Texas",48011,71136,1,93.6,0.7,0.2,2.1,1.1,8.7,91.3
30,"Hays, Texas",48209,71061,5.6,76.6,4,1.7,9.3,0.7,40,60
31,"Johnson, Texas",48251,70767,3.3,85.6,4.4,1.2,4.4,0.3,22.8,77.2
32,"Randall, Texas",48381,70544,3.2,83.7,3.3,2.2,5.3,0.8,23.3,76.7
33,"Clay, Texas",48077,69967,1.8,92.8,0.4,1,2.8,0.9,6.9,93.1
34,"Martin, Texas",48317,69194,5.7,83.5,0.5,0.4,9.7,no data/suppressed,46.3,53.7
