,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
0,Rockwall ,48397.0,111595,3.6,77.4,7.2,3.1,8.9,0.9,18.8,48397.0,81.2,Texas,411.6,2166,505877,140.2,688
1,Collin ,48085.0,104327,4.3,62.9,10.1,16.4,21.8,0.4,15.6,48085.0,84.4,Texas,399,19367,5030190,118.8,5223
2,Fort Bend ,48157.0,102590,5.5,44.8,20.2,21.0,29.3,0.3,24.9,48157.0,75.1,Texas,377.1,14541,3954459,116.3,4032
3,Kendall ,48259.0,100706,4.2,82.9,0.3,1.4,6.9,0.5,24.8,48259.0,75.2,Texas,380.5,1183,227456,118.9,377
4,Denton ,48121.0,96265,4.1,68.2,10.3,9.6,15.9,0.5,19.6,48121.0,80.4,Texas,412.6,16504,4308452,123.5,4424
5,Williamson ,48491.0,94705,4.5,71.9,6.5,7.6,13.6,0.4,25.0,48491.0,75.0,Texas,439.4,12524,2852187,128.9,3426
6,Chambers ,48071.0,93707,8.4,79.2,7.6,0.7,8.2,0.1,24.2,48071.0,75.8,Texas,493.2,1034,212853,167,327
7,Somervell ,48425.0,89253,5.4,82.4,2.1,1.1,5.3,0.3,18.0,48425.0,82.0,Texas,447.5,270,44792,162.1,101
8,Montgomery ,48339.0,88597,4.6,78.9,5.4,3.3,13.8,0.4,25.2,48339.0,74.8,Texas,402.5,12733,2950941,143.4,4367
9,Parker ,48367.0,88535,4.3,89.4,1.6,0.7,4.8,0.5,13.3,48367.0,86.7,Texas,498.4,4154,692233,164.2,1344
10,Midland ,48329.0,88210,3.3,73.3,6.4,2.1,13.8,0.7,46.3,48329.0,53.7,Texas,368.3,2837,856189,144.6,1079
11,Brazoria ,48039.0,87958,5.1,63.6,14.9,6.8,13.5,0.6,31.6,48039.0,68.4,Texas,422.5,7835,1840309,156.6,2739
12,Comal ,48091.0,85912,3.6,84.1,2.3,1.3,6.0,0.3,28.3,48091.0,71.7,Texas,393.3,3890,744606,139.6,1383
13,Glasscock ,48173.0,85417,no data/suppressed,62.3,no data/suppressed,no data/suppressed,22.9,no data/suppressed,44.1,48173.0,55.9,Texas,284.9,23,6997,Data not presented,Data not presented
14,Ellis ,48139.0,85272,4.0,73.8,11.3,0.8,7.8,0.6,27.2,48139.0,72.8,Texas,451.8,4271,897420,159.8,1444
15,Travis ,48453.0,85043,4.3,66.2,8.3,7.1,17.4,0.7,33.6,48453.0,66.4,Texas,405.4,22570,6254419,120.8,6025
16,Wilson ,48493.0,84042,3.9,82.8,1.5,0.6,4.4,0.4,40.5,48493.0,59.5,Texas,394.3,1210,250551,142.9,443
17,Andrews ,48003.0,80518,2.9,74.5,2.2,0.7,16.0,no data/suppressed,57.4,48003.0,42.6,Texas,340.5,276,91137,145.7,110
18,Guadalupe ,48187.0,80047,4.4,69.4,8.6,1.7,6.9,0.2,38.7,48187.0,61.3,Texas,403.5,3638,815151,147.3,1289
19,Galveston ,48167.0,79328,5.7,72.3,12.3,3.5,9.9,0.3,25.5,48167.0,74.5,Texas,436.6,8482,1687998,171.2,3244
20,Bastrop ,48021.0,78339,4.0,62.2,7.4,0.8,11.6,1.0,40.1,48021.0,59.9,Texas,453.6,2328,434194,161.1,809
21,Carson ,48065.0,76786,2.2,91.8,1.0,0.7,2.0,2.5,10.6,48065.0,89.4,Texas,386.2,159,29783,131.2,58
