Demographics, Vermont Counties, Income, Median Household Income (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Dollars
"Grand Isle, Vermont","50013","85154"
"Chittenden, Vermont","50007","81957"
"Addison, Vermont","50001","77978"
"Washington, Vermont","50023","70128"
"Franklin, Vermont","50011","68476"
"Orange, Vermont","50017","67906"
"Lamoille, Vermont","50015","66016"
"Windsor, Vermont","50027","63787"
"Bennington, Vermont","50003","63448"
"Rutland, Vermont","50021","59751"
"Windham, Vermont","50025","59195"
"Orleans, Vermont","50019","58037"
"Caledonia, Vermont","50005","55159"
"Essex, Vermont","50009","48194"

"undefined"
