Demographics, Vermont Counties, Population, Language Isolation (Both Sexes - Ages 14+ - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Chittenden, Vermont","50007","1.3"
"Washington, Vermont","50023","1.0"
"Essex, Vermont","50009","0.6"
"Orleans, Vermont","50019","0.6"
"Franklin, Vermont","50011","0.5"
"Windham, Vermont","50025","0.4"
"Bennington, Vermont","50003","0.4"
"Rutland, Vermont","50021","0.3"
"Caledonia, Vermont","50005","0.2"
"Grand Isle, Vermont","50013","0.2"
"Orange, Vermont","50017","0.2"
"Lamoille, Vermont","50015","0.1"
"Addison, Vermont","50001","0.1"
"Windsor, Vermont","50027","0.1"

"undefined"
