Demographics, Vermont Counties, Poverty, American Indian/Alaska Native (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Grand Isle, Vermont","50013","1.4"
"Franklin, Vermont","50011","0.8"
"Lamoille, Vermont","50015","0.5"
"Orange, Vermont","50017","0.4"
"Orleans, Vermont","50019","0.3"
"Addison, Vermont","50001","0.3"
"Windham, Vermont","50025","0.2"
"Bennington, Vermont","50003","0.2"
"Caledonia, Vermont","50005","0.1"
"Essex, Vermont","50009","0.1"
"Rutland, Vermont","50021","0.1"
"Chittenden, Vermont","50007","0.1"
"Windsor, Vermont","50027","0.1"
"Washington, Vermont","50023","0.1"

"undefined"
