Demographics, Vermont Counties, Poverty, Asian/Pacific Islander (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Chittenden, Vermont","50007","4.0"
"Addison, Vermont","50001","2.1"
"Bennington, Vermont","50003","1.3"
"Windham, Vermont","50025","1.2"
"Windsor, Vermont","50027","0.9"
"Washington, Vermont","50023","0.9"
"Franklin, Vermont","50011","0.8"
"Rutland, Vermont","50021","0.8"
"Essex, Vermont","50009","0.7"
"Caledonia, Vermont","50005","0.5"
"Grand Isle, Vermont","50013","0.5"
"Orange, Vermont","50017","0.4"
"Lamoille, Vermont","50015","0.2"
"Orleans, Vermont","50019","0.1"

"undefined"
