Demographics, Vermont Counties, Poverty, Black (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Chittenden, Vermont","50007","2.6"
"Addison, Vermont","50001","1.2"
"Lamoille, Vermont","50015","1.2"
"Windham, Vermont","50025","1.2"
"Grand Isle, Vermont","50013","1.1"
"Bennington, Vermont","50003","0.9"
"Caledonia, Vermont","50005","0.9"
"Washington, Vermont","50023","0.8"
"Rutland, Vermont","50021","0.7"
"Windsor, Vermont","50027","0.7"
"Orleans, Vermont","50019","0.6"
"Franklin, Vermont","50011","0.4"
"Orange, Vermont","50017","0.3"
"Essex, Vermont","50009","0.1"

"undefined"
