Demographics, Vermont Counties, Poverty, Foreign Born (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Chittenden, Vermont","50007","8.2"
"Addison, Vermont","50001","4.9"
"Windsor, Vermont","50027","3.7"
"Orleans, Vermont","50019","3.7"
"Grand Isle, Vermont","50013","3.4"
"Bennington, Vermont","50003","3.1"
"Windham, Vermont","50025","3.0"
"Lamoille, Vermont","50015","3.0"
"Washington, Vermont","50023","2.9"
"Franklin, Vermont","50011","2.6"
"Caledonia, Vermont","50005","2.4"
"Essex, Vermont","50009","2.3"
"Rutland, Vermont","50021","2.2"
"Orange, Vermont","50017","1.8"

"undefined"
