Demographics, Vermont Counties, Poverty, Non-Hispanic (Origin Recode (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Orange, Vermont","50017","98.6"
"Essex, Vermont","50009","98.5"
"Orleans, Vermont","50019","98.4"
"Rutland, Vermont","50021","98.4"
"Franklin, Vermont","50011","98.3"
"Windsor, Vermont","50027","98.1"
"Caledonia, Vermont","50005","98.1"
"Lamoille, Vermont","50015","98.0"
"Washington, Vermont","50023","98.0"
"Grand Isle, Vermont","50013","98.0"
"Bennington, Vermont","50003","97.7"
"Addison, Vermont","50001","97.5"
"Windham, Vermont","50025","97.5"
"Chittenden, Vermont","50007","97.5"

"undefined"
