Demographics, Vermont Counties, Poverty, White (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Orange, Vermont","50017","95.4"
"Essex, Vermont","50009","95.4"
"Orleans, Vermont","50019","95.3"
"Rutland, Vermont","50021","95.1"
"Washington, Vermont","50023","94.7"
"Caledonia, Vermont","50005","94.6"
"Windsor, Vermont","50027","94.5"
"Lamoille, Vermont","50015","94.5"
"Bennington, Vermont","50003","94.4"
"Franklin, Vermont","50011","93.9"
"Windham, Vermont","50025","93.6"
"Grand Isle, Vermont","50013","92.8"
"Addison, Vermont","50001","92.7"
"Chittenden, Vermont","50007","88.8"

"undefined"
