,Demographics,Vermont Counties FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
1,"Grand Isle, Vermont",50013,85154,4.1,92.8,1.1,0.5,3.4,1.4,2,98
2,"Chittenden, Vermont",50007,81957,3.8,88.8,2.6,4,8.2,0.1,2.5,97.5
3,"Addison, Vermont",50001,77978,4.1,92.7,1.2,2.1,4.9,0.3,2.5,97.5
4,"Washington, Vermont",50023,70128,3.1,94.7,0.8,0.9,2.9,0.1,2,98
5,"Franklin, Vermont",50011,68476,3.6,93.9,0.4,0.8,2.6,0.8,1.7,98.3
6,"Orange, Vermont",50017,67906,3.1,95.4,0.3,0.4,1.8,0.4,1.4,98.6
7,"Lamoille, Vermont",50015,66016,3.9,94.5,1.2,0.2,3,0.5,2,98
8,"Windsor, Vermont",50027,63787,3.6,94.5,0.7,0.9,3.7,0.1,1.9,98.1
9,"Bennington, Vermont",50003,63448,4.4,94.4,0.9,1.3,3.1,0.2,2.3,97.7
10,"Rutland, Vermont",50021,59751,4.3,95.1,0.7,0.8,2.2,0.1,1.6,98.4
11,"Windham, Vermont",50025,59195,4.7,93.6,1.2,1.2,3,0.2,2.5,97.5
12,"Orleans, Vermont",50019,58037,5.9,95.3,0.6,0.1,3.7,0.3,1.6,98.4
13,"Caledonia, Vermont",50005,55159,3.6,94.6,0.9,0.5,2.4,0.1,1.9,98.1
14,"Essex, Vermont",50009,48194,5.5,95.4,0.1,0.7,2.3,0.1,1.5,98.5
