Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Case Count,Population
Vermont,Essex County,All Types of Cancer,2016-2020,Male and Female,442.4,240,30886
Vermont,Grand Isle County,All Types of Cancer,2016-2020,Male and Female,532.1,279,35374
Vermont,Lamoille County,All Types of Cancer,2016-2020,Male and Female,440.5,731,126878
Vermont,Orleans County,All Types of Cancer,2016-2020,Male and Female,455.1,927,134227
Vermont,Caledonia County,All Types of Cancer,2016-2020,Male and Female,451.3,982,150134
Vermont,Orange County,All Types of Cancer,2016-2020,Male and Female,453.5,987,144359
Vermont,Addison County,All Types of Cancer,2016-2020,Male and Female,427.8,1114,184735
Vermont,Bennington County,All Types of Cancer,2016-2020,Male and Female,461,1284,178245
Vermont,Franklin County,All Types of Cancer,2016-2020,Male and Female,460.5,1423,246373
Vermont,Windham County,All Types of Cancer,2016-2020,Male and Female,465.3,1510,213138
Vermont,Washington County,All Types of Cancer,2016-2020,Male and Female,445.4,1823,291679
Vermont,Windsor County,All Types of Cancer,2016-2020,Male and Female,470,2024,275957
Vermont,Rutland County,All Types of Cancer,2016-2020,Male and Female,482.2,2188,292636
Vermont,Chittenden County,All Types of Cancer,2016-2020,Male and Female,439.9,4165,817072
