Demographics, Wyoming Counties, Poverty, American Indian/Alaska Native (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Fremont, Wyoming","56013","20.2"
"Johnson, Wyoming","56019","2.9"
"Hot Springs, Wyoming","56017","2.4"
"Niobrara, Wyoming","56027","2.3"
"Carbon, Wyoming","56007","1.8"
"Sheridan, Wyoming","56033","1.4"
"Goshen, Wyoming","56015","1.3"
"Weston, Wyoming","56045","1.3"
"Sweetwater, Wyoming","56037","1.2"
"Campbell, Wyoming","56005","1.1"
"Laramie, Wyoming","56021","1.0"
"Natrona, Wyoming","56025","1.0"
"Crook, Wyoming","56011","0.9"
"Washakie, Wyoming","56043","0.9"
"Big Horn, Wyoming","56003","0.7"
"Park, Wyoming","56029","0.7"
"Albany, Wyoming","56001","0.7"
"Converse, Wyoming","56009","0.4"
"Uinta, Wyoming","56041","0.3"
"Lincoln, Wyoming","56023","0.3"
"Sublette, Wyoming","56035","0.2"
"Teton, Wyoming","56039","0.1"
"Platte, Wyoming","56031","0.1"

"undefined"
